big_guy.thisRepN,big_guy.thisTrialN,big_guy.thisN,big_guy.thisIndex,outer_loop1.thisRepN,outer_loop1.thisTrialN,outer_loop1.thisN,outer_loop1.thisIndex,MC_self_loop1.thisRepN,MC_self_loop1.thisTrialN,MC_self_loop1.thisN,MC_self_loop1.thisIndex,MM_self_loop1.thisRepN,MM_self_loop1.thisTrialN,MM_self_loop1.thisN,MM_self_loop1.thisIndex,MM_other_loop1.thisRepN,MM_other_loop1.thisTrialN,MM_other_loop1.thisN,MM_other_loop1.thisIndex,MC_other_loop1.thisRepN,MC_other_loop1.thisTrialN,MC_other_loop1.thisN,MC_other_loop1.thisIndex,outer_loop2.thisRepN,outer_loop2.thisTrialN,outer_loop2.thisN,outer_loop2.thisIndex,MM_self_loop2.thisRepN,MM_self_loop2.thisTrialN,MM_self_loop2.thisN,MM_self_loop2.thisIndex,MC_self_loop2.thisRepN,MC_self_loop2.thisTrialN,MC_self_loop2.thisN,MC_self_loop2.thisIndex,MC_other_loop2.thisRepN,MC_other_loop2.thisTrialN,MC_other_loop2.thisN,MC_other_loop2.thisIndex,MM_other_loop2.thisRepN,MM_other_loop2.thisTrialN,MM_other_loop2.thisN,MM_other_loop2.thisIndex,begin_text.started,begin_text.stopped,begin_exp.keys,begin_exp.rt,begin_exp.started,begin_exp.stopped,Rest_title.started,Rest_title.stopped,rest_body.started,rest_body.stopped,rest_nxt.started,rest_nxt.stopped,advance_0.keys,advance_0.rt,advance_0.started,advance_0.stopped,begin_scan_txt.started,begin_scan_txt.stopped,still_txt.started,still_txt.stopped,begin_scan_btn.keys,begin_scan_btn.rt,begin_scan_btn.started,begin_scan_btn.stopped,wait_scan_txt.started,wait_scan_txt.stopped,still_txt2.started,still_txt2.stopped,trial_crosshair_rest.started,trial_crosshair_rest.stopped,break_txt.started,break_txt.stopped,break_btn.keys,break_btn.rt,break_btn.started,break_btn.stopped,MM_self_title.started,MM_self_title.stopped,MM_self_body.started,MM_self_body.stopped,MM_self_nxt.started,MM_self_nxt.stopped,advance_2.keys,advance_2.rt,advance_2.started,advance_2.stopped,self_btn.keys,self_btn.rt,self_btn.started,self_btn.stopped,trial_crosshair.started,trial_crosshair.stopped,MC_self_title.started,MC_self_title.stopped,MC_self_body.started,MC_self_body.stopped,MC_self_nxt.started,MC_self_nxt.stopped,advance_1.keys,advance_1.rt,advance_1.started,advance_1.stopped,MM_other_title.started,MM_other_title.stopped,MM_other_body.started,MM_other_body.stopped,MM_other_nxt.started,MM_other_nxt.stopped,advance3.keys,advance3.rt,advance3.started,advance3.stopped,other_j_btn1.keys,other_j_btn1.started,other_j_btn1.stopped,MC_other_title.started,MC_other_title.stopped,MC_other_body.started,MC_other_body.stopped,MC_other_nxt.started,MC_other_nxt.stopped,advance4.keys,advance4.rt,advance4.started,advance4.stopped,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,other_n_btn.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM002-2,001,2021_Jun_02_1210,ATM_main_5-19-21,2021.1.3,60.293255897186306,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.152121910999995,None,49.152121910999995,None,['equal'],[0.2019613939919509],49.152121910999995,None,48.95196263003163,None,48.95196263003163,None,,,50.535049188009,None,space,0.7357114490005188,50.535049188009,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,49.60471962299198,None,41.48521715501556,None,41.48521715501556,None,41.48521715501556,None,space,2.3166036150068976,41.48521715501556,None,,,,,ATM002-2,001,2021_Jun_02_1210,ATM_main_5-19-21,2021.1.3,60.293255897186306,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM002-2,001,2021_Jun_02_1210,ATM_main_5-19-21,2021.1.3,60.293255897186306,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM002-2,001,2021_Jun_02_1210,ATM_main_5-19-21,2021.1.3,60.293255897186306,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,59.45734515204094,None,59.45734515204094,None,['equal'],[0.16328287299256772],59.45734515204094,None,59.256354698038194,None,59.256354698038194,None,,,61.5692278300412,None,None,,61.5692278300412,None,,,,,,,,,,,None,,59.635369794035796,None,59.635369794035796,None,51.28501198301092,None,51.28501198301092,None,51.28501198301092,None,space,6.840999115025625,51.28501198301092,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM002-2,001,2021_Jun_02_1210,ATM_main_5-19-21,2021.1.3,60.293255897186306,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM002-2,001,2021_Jun_02_1210,ATM_main_5-19-21,2021.1.3,60.293255897186306,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,133.38936995499535,None,133.38936995499535,None,['equal'],[1.4801476020365953],133.38936995499535,None,131.8835837120423,None,131.8835837120423,None,,,442.3970395679935,None,1,22.952024494006764,442.3970395679935,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.60179902001983,None,91.60179902001983,None,91.60179902001983,None,1,23.33918428904144,91.60179902001983,None,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[22.118927142990287, 45.11864128697198, 66.01757653802633, 85.48343491001287, 113.66717428498669, 134.03301336901495, 154.21736653597327, 177.93193024699576, 201.16577443201095, 220.88297089998377, 239.723545639019, 266.382157406013, 287.3315649720025]",135.1004703179933,None,ATM002-2,001,2021_Jun_02_1210,ATM_main_5-19-21,2021.1.3,60.293255897186306,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM002-2,001,2021_Jun_02_1210,ATM_main_5-19-21,2021.1.3,60.293255897186306,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,484.04622823902173,None,484.04622823902173,None,['equal'],[1.4900039820349775],484.04622823902173,None,482.5463721900014,None,482.5463721900014,None,,,793.0576274759951,None,1,23.019451786996797,793.0576274759951,None,,,,,,,,,,,,,,,,,,,,,,,,,,,465.3630520789884,None,465.3630520789884,None,465.3630520789884,None,['1'],[3.5572091640206054],465.3630520789884,None,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[43.66852462699171, 55.93356656096876, 74.08297764096642, 87.1663599970052, 113.45001162600238, 132.79974412999582, 138.91536722099409, 157.89887140400242, 183.08240629301872, 192.83081586199114, 213.26522282301448, 237.81584139197366, 277.0649157600128]",485.779534352012,None,ATM002-2,001,2021_Jun_02_1210,ATM_main_5-19-21,2021.1.3,60.293255897186306,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM002-2,001,2021_Jun_02_1210,ATM_main_5-19-21,2021.1.3,60.293255897186306,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840.9079124749987,None,840.9079124749987,None,['equal'],[1.48889475496253],840.9079124749987,None,839.4115789640346,None,839.4115789640346,None,,,1149.9036922780215,None,None,,1149.9036922780215,None,816.0970467689913,None,816.0970467689913,None,816.0970467689913,None,1,3.6121378210373223,816.0970467689913,None,"['1', '1', '1', '1', '1', '1', '1', '1']","[60.4996406470309, 81.45382931199856, 99.68786475399975, 175.11572446103673, 204.76927363703726, 234.88096144102747, 286.39668519899715, 306.3008216750459]",842.4084652840393,None,842.4084652840393,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM002-2,001,2021_Jun_02_1210,ATM_main_5-19-21,2021.1.3,60.293255897186306,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM002-2,001,2021_Jun_02_1210,ATM_main_5-19-21,2021.1.3,60.293255897186306,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM002-2,001,2021_Jun_02_1210,ATM_main_5-19-21,2021.1.3,60.293255897186306,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1179.920174480998,None,1179.920174480998,None,1179.920174480998,None,1,8.702155473991297,1179.920174480998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM002-2,001,2021_Jun_02_1210,ATM_main_5-19-21,2021.1.3,60.293255897186306,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1209.0748774040258,None,1209.0748774040258,None,['equal'],[1.479470902995672],1209.0748774040258,None,1207.5696994320024,None,1207.5696994320024,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM002-2,001,2021_Jun_02_1210,ATM_main_5-19-21,2021.1.3,60.293255897186306,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1210.5689252640004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
