big_guy.thisRepN,big_guy.thisTrialN,big_guy.thisN,big_guy.thisIndex,outer_loop1.thisRepN,outer_loop1.thisTrialN,outer_loop1.thisN,outer_loop1.thisIndex,outer_loop2.thisRepN,outer_loop2.thisTrialN,outer_loop2.thisN,outer_loop2.thisIndex,MM_self_loop2.thisRepN,MM_self_loop2.thisTrialN,MM_self_loop2.thisN,MM_self_loop2.thisIndex,MC_self_loop2.thisRepN,MC_self_loop2.thisTrialN,MC_self_loop2.thisN,MC_self_loop2.thisIndex,MC_other_loop2.thisRepN,MC_other_loop2.thisTrialN,MC_other_loop2.thisN,MC_other_loop2.thisIndex,MM_other_loop2.thisRepN,MM_other_loop2.thisTrialN,MM_other_loop2.thisN,MM_other_loop2.thisIndex,MC_self_loop1.thisRepN,MC_self_loop1.thisTrialN,MC_self_loop1.thisN,MC_self_loop1.thisIndex,MM_self_loop1.thisRepN,MM_self_loop1.thisTrialN,MM_self_loop1.thisN,MM_self_loop1.thisIndex,MM_other_loop1.thisRepN,MM_other_loop1.thisTrialN,MM_other_loop1.thisN,MM_other_loop1.thisIndex,MC_other_loop1.thisRepN,MC_other_loop1.thisTrialN,MC_other_loop1.thisN,MC_other_loop1.thisIndex,begin_text.started,begin_text.stopped,begin_exp.keys,begin_exp.rt,begin_exp.started,begin_exp.stopped,Rest_title.started,Rest_title.stopped,rest_body.started,rest_body.stopped,rest_nxt.started,rest_nxt.stopped,advance_0.keys,advance_0.rt,advance_0.started,advance_0.stopped,begin_scan_txt.started,begin_scan_txt.stopped,still_txt.started,still_txt.stopped,begin_scan_btn.keys,begin_scan_btn.rt,begin_scan_btn.started,begin_scan_btn.stopped,wait_scan_txt.started,wait_scan_txt.stopped,still_txt2.started,still_txt2.stopped,trial_crosshair_rest.started,trial_crosshair_rest.stopped,break_txt.started,break_txt.stopped,break_btn.keys,break_btn.rt,break_btn.started,break_btn.stopped,MM_other_title.started,MM_other_title.stopped,MM_other_body.started,MM_other_body.stopped,MM_other_nxt.started,MM_other_nxt.stopped,advance3.keys,advance3.rt,advance3.started,advance3.stopped,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,other_n_btn.stopped,MC_self_title.started,MC_self_title.stopped,MC_self_body.started,MC_self_body.stopped,MC_self_nxt.started,MC_self_nxt.stopped,advance_1.keys,advance_1.rt,advance_1.started,advance_1.stopped,self_btn.keys,self_btn.rt,self_btn.started,self_btn.stopped,trial_crosshair.started,trial_crosshair.stopped,MC_other_title.started,MC_other_title.stopped,MC_other_body.started,MC_other_body.stopped,MC_other_nxt.started,MC_other_nxt.stopped,advance4.keys,advance4.rt,advance4.started,advance4.stopped,MM_self_title.started,MM_self_title.stopped,MM_self_body.started,MM_self_body.stopped,MM_self_nxt.started,MM_self_nxt.stopped,advance_2.keys,advance_2.rt,advance_2.started,advance_2.stopped,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started,other_j_btn1.stopped,end.started,end.stopped,end_press.keys,end_press.rt,end_press.started,end_press.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.215282286517322,None,1,9.908355921506882,11.215282286517322,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM024,001,2022_Jun_30_1716,ATM_main_5-19-21,2021.1.3,60.36798026011891,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.154075141064823,None,21.154075141064823,None,21.154075141064823,None,1,5.262619374319911,21.154075141064823,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM024,001,2022_Jun_30_1716,ATM_main_5-19-21,2021.1.3,60.36798026011891,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.43093807529658,None,26.43093807529658,None,['equal'],[19.035283079370856],26.43093807529658,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM024,001,2022_Jun_30_1716,ATM_main_5-19-21,2021.1.3,60.36798026011891,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.980968059040606,None,49.980968059040606,None,['equal'],[1.4897291017696261],49.980968059040606,None,48.481564266607165,None,48.481564266607165,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM024,001,2022_Jun_30_1716,ATM_main_5-19-21,2021.1.3,60.36798026011891,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.4977435702458,None,358.9935900690034,None,1,3.7071078810840845,358.9935900690034,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM024,001,2022_Jun_30_1716,ATM_main_5-19-21,2021.1.3,60.36798026011891,
0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.8933431962505,None,398.8933431962505,None,['equal'],[1.4836094779893756],398.8933431962505,None,397.3936032745987,None,397.3936032745987,None,,,707.9058694308624,None,1,5.489363585598767,707.9058694308624,None,362.72776494920254,None,362.72776494920254,None,362.72776494920254,None,['1'],[16.734166393987834],362.72776494920254,None,"['1', '1', '1', '1']","[22.18558476679027, 43.39930863678455, 85.78446743451059, 193.56525155249983]",400.7098578149453,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM024,001,2022_Jun_30_1716,ATM_main_5-19-21,2021.1.3,60.36798026011891,
0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM024,001,2022_Jun_30_1716,ATM_main_5-19-21,2021.1.3,60.36798026011891,
0,0,0,0,,,,,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,742.9929996384308,None,742.9929996384308,None,['equal'],[1.4854879984632134],742.9929996384308,None,741.4925110731274,None,741.4925110731274,None,,,1051.9840418985114,None,1,22.86883856356144,1051.9840418985114,None,,,,,,,,,,,,,,,713.4228694736958,None,713.4228694736958,None,713.4228694736958,None,1,16.734542657621205,713.4228694736958,None,"['1', '1', '1', '1', '1', '1']","[34.54934819228947, 66.88430653698742, 95.75093918852508, 120.60493274312466, 162.12020592112094, 254.98610573075712]",744.4887259537354,None,744.4887259537354,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM024,001,2022_Jun_30_1716,ATM_main_5-19-21,2021.1.3,60.36798026011891,
0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM024,001,2022_Jun_30_1716,ATM_main_5-19-21,2021.1.3,60.36798026011891,
0,0,0,0,,,,,2,0,2,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1094.8835142599419,None,1094.8835142599419,None,['equal'],[1.5050791455432773],1094.8835142599419,None,1093.400246351026,None,1093.400246351026,None,,,1403.9128995854408,None,1,3.652048833668232,1403.9128995854408,None,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[18.095458595082164, 40.528307661414146, 62.495482532307506, 83.0104448441416, 104.36158122587949, 125.59429327398539, 142.85993433278054, 169.92693213745952, 190.258056467399, 211.09303996432573, 230.64247275330126, 254.5762377269566, 282.9254345614463]",1096.6394003015012,None,,,,,,,,,,,,,,,,,1074.8839612631127,None,1074.8839612631127,None,1074.8839612631127,None,1,6.223161468282342,1074.8839612631127,None,,,,,,,,,,,,,,,,,,,,,ATM024,001,2022_Jun_30_1716,ATM_main_5-19-21,2021.1.3,60.36798026011891,
