big_guy.thisRepN,big_guy.thisTrialN,big_guy.thisN,big_guy.thisIndex,outer_loop1.thisRepN,outer_loop1.thisTrialN,outer_loop1.thisN,outer_loop1.thisIndex,outer_loop2.thisRepN,outer_loop2.thisTrialN,outer_loop2.thisN,outer_loop2.thisIndex,MM_self_loop2.thisRepN,MM_self_loop2.thisTrialN,MM_self_loop2.thisN,MM_self_loop2.thisIndex,MC_self_loop2.thisRepN,MC_self_loop2.thisTrialN,MC_self_loop2.thisN,MC_self_loop2.thisIndex,MC_other_loop2.thisRepN,MC_other_loop2.thisTrialN,MC_other_loop2.thisN,MC_other_loop2.thisIndex,MM_other_loop2.thisRepN,MM_other_loop2.thisTrialN,MM_other_loop2.thisN,MM_other_loop2.thisIndex,MC_self_loop1.thisRepN,MC_self_loop1.thisTrialN,MC_self_loop1.thisN,MC_self_loop1.thisIndex,MM_self_loop1.thisRepN,MM_self_loop1.thisTrialN,MM_self_loop1.thisN,MM_self_loop1.thisIndex,MM_other_loop1.thisRepN,MM_other_loop1.thisTrialN,MM_other_loop1.thisN,MM_other_loop1.thisIndex,MC_other_loop1.thisRepN,MC_other_loop1.thisTrialN,MC_other_loop1.thisN,MC_other_loop1.thisIndex,begin_text.started,begin_text.stopped,begin_exp.keys,begin_exp.rt,begin_exp.started,begin_exp.stopped,Rest_title.started,Rest_title.stopped,rest_body.started,rest_body.stopped,rest_nxt.started,rest_nxt.stopped,advance_0.keys,advance_0.rt,advance_0.started,advance_0.stopped,begin_scan_txt.started,begin_scan_txt.stopped,still_txt.started,still_txt.stopped,begin_scan_btn.keys,begin_scan_btn.rt,begin_scan_btn.started,begin_scan_btn.stopped,wait_scan_txt.started,wait_scan_txt.stopped,still_txt2.started,still_txt2.stopped,trial_crosshair_rest.started,trial_crosshair_rest.stopped,break_txt.started,break_txt.stopped,break_btn.keys,break_btn.rt,break_btn.started,break_btn.stopped,MM_self_title.started,MM_self_title.stopped,MM_self_body.started,MM_self_body.stopped,MM_self_nxt.started,MM_self_nxt.stopped,advance_2.keys,advance_2.rt,advance_2.started,advance_2.stopped,self_btn.keys,self_btn.rt,self_btn.started,self_btn.stopped,trial_crosshair.started,trial_crosshair.stopped,MM_other_title.started,MM_other_title.stopped,MM_other_body.started,MM_other_body.stopped,MM_other_nxt.started,MM_other_nxt.stopped,advance3.keys,advance3.rt,advance3.started,advance3.stopped,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,other_n_btn.stopped,MC_self_title.started,MC_self_title.stopped,MC_self_body.started,MC_self_body.stopped,MC_self_nxt.started,MC_self_nxt.stopped,advance_1.keys,advance_1.rt,advance_1.started,advance_1.stopped,MC_other_title.started,MC_other_title.stopped,MC_other_body.started,MC_other_body.stopped,MC_other_nxt.started,MC_other_nxt.stopped,advance4.keys,advance4.rt,advance4.started,advance4.stopped,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started,other_j_btn1.stopped,end.started,end.stopped,end_press.keys,end_press.rt,end_press.started,end_press.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM001,001,2021_May_28_1103,ATM_main_5-19-21,2021.1.3,59.754405689575265,
0,0,0,0,,,,,3,0,3,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1120.4075604489917,None,1120.4075604489917,None,['equal'],[1.4794700799975544],1120.4075604489917,None,1118.9079569869937,None,1118.9079569869937,None,,,1429.415481317992,None,1,13.767551167999045,1429.415481317992,None,,,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[18.29837344599946, 40.09873484499985, 62.01426690000517, 82.81494283799839, 104.94773626499227, 125.63033154899313, 148.23033008599305, 170.01190113599296, 193.54587510299461, 223.02784493200306, 244.1941374970047, 273.3936587060016, 304.86119263900036]",1122.122798587996,None,,,,,,,,,,,1083.1865952689986,None,1083.1865952689986,None,1083.1865952689986,None,1,17.86766452700249,1083.1865952689986,None,,,,,,,,,,,ATM001,001,2021_May_28_1103,ATM_main_5-19-21,2021.1.3,59.754405689575265,
0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM001,001,2021_May_28_1103,ATM_main_5-19-21,2021.1.3,59.754405689575265,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM001,001,2021_May_28_1103,ATM_main_5-19-21,2021.1.3,59.754405689575265,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1470.1654398190003,None,1470.1654398190003,None,['equal'],[1.4849122000014177],1470.1654398190003,None,1468.6695533999882,None,1468.6695533999882,None,,,1779.1773388169968,None,1,7.768810210007359,1779.1773388169968,None,,,,,,,,,,,,,,,,,1443.2024999610003,None,1443.2024999610003,None,1443.2024999610003,None,['1'],[8.29798768099863],1443.2024999610003,None,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[34.310693424005876, 80.84445905400207, 101.97833266899397, 107.62764277099632, 112.45961033900676, 153.610625204994, 156.55983453200315, 203.7907886759931, 234.54194236799958, 269.908455236, 275.49112140599755, 287.09143225800653, 294.50905993899505]",1471.8877637080004,None,,,,,,,ATM001,001,2021_May_28_1103,ATM_main_5-19-21,2021.1.3,59.754405689575265,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM001,001,2021_May_28_1103,ATM_main_5-19-21,2021.1.3,59.754405689575265,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1811.5932158880023,None,1811.5932158880023,None,['equal'],[1.4900697549892357],1811.5932158880023,None,1810.0934471869987,None,1810.0934471869987,None,,,2120.6059741279896,None,1,18.321915163003723,2120.6059741279896,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1786.9654254019988,None,1786.9654254019988,None,1786.9654254019988,None,1,6.096245433000149,1786.9654254019988,None,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[23.567104496003594, 46.73337540999637, 70.6328277940047, 94.032460404007, 117.08305751500302, 140.64780726599565, 165.6815648759948, 188.74921105800604, 216.84739106999768, 241.430307771996, 264.6981231030077, 292.8308118760033]",1813.327716667991,None,,,,,,,ATM001,001,2021_May_28_1103,ATM_main_5-19-21,2021.1.3,59.754405689575265,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM001,001,2021_May_28_1103,ATM_main_5-19-21,2021.1.3,59.754405689575265,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2174.4209665929957,None,2174.4209665929957,None,['equal'],[1.4864827359997435],2174.4209665929957,None,2172.922036308999,None,2172.922036308999,None,,,2483.417901570996,None,1,11.283342991999234,2483.417901570996,None,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1']","[40.25065610698948, 74.60596203198656, 102.55034484399948, 132.4501225129934, 164.8822065259883, 197.5039366819983, 226.09892316898913, 254.8357053029904, 288.9188192339934]",2175.9219873379916,None,2175.9219873379916,None,,,,,,,,,,,,,,,2138.955836588997,None,2138.955836588997,None,2138.955836588997,None,1,17.18469866400119,2138.955836588997,None,,,,,,,,,,,,,,,,,,,,,ATM001,001,2021_May_28_1103,ATM_main_5-19-21,2021.1.3,59.754405689575265,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM001,001,2021_May_28_1103,ATM_main_5-19-21,2021.1.3,59.754405689575265,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2526.3507393129985,None,2526.3507393129985,None,['equal'],[1.4845966149878222],2526.3507393129985,None,2524.849559909999,None,2524.849559909999,None,,,2835.363130793994,None,1,3.7564978009904735,2835.363130793994,None,2494.7168929280015,None,2494.7168929280015,None,2494.7168929280015,None,1,13.49016081400623,2494.7168929280015,None,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[2.580744954000693, 12.98473725799704, 21.647523859996, 27.49648204499681, 47.700977807995514, 72.38333723999676, 76.04574941699684, 107.0442852069973, 145.29559942299966, 167.34896700699755, 193.32729429900064, 228.28187980799703, 261.19244407099904, 273.1936910349905]",2527.854972232002,None,2527.854972232002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM001,001,2021_May_28_1103,ATM_main_5-19-21,2021.1.3,59.754405689575265,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM001,001,2021_May_28_1103,ATM_main_5-19-21,2021.1.3,59.754405689575265,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM001,001,2021_May_28_1103,ATM_main_5-19-21,2021.1.3,59.754405689575265,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2839.145425416995,None,2839.145425416995,None,2839.145425416995,None,1,5.186340013999143,2839.145425416995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM001,001,2021_May_28_1103,ATM_main_5-19-21,2021.1.3,59.754405689575265,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2862.517372802002,None,2862.517372802002,None,['equal'],[1.4804039150039898],2862.517372802002,None,2861.0123796449916,None,2861.0123796449916,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM001,001,2021_May_28_1103,ATM_main_5-19-21,2021.1.3,59.754405689575265,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2864.0169320330024,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3171.5257381539996,None,1,86.7167586079886,3171.5257381539996,None,ATM001,001,2021_May_28_1103,ATM_main_5-19-21,2021.1.3,59.754405689575265,
