big_guy.thisRepN,big_guy.thisTrialN,big_guy.thisN,big_guy.thisIndex,outer_loop1.thisRepN,outer_loop1.thisTrialN,outer_loop1.thisN,outer_loop1.thisIndex,outer_loop2.thisRepN,outer_loop2.thisTrialN,outer_loop2.thisN,outer_loop2.thisIndex,MM_self_loop2.thisRepN,MM_self_loop2.thisTrialN,MM_self_loop2.thisN,MM_self_loop2.thisIndex,MC_self_loop2.thisRepN,MC_self_loop2.thisTrialN,MC_self_loop2.thisN,MC_self_loop2.thisIndex,MC_other_loop2.thisRepN,MC_other_loop2.thisTrialN,MC_other_loop2.thisN,MC_other_loop2.thisIndex,MM_other_loop2.thisRepN,MM_other_loop2.thisTrialN,MM_other_loop2.thisN,MM_other_loop2.thisIndex,MC_self_loop1.thisRepN,MC_self_loop1.thisTrialN,MC_self_loop1.thisN,MC_self_loop1.thisIndex,MM_self_loop1.thisRepN,MM_self_loop1.thisTrialN,MM_self_loop1.thisN,MM_self_loop1.thisIndex,MM_other_loop1.thisRepN,MM_other_loop1.thisTrialN,MM_other_loop1.thisN,MM_other_loop1.thisIndex,MC_other_loop1.thisRepN,MC_other_loop1.thisTrialN,MC_other_loop1.thisN,MC_other_loop1.thisIndex,begin_text.started,begin_text.stopped,begin_exp.keys,begin_exp.rt,begin_exp.started,begin_exp.stopped,Rest_title.started,Rest_title.stopped,rest_body.started,rest_body.stopped,rest_nxt.started,rest_nxt.stopped,advance_0.keys,advance_0.rt,advance_0.started,advance_0.stopped,begin_scan_txt.started,begin_scan_txt.stopped,still_txt.started,still_txt.stopped,begin_scan_btn.keys,begin_scan_btn.rt,begin_scan_btn.started,begin_scan_btn.stopped,wait_scan_txt.started,wait_scan_txt.stopped,still_txt2.started,still_txt2.stopped,trial_crosshair_rest.started,trial_crosshair_rest.stopped,break_txt.started,break_txt.stopped,break_btn.keys,break_btn.rt,break_btn.started,break_btn.stopped,MC_other_title.started,MC_other_title.stopped,MC_other_body.started,MC_other_body.stopped,MC_other_nxt.started,MC_other_nxt.stopped,advance4.keys,advance4.rt,advance4.started,advance4.stopped,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,other_n_btn.stopped,MC_self_title.started,MC_self_title.stopped,MC_self_body.started,MC_self_body.stopped,MC_self_nxt.started,MC_self_nxt.stopped,advance_1.keys,advance_1.rt,advance_1.started,advance_1.stopped,self_btn.keys,self_btn.rt,self_btn.started,self_btn.stopped,trial_crosshair.started,trial_crosshair.stopped,MM_self_title.started,MM_self_title.stopped,MM_self_body.started,MM_self_body.stopped,MM_self_nxt.started,MM_self_nxt.stopped,advance_2.keys,advance_2.rt,advance_2.started,advance_2.stopped,MM_other_title.started,MM_other_title.stopped,MM_other_body.started,MM_other_body.stopped,MM_other_nxt.started,MM_other_nxt.stopped,advance3.keys,advance3.rt,advance3.started,advance3.stopped,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started,other_j_btn1.stopped,end.started,end.stopped,end_press.keys,end_press.rt,end_press.started,end_press.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM015,001,2021_Nov_09_1754,ATM_main_5-19-21,2021.1.3,60.0762143148696,
0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1435.6843766430393,None,1435.6843766430393,None,['equal'],[1.4850400108844042],1435.6843766430393,None,1434.1844182414934,None,1434.1844182414934,None,,,1744.6982223056257,None,1,7.867436703294516,1744.6982223056257,None,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1']","[40.08438180293888, 74.33369459304959, 82.93497491814196, 155.65141155663878, 188.7494347942993, 221.18133723177016, 238.533496260643]",1437.4348358549178,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1406.8873052680865,None,1406.8873052680865,None,1406.8873052680865,None,['1'],[7.839539188891649],1406.8873052680865,None,,,,,,,,,,,ATM015,001,2021_Nov_09_1754,ATM_main_5-19-21,2021.1.3,60.0762143148696,
0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM015,001,2021_Nov_09_1754,ATM_main_5-19-21,2021.1.3,60.0762143148696,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM015,001,2021_Nov_09_1754,ATM_main_5-19-21,2021.1.3,60.0762143148696,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1778.7630832558498,None,1778.7630832558498,None,['equal'],[1.485690481029451],1778.7630832558498,None,1777.2652401579544,None,1777.2652401579544,None,,,2087.7774117877707,None,1,6.6671379348263144,2087.7774117877707,None,1752.5999370655045,None,1752.5999370655045,None,1752.5999370655045,None,1,8.315745043568313,1752.5999370655045,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[23.851596092805266, 46.83094771299511, 70.63308119680732, 93.03359589260072, 116.28210699278861, 140.56827583909035, 165.31497572734952, 187.81576117128134, 210.23013114836067, 231.4817439345643, 254.13045130297542, 277.1147059435025, 304.9470986863598]",1780.5145967360586,None,,,,,,,ATM015,001,2021_Nov_09_1754,ATM_main_5-19-21,2021.1.3,60.0762143148696,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM015,001,2021_Nov_09_1754,ATM_main_5-19-21,2021.1.3,60.0762143148696,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2118.358619359322,None,2118.358619359322,None,['equal'],[1.4869505390524864],2118.358619359322,None,2116.8586103478447,None,2116.8586103478447,None,,,2427.371931200847,None,1,6.636116681620479,2427.371931200847,None,,,,,,,,,,,,,,,2094.4656177591532,None,2094.4656177591532,None,2094.4656177591532,None,1,9.432813486084342,2094.4656177591532,None,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[13.984806512482464, 28.952479887753725, 43.87230770662427, 59.12341614998877, 73.87326112575829, 89.15665161702782, 103.76601238176227, 119.6170757515356, 134.18956020846963, 148.9379191873595, 163.888919910416, 179.0159107511863, 194.0888813007623, 208.9712800309062, 221.0988035602495, 236.1657083230093, 251.30027745198458, 266.019813220948, 280.8331579109654, 296.06340426392853]",2119.8588110618293,None,2119.8588110618293,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM015,001,2021_Nov_09_1754,ATM_main_5-19-21,2021.1.3,60.0762143148696,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM015,001,2021_Nov_09_1754,ATM_main_5-19-21,2021.1.3,60.0762143148696,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2453.3875844608992,None,2453.3875844608992,None,['equal'],[1.490246775560081],2453.3875844608992,None,2451.893915849738,None,2451.893915849738,None,,,2762.4012133842334,None,1,8.523105309344828,2762.4012133842334,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2434.0396950766444,None,2434.0396950766444,None,2434.0396950766444,None,['1'],[6.351752367801964],2434.0396950766444,None,"['1', '1', '1', '1', '1', '1', '1', '1', '1']","[110.36702174693346, 126.98361135553569, 151.9689508965239, 234.7323516001925, 256.33383591566235, 269.98399042245, 276.598059611395, 286.93398655671626, 296.68287831079215]",2455.153322356753,None,,,,,,,ATM015,001,2021_Nov_09_1754,ATM_main_5-19-21,2021.1.3,60.0762143148696,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM015,001,2021_Nov_09_1754,ATM_main_5-19-21,2021.1.3,60.0762143148696,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2791.9160901727155,None,2791.9160901727155,None,['equal'],[1.4910578280687332],2791.9160901727155,None,2790.415710417554,None,2790.415710417554,None,,,3100.9117077616975,None,1,7.768986456096172,3100.9117077616975,None,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[39.48594342265278, 53.951005599461496, 93.7174176927656, 121.86763208452612, 143.72244198806584, 158.21562699228525, 166.53861996345222, 210.36568406689912, 219.88804196286947, 234.88138554804027, 247.98293583188206, 268.5365597642958, 289.0147527391091, 299.60443894937634]",2793.416398487054,None,2793.416398487054,None,2770.9513276647776,None,2770.9513276647776,None,2770.9513276647776,None,1,7.973223657347262,2770.9513276647776,None,,,,,,,,,,,,,,,,,,,,,ATM015,001,2021_Nov_09_1754,ATM_main_5-19-21,2021.1.3,60.0762143148696,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM015,001,2021_Nov_09_1754,ATM_main_5-19-21,2021.1.3,60.0762143148696,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM015,001,2021_Nov_09_1754,ATM_main_5-19-21,2021.1.3,60.0762143148696,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3108.696734203957,None,3108.696734203957,None,3108.696734203957,None,1,4.683353588916361,3108.696734203957,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM015,001,2021_Nov_09_1754,ATM_main_5-19-21,2021.1.3,60.0762143148696,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3130.628960635513,None,3130.628960635513,None,['equal'],[1.4731607222929597],3130.628960635513,None,3129.1289244526997,None,3129.1289244526997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM015,001,2021_Nov_09_1754,ATM_main_5-19-21,2021.1.3,60.0762143148696,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3132.1112119928002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3439.623420313932,None,space,7.467837813310325,3439.623420313932,None,ATM015,001,2021_Nov_09_1754,ATM_main_5-19-21,2021.1.3,60.0762143148696,
