big_guy.thisRepN,big_guy.thisTrialN,big_guy.thisN,big_guy.thisIndex,outer_loop1.thisRepN,outer_loop1.thisTrialN,outer_loop1.thisN,outer_loop1.thisIndex,MC_self_loop1.thisRepN,MC_self_loop1.thisTrialN,MC_self_loop1.thisN,MC_self_loop1.thisIndex,MM_self_loop1.thisRepN,MM_self_loop1.thisTrialN,MM_self_loop1.thisN,MM_self_loop1.thisIndex,MM_other_loop1.thisRepN,MM_other_loop1.thisTrialN,MM_other_loop1.thisN,MM_other_loop1.thisIndex,MC_other_loop1.thisRepN,MC_other_loop1.thisTrialN,MC_other_loop1.thisN,MC_other_loop1.thisIndex,outer_loop2.thisRepN,outer_loop2.thisTrialN,outer_loop2.thisN,outer_loop2.thisIndex,MM_self_loop2.thisRepN,MM_self_loop2.thisTrialN,MM_self_loop2.thisN,MM_self_loop2.thisIndex,MC_self_loop2.thisRepN,MC_self_loop2.thisTrialN,MC_self_loop2.thisN,MC_self_loop2.thisIndex,MC_other_loop2.thisRepN,MC_other_loop2.thisTrialN,MC_other_loop2.thisN,MC_other_loop2.thisIndex,MM_other_loop2.thisRepN,MM_other_loop2.thisTrialN,MM_other_loop2.thisN,MM_other_loop2.thisIndex,begin_text.started,begin_text.stopped,begin_exp.keys,begin_exp.rt,begin_exp.started,begin_exp.stopped,Rest_title.started,Rest_title.stopped,rest_body.started,rest_body.stopped,rest_nxt.started,rest_nxt.stopped,advance_0.keys,advance_0.rt,advance_0.started,advance_0.stopped,begin_scan_txt.started,begin_scan_txt.stopped,still_txt.started,still_txt.stopped,begin_scan_btn.keys,begin_scan_btn.rt,begin_scan_btn.started,begin_scan_btn.stopped,wait_scan_txt.started,wait_scan_txt.stopped,still_txt2.started,still_txt2.stopped,trial_crosshair_rest.started,trial_crosshair_rest.stopped,break_txt.started,break_txt.stopped,break_btn.keys,break_btn.rt,break_btn.started,break_btn.stopped,MM_other_title.started,MM_other_title.stopped,MM_other_body.started,MM_other_body.stopped,MM_other_nxt.started,MM_other_nxt.stopped,advance3.keys,advance3.rt,advance3.started,advance3.stopped,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started,other_j_btn1.stopped,MC_other_title.started,MC_other_title.stopped,MC_other_body.started,MC_other_body.stopped,MC_other_nxt.started,MC_other_nxt.stopped,advance4.keys,advance4.rt,advance4.started,advance4.stopped,MM_self_title.started,MM_self_title.stopped,MM_self_body.started,MM_self_body.stopped,MM_self_nxt.started,MM_self_nxt.stopped,advance_2.keys,advance_2.rt,advance_2.started,advance_2.stopped,self_btn.keys,self_btn.rt,self_btn.started,self_btn.stopped,trial_crosshair.started,trial_crosshair.stopped,MC_self_title.started,MC_self_title.stopped,MC_self_body.started,MC_self_body.stopped,MC_self_nxt.started,MC_self_nxt.stopped,advance_1.keys,advance_1.rt,advance_1.started,advance_1.stopped,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,other_n_btn.stopped,end.started,end.stopped,end_press.keys,end_press.rt,end_press.started,end_press.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM021,001,2021_Dec_10_1227,ATM_main_5-19-21,2021.1.3,59.75756625734263,
0,0,0,0,3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1467.8807716276497,None,1467.8807716276497,None,['equal'],[1.4899998102337122],1467.8807716276497,None,1466.3808440379798,None,1466.3808440379798,None,,,1776.8768831919879,None,1,9.156548287719488,1776.8768831919879,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[19.68401838466525, 35.26787385717034, 49.95037733297795, 65.15551351290196, 80.23914532456547, 95.06673471536487, 109.77114179451019, 125.24886038340628, 140.06575535424054, 155.23082747589797, 170.2163095092401, 184.78770692832768, 201.63206197321415, 216.69857771508396, 228.66524307988584, 243.2810837375, 259.267406206578, 271.29771283548325, 287.1191059211269, 302.0478528961539]",1469.38116004318,None,1469.38116004318,None,1417.4978535259143,None,1417.4978535259143,None,1417.4978535259143,None,1,34.6072105569765,1417.4978535259143,None,,,,,,,,,,,ATM021,001,2021_Dec_10_1227,ATM_main_5-19-21,2021.1.3,59.75756625734263,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM021,001,2021_Dec_10_1227,ATM_main_5-19-21,2021.1.3,59.75756625734263,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM021,001,2021_Dec_10_1227,ATM_main_5-19-21,2021.1.3,59.75756625734263,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1808.525722693652,None,1808.525722693652,None,['equal'],[1.4858978670090437],1808.525722693652,None,1807.0313501516357,None,1807.0313501516357,None,,,2117.5388196203858,None,1,6.717648668214679,2117.5388196203858,None,1786.0605427501723,None,1786.0605427501723,None,1786.0605427501723,None,['1'],[7.249426449649036],1786.0605427501723,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[19.351925808005035, 40.26904311031103, 48.450491236522794, 67.66817671433091, 83.3675929447636, 87.61785818450153, 112.6162324892357, 150.8488282058388, 155.7173330988735, 184.64975962042809, 189.04970709700137, 197.88268942385912, 214.11547159031034, 223.46552180778235, 237.68236010987312, 261.3981002671644, 286.297927679494]",1810.259242692031,None,,,,,,,ATM021,001,2021_Dec_10_1227,ATM_main_5-19-21,2021.1.3,59.75756625734263,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM021,001,2021_Dec_10_1227,ATM_main_5-19-21,2021.1.3,59.75756625734263,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2152.9215297177434,None,2152.9215297177434,None,['equal'],[1.4848660454154015],2152.9215297177434,None,2151.4260569624603,None,2151.4260569624603,None,,,2461.9345337329432,None,1,10.18496937956661,2461.9345337329432,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[15.73773617297411, 31.05612727534026, 45.7174781979993, 75.61710935086012, 89.8511775098741, 104.10526765976101, 119.23347953613847, 131.53385149873793, 149.20010061282665, 173.98866461403668, 185.78327473532408, 201.53284344356507, 215.74978542421013, 234.53713294956833, 247.60253122262657, 274.38631070032716, 287.06925827171654, 300.6647434802726]",2154.421389773488,None,2154.421389773488,None,2124.2723264461383,None,2124.2723264461383,None,2124.2723264461383,None,1,14.173710839822888,2124.2723264461383,None,,,,,,,,,,,ATM021,001,2021_Dec_10_1227,ATM_main_5-19-21,2021.1.3,59.75756625734263,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM021,001,2021_Dec_10_1227,ATM_main_5-19-21,2021.1.3,59.75756625734263,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2497.533968437463,None,2497.533968437463,None,['equal'],[1.4896040372550488],2497.533968437463,None,2496.0339231183752,None,2496.0339231183752,None,,,2806.545614467934,None,1,5.3564945282414556,2806.545614467934,None,,,,,,,,,,,,,,,,,,,,,,,,,2472.133968233131,None,2472.133968233131,None,2472.133968233131,None,1,9.950429856777191,2472.133968233131,None,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[6.918239121325314, 15.734301500953734, 26.98558379895985, 41.78437475580722, 58.500408574938774, 65.71796845458448, 86.7837727246806, 92.80005733016878, 108.06667550094426, 117.28874924127012, 136.73655430506915, 147.80001740902662, 153.24952557031065, 171.0826365230605, 185.41523867007345, 191.49842989537865, 198.06476526893675, 211.0028733946383, 224.5365043496713, 236.78627103287727, 245.06316462066025, 257.35268993582577, 265.28618632350117, 277.87962569948286, 294.43121169134974, 305.88557373266667]",2499.033954025246,None,2499.033954025246,None,,,,,,,,,,,,,,,,,,,,,ATM021,001,2021_Dec_10_1227,ATM_main_5-19-21,2021.1.3,59.75756625734263,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM021,001,2021_Dec_10_1227,ATM_main_5-19-21,2021.1.3,59.75756625734263,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2833.749942445196,None,2833.749942445196,None,['equal'],[1.4811349138617516],2833.749942445196,None,2832.2504236735404,None,2832.2504236735404,None,,,3142.7583969281986,None,1,7.851883919909596,3142.7583969281986,None,,,,,,,,,,,,,,,2811.9289137059823,None,2811.9289137059823,None,2811.9289137059823,None,1,7.7232880322262645,2811.9289137059823,None,,,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[21.060732696205378, 43.04603494517505, 62.29487561341375, 99.26165781542659, 131.41070282831788, 151.42707229964435, 169.9444578308612, 188.29366316646338, 203.30838454980403, 219.2095184745267, 241.8928609099239, 265.85897028725594, 283.6924070417881]",2835.4849277203903,None,,,,,,,ATM021,001,2021_Dec_10_1227,ATM_main_5-19-21,2021.1.3,59.75756625734263,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM021,001,2021_Dec_10_1227,ATM_main_5-19-21,2021.1.3,59.75756625734263,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM021,001,2021_Dec_10_1227,ATM_main_5-19-21,2021.1.3,59.75756625734263,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3150.6244806740433,None,3150.6244806740433,None,3150.6244806740433,None,1,5.050650499761105,3150.6244806740433,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM021,001,2021_Dec_10_1227,ATM_main_5-19-21,2021.1.3,59.75756625734263,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3171.2582182912156,None,3171.2582182912156,None,['equal'],[1.489539154805243],3171.2582182912156,None,3169.7581552723423,None,3169.7581552723423,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM021,001,2021_Dec_10_1227,ATM_main_5-19-21,2021.1.3,59.75756625734263,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3172.7579351542518,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3480.2536348067224,None,space,10.301186083815992,3480.2536348067224,None,ATM021,001,2021_Dec_10_1227,ATM_main_5-19-21,2021.1.3,59.75756625734263,
