big_guy.thisRepN,big_guy.thisTrialN,big_guy.thisN,big_guy.thisIndex,outer_loop1.thisRepN,outer_loop1.thisTrialN,outer_loop1.thisN,outer_loop1.thisIndex,outer_loop2.thisRepN,outer_loop2.thisTrialN,outer_loop2.thisN,outer_loop2.thisIndex,MM_self_loop2.thisRepN,MM_self_loop2.thisTrialN,MM_self_loop2.thisN,MM_self_loop2.thisIndex,MC_self_loop2.thisRepN,MC_self_loop2.thisTrialN,MC_self_loop2.thisN,MC_self_loop2.thisIndex,MC_other_loop2.thisRepN,MC_other_loop2.thisTrialN,MC_other_loop2.thisN,MC_other_loop2.thisIndex,MM_other_loop2.thisRepN,MM_other_loop2.thisTrialN,MM_other_loop2.thisN,MM_other_loop2.thisIndex,MC_self_loop1.thisRepN,MC_self_loop1.thisTrialN,MC_self_loop1.thisN,MC_self_loop1.thisIndex,MM_self_loop1.thisRepN,MM_self_loop1.thisTrialN,MM_self_loop1.thisN,MM_self_loop1.thisIndex,MM_other_loop1.thisRepN,MM_other_loop1.thisTrialN,MM_other_loop1.thisN,MM_other_loop1.thisIndex,MC_other_loop1.thisRepN,MC_other_loop1.thisTrialN,MC_other_loop1.thisN,MC_other_loop1.thisIndex,begin_text.started,begin_text.stopped,begin_exp.keys,begin_exp.rt,begin_exp.started,begin_exp.stopped,Rest_title.started,Rest_title.stopped,rest_body.started,rest_body.stopped,rest_nxt.started,rest_nxt.stopped,advance_0.keys,advance_0.rt,advance_0.started,advance_0.stopped,begin_scan_txt.started,begin_scan_txt.stopped,still_txt.started,still_txt.stopped,begin_scan_btn.keys,begin_scan_btn.rt,begin_scan_btn.started,begin_scan_btn.stopped,wait_scan_txt.started,wait_scan_txt.stopped,still_txt2.started,still_txt2.stopped,trial_crosshair_rest.started,trial_crosshair_rest.stopped,break_txt.started,break_txt.stopped,break_btn.keys,break_btn.rt,break_btn.started,break_btn.stopped,MM_other_title.started,MM_other_title.stopped,MM_other_body.started,MM_other_body.stopped,MM_other_nxt.started,MM_other_nxt.stopped,advance3.keys,advance3.rt,advance3.started,advance3.stopped,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,other_n_btn.stopped,MC_self_title.started,MC_self_title.stopped,MC_self_body.started,MC_self_body.stopped,MC_self_nxt.started,MC_self_nxt.stopped,advance_1.keys,advance_1.rt,advance_1.started,advance_1.stopped,self_btn.keys,self_btn.rt,self_btn.started,self_btn.stopped,trial_crosshair.started,trial_crosshair.stopped,MC_other_title.started,MC_other_title.stopped,MC_other_body.started,MC_other_body.stopped,MC_other_nxt.started,MC_other_nxt.stopped,advance4.keys,advance4.rt,advance4.started,advance4.stopped,MM_self_title.started,MM_self_title.stopped,MM_self_body.started,MM_self_body.stopped,MM_self_nxt.started,MM_self_nxt.stopped,advance_2.keys,advance_2.rt,advance_2.started,advance_2.stopped,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started,other_j_btn1.stopped,end.started,end.stopped,end_press.keys,end_press.rt,end_press.started,end_press.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM023,001,2022_Jun_29_0959,ATM_main_5-19-21,2021.1.3,60.361734226657454,
0,0,0,0,,,,,3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1437.3508741259575,None,1437.3508741259575,None,['equal'],[1.480090449564159],1437.3508741259575,None,1435.8457479327917,None,1435.8457479327917,None,,,1746.3586706938222,None,1,9.65696879569441,1746.3586706938222,None,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1']","[67.08530430216342, 118.81528796255589, 136.0487525695935, 144.9715440860018, 186.51598017290235, 207.7830286733806, 242.3706399006769]",1438.845785024576,None,1438.845785024576,None,,,,,,,,,,,1402.1802473273128,None,1402.1802473273128,None,1402.1802473273128,None,1,21.250039690174162,1402.1802473273128,None,,,,,,,,,,,ATM023,001,2022_Jun_29_0959,ATM_main_5-19-21,2021.1.3,60.361734226657454,
0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM023,001,2022_Jun_29_0959,ATM_main_5-19-21,2021.1.3,60.361734226657454,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM023,001,2022_Jun_29_0959,ATM_main_5-19-21,2021.1.3,60.361734226657454,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1782.0962115200236,None,1782.0962115200236,None,['equal'],[1.4818238290026784],1782.0962115200236,None,1780.5958863459527,None,1780.5958863459527,None,,,2091.1039775134996,None,1,26.906494941562414,2091.1039775134996,None,1756.0414141546935,None,1756.0414141546935,None,1756.0414141546935,None,['1'],[5.722176776267588],1756.0414141546935,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[4.964352141134441, 16.830714139156044, 26.69779119361192, 31.22818900179118, 43.43040874134749, 44.794730314053595, 47.230336350388825, 55.38081760518253, 64.78068025130779, 70.61326210014522, 77.44631390273571, 88.3464380716905, 99.16337870527059, 111.81370966974646, 126.22737539000809, 137.7630783757195, 153.87912904284894, 202.59419952891767, 235.44279664102942, 269.67787627875805, 270.62773475889117, 276.1778868129477, 286.6946028377861, 293.96060739737004, 296.5764186941087]",1783.8295656861737,None,,,,,,,ATM023,001,2022_Jun_29_0959,ATM_main_5-19-21,2021.1.3,60.361734226657454,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM023,001,2022_Jun_29_0959,ATM_main_5-19-21,2021.1.3,60.361734226657454,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,2141.6033032415435,None,2141.6033032415435,None,['equal'],[1.4886116972193122],2141.6033032415435,None,2140.08686998114,None,2140.08686998114,None,,,2450.614935025573,None,1,7.040641086176038,2450.614935025573,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2118.03678488452,None,2118.03678488452,None,2118.03678488452,None,1,10.63859846163541,2118.03678488452,None,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[23.80290945712477, 46.66892673447728, 70.43239619769156, 92.51752872113138, 115.68150275852531, 134.4513267558068, 155.2486693141982, 178.76608574204147, 200.61609467677772, 222.93084759265184, 246.431985527277, 268.34816565178335, 298.94763860851526]",2143.3532084394246,None,,,,,,,ATM023,001,2022_Jun_29_0959,ATM_main_5-19-21,2021.1.3,60.361734226657454,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM023,001,2022_Jun_29_0959,ATM_main_5-19-21,2021.1.3,60.361734226657454,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2490.0154938586056,None,2490.0154938586056,None,['equal'],[1.4844601349905133],2490.0154938586056,None,2488.515265774913,None,2488.515265774913,None,,,2799.026867788285,None,1,2.951383151113987,2799.026867788285,None,,,,,,,,,,,,,,,2457.681916411966,None,2457.681916411966,None,2457.681916411966,None,1,18.200997755862772,2457.681916411966,None,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[23.534718989394605, 50.34713299293071, 74.88028681557626, 99.71201756410301, 123.31704749725759, 151.11214896012098, 180.29902748577297, 210.17761001084, 239.54869861155748, 267.07583700865507, 297.94781791977584]",2491.519166125916,None,2491.519166125916,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM023,001,2022_Jun_29_0959,ATM_main_5-19-21,2021.1.3,60.361734226657454,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM023,001,2022_Jun_29_0959,ATM_main_5-19-21,2021.1.3,60.361734226657454,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2848.826779118739,None,2848.826779118739,None,['equal'],[1.4890263434499502],2848.826779118739,None,2847.3256977936253,None,2847.3256977936253,None,,,3157.8222718304023,None,1,3.3020836440846324,3157.8222718304023,None,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1']","[64.86837778612971, 94.16655793040991, 128.58305402752012, 157.11685943510383, 195.40341213345528, 236.03077219240367, 291.5652122218162]",2850.325931352563,None,2850.325931352563,None,,,,,,,,,,,2801.993948776275,None,2801.993948776275,None,2801.993948776275,None,1,33.851638462394476,2801.993948776275,None,,,,,,,,,,,ATM023,001,2022_Jun_29_0959,ATM_main_5-19-21,2021.1.3,60.361734226657454,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM023,001,2022_Jun_29_0959,ATM_main_5-19-21,2021.1.3,60.361734226657454,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM023,001,2022_Jun_29_0959,ATM_main_5-19-21,2021.1.3,60.361734226657454,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3161.139321674593,None,3161.139321674593,None,3161.139321674593,None,1,9.06789386458695,3161.139321674593,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM023,001,2022_Jun_29_0959,ATM_main_5-19-21,2021.1.3,60.361734226657454,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3189.7767194472253,None,3189.7767194472253,None,['equal'],[1.480629839003086],3189.7767194472253,None,3188.276103552431,None,3188.276103552431,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM023,001,2022_Jun_29_0959,ATM_main_5-19-21,2021.1.3,60.361734226657454,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3191.2718009212986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3498.7843358414248,None,1,41.13344728760421,3498.7843358414248,None,ATM023,001,2022_Jun_29_0959,ATM_main_5-19-21,2021.1.3,60.361734226657454,
