big_guy.thisRepN,big_guy.thisTrialN,big_guy.thisN,big_guy.thisIndex,outer_loop1.thisRepN,outer_loop1.thisTrialN,outer_loop1.thisN,outer_loop1.thisIndex,outer_loop2.thisRepN,outer_loop2.thisTrialN,outer_loop2.thisN,outer_loop2.thisIndex,MM_self_loop2.thisRepN,MM_self_loop2.thisTrialN,MM_self_loop2.thisN,MM_self_loop2.thisIndex,MC_self_loop2.thisRepN,MC_self_loop2.thisTrialN,MC_self_loop2.thisN,MC_self_loop2.thisIndex,MC_other_loop2.thisRepN,MC_other_loop2.thisTrialN,MC_other_loop2.thisN,MC_other_loop2.thisIndex,MM_other_loop2.thisRepN,MM_other_loop2.thisTrialN,MM_other_loop2.thisN,MM_other_loop2.thisIndex,MC_self_loop1.thisRepN,MC_self_loop1.thisTrialN,MC_self_loop1.thisN,MC_self_loop1.thisIndex,MM_self_loop1.thisRepN,MM_self_loop1.thisTrialN,MM_self_loop1.thisN,MM_self_loop1.thisIndex,MM_other_loop1.thisRepN,MM_other_loop1.thisTrialN,MM_other_loop1.thisN,MM_other_loop1.thisIndex,MC_other_loop1.thisRepN,MC_other_loop1.thisTrialN,MC_other_loop1.thisN,MC_other_loop1.thisIndex,begin_text.started,begin_text.stopped,begin_exp.keys,begin_exp.rt,begin_exp.started,begin_exp.stopped,Rest_title.started,Rest_title.stopped,rest_body.started,rest_body.stopped,rest_nxt.started,rest_nxt.stopped,advance_0.keys,advance_0.rt,advance_0.started,advance_0.stopped,begin_scan_txt.started,begin_scan_txt.stopped,still_txt.started,still_txt.stopped,begin_scan_btn.keys,begin_scan_btn.rt,begin_scan_btn.started,begin_scan_btn.stopped,wait_scan_txt.started,wait_scan_txt.stopped,still_txt2.started,still_txt2.stopped,trial_crosshair_rest.started,trial_crosshair_rest.stopped,break_txt.started,break_txt.stopped,break_btn.keys,break_btn.started,break_btn.stopped,MC_other_title.started,MC_other_title.stopped,MC_other_body.started,MC_other_body.stopped,MC_other_nxt.started,MC_other_nxt.stopped,advance4.keys,advance4.rt,advance4.started,advance4.stopped,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,other_n_btn.stopped,MC_self_title.started,MC_self_title.stopped,MC_self_body.started,MC_self_body.stopped,MC_self_nxt.started,MC_self_nxt.stopped,advance_1.keys,advance_1.rt,advance_1.started,advance_1.stopped,self_btn.keys,self_btn.rt,self_btn.started,self_btn.stopped,trial_crosshair.started,trial_crosshair.stopped,MM_other_title.started,MM_other_title.stopped,MM_other_body.started,MM_other_body.stopped,MM_other_nxt.started,MM_other_nxt.stopped,advance3.keys,advance3.rt,advance3.started,advance3.stopped,MM_self_title.started,MM_self_title.stopped,MM_self_body.started,MM_self_body.stopped,MM_self_nxt.started,MM_self_nxt.stopped,advance_2.keys,advance_2.rt,advance_2.started,advance_2.stopped,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started,other_j_btn1.stopped,end.started,end.stopped,end_press.keys,end_press.rt,end_press.started,end_press.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM008,001,2021_Oct_20_1754,ATM_main_5-19-21,2021.1.3,59.8249552774062,
0,0,0,0,,,,,3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1557.4763269941323,None,1557.4763269941323,None,['equal'],[1.485550520941615],1557.4763269941323,None,1555.9764505340718,None,1555.9764505340718,None,,,1866.4889123719186,None,None,1866.4889123719186,None,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[25.800865429919213, 44.067067104857415, 77.83462350163609, 106.13345839269459, 118.43784192297608, 150.42118240194395, 180.66646154783666, 197.3828844218515, 256.835776085034, 272.03201377997175, 303.56925642164424]",1558.9763032332994,None,1558.9763032332994,None,,,,,,,,,,,1516.3806448369287,None,1516.3806448369287,None,1516.3806448369287,None,1,18.980729044880718,1516.3806448369287,None,,,,,,,,,,,ATM008,001,2021_Oct_20_1754,ATM_main_5-19-21,2021.1.3,59.8249552774062,
0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM008,001,2021_Oct_20_1754,ATM_main_5-19-21,2021.1.3,59.8249552774062,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM008,001,2021_Oct_20_1754,ATM_main_5-19-21,2021.1.3,59.8249552774062,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1931.921398774255,None,1931.921398774255,None,['equal'],[1.4834019197151065],1931.921398774255,None,1930.4205328379758,None,1930.4205328379758,None,,,2240.9331857510842,None,None,2240.9331857510842,None,1896.4876230889931,None,1896.4876230889931,None,1896.4876230889931,None,1,14.349984867032617,1896.4876230889931,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[22.967709973920137, 41.23402715101838, 65.23392326524481, 83.33447982603684, 106.70009504817426, 129.50023081991822, 164.75026348931715, 191.48278013197705, 213.3984385910444, 235.54924389487132, 259.3484639581293, 290.43145357398316]",1933.6545748570934,None,,,,,,,ATM008,001,2021_Oct_20_1754,ATM_main_5-19-21,2021.1.3,59.8249552774062,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM008,001,2021_Oct_20_1754,ATM_main_5-19-21,2021.1.3,59.8249552774062,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2309.953812621068,None,2309.953812621068,None,['equal'],[1.479203867726028],2309.953812621068,None,2308.4499029652216,None,2308.4499029652216,None,,,2618.9614175851457,None,None,2618.9614175851457,None,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[22.655422845389694, 51.58340061130002, 75.2049345811829, 87.41498582297936, 101.56677698623389, 121.31655714241788, 140.35366369225085, 152.70366488117725, 186.13182496419176, 203.48630610434338, 219.9030150421895, 230.03607331123203, 260.7864582319744, 282.5526563283056, 295.25190769927576]",2311.449897865299,None,2311.449897865299,None,,,,,,,,,,,2270.933020646218,None,2270.933020646218,None,2270.933020646218,None,1,20.12291240505874,2270.933020646218,None,,,,,,,,,,,ATM008,001,2021_Oct_20_1754,ATM_main_5-19-21,2021.1.3,59.8249552774062,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM008,001,2021_Oct_20_1754,ATM_main_5-19-21,2021.1.3,59.8249552774062,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2687.982651778031,None,2687.982651778031,None,['equal'],[1.4845957541838288],2687.982651778031,None,2686.4779283083044,None,2686.4779283083044,None,,,2996.989772131201,None,None,2996.989772131201,None,,,,,,,,,,,,,,,2648.961459016893,None,2648.961459016893,None,2648.961459016893,None,1,18.789391338825226,2648.961459016893,None,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[22.418313462287188, 52.1845809831284, 68.98970034206286, 86.88829715689644, 102.00055775325745, 128.70465653110296, 148.25404581287876, 162.81556545197964, 180.65325025608763, 189.23267192812636, 200.3191505218856, 209.71498936926946, 224.46953455125913, 238.04787319386378, 261.89765990618616, 281.96591421216726, 295.81335496297106]",2689.4781893300824,None,2689.4781893300824,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM008,001,2021_Oct_20_1754,ATM_main_5-19-21,2021.1.3,59.8249552774062,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM008,001,2021_Oct_20_1754,ATM_main_5-19-21,2021.1.3,59.8249552774062,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3054.4229987422004,None,3054.4229987422004,None,['equal'],[1.4898978928104043],3054.4229987422004,None,3052.923019051086,None,3052.923019051086,None,,,3363.435650077183,None,None,3363.435650077183,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3026.9903540792875,None,3026.9903540792875,None,3026.9903540792875,None,['1'],[8.934034433681518],3026.9903540792875,None,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[42.35064451536164, 69.88289319816977, 105.14958202233538, 110.59872329514474, 128.11670091701671, 151.8644238882698, 154.89851946104318, 203.83260126737878, 234.38031273707747, 240.7147557521239, 269.0974952452816, 276.12973034614697, 286.66399539634585, 293.74625411909074, 298.7139490339905]",3056.1733394539915,None,,,,,,,ATM008,001,2021_Oct_20_1754,ATM_main_5-19-21,2021.1.3,59.8249552774062,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM008,001,2021_Oct_20_1754,ATM_main_5-19-21,2021.1.3,59.8249552774062,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM008,001,2021_Oct_20_1754,ATM_main_5-19-21,2021.1.3,59.8249552774062,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3393.4353619231842,None,3393.4353619231842,None,3393.4353619231842,None,1,9.251050397288054,3393.4353619231842,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM008,001,2021_Oct_20_1754,ATM_main_5-19-21,2021.1.3,59.8249552774062,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3426.767280288972,None,3426.767280288972,None,['equal'],[1.4737534541636705],3426.767280288972,None,3425.267449192237,None,3425.267449192237,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM008,001,2021_Oct_20_1754,ATM_main_5-19-21,2021.1.3,59.8249552774062,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3428.2509772670455,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3735.763976764865,None,space,15.189819211140275,3735.763976764865,None,ATM008,001,2021_Oct_20_1754,ATM_main_5-19-21,2021.1.3,59.8249552774062,
