big_guy.thisRepN,big_guy.thisTrialN,big_guy.thisN,big_guy.thisIndex,outer_loop1.thisRepN,outer_loop1.thisTrialN,outer_loop1.thisN,outer_loop1.thisIndex,MC_self_loop1.thisRepN,MC_self_loop1.thisTrialN,MC_self_loop1.thisN,MC_self_loop1.thisIndex,MM_self_loop1.thisRepN,MM_self_loop1.thisTrialN,MM_self_loop1.thisN,MM_self_loop1.thisIndex,MM_other_loop1.thisRepN,MM_other_loop1.thisTrialN,MM_other_loop1.thisN,MM_other_loop1.thisIndex,MC_other_loop1.thisRepN,MC_other_loop1.thisTrialN,MC_other_loop1.thisN,MC_other_loop1.thisIndex,outer_loop2.thisRepN,outer_loop2.thisTrialN,outer_loop2.thisN,outer_loop2.thisIndex,MM_self_loop2.thisRepN,MM_self_loop2.thisTrialN,MM_self_loop2.thisN,MM_self_loop2.thisIndex,MC_self_loop2.thisRepN,MC_self_loop2.thisTrialN,MC_self_loop2.thisN,MC_self_loop2.thisIndex,MC_other_loop2.thisRepN,MC_other_loop2.thisTrialN,MC_other_loop2.thisN,MC_other_loop2.thisIndex,MM_other_loop2.thisRepN,MM_other_loop2.thisTrialN,MM_other_loop2.thisN,MM_other_loop2.thisIndex,begin_text.started,begin_text.stopped,begin_exp.keys,begin_exp.rt,begin_exp.started,begin_exp.stopped,Rest_title.started,Rest_title.stopped,rest_body.started,rest_body.stopped,rest_nxt.started,rest_nxt.stopped,advance_0.keys,advance_0.rt,advance_0.started,advance_0.stopped,begin_scan_txt.started,begin_scan_txt.stopped,still_txt.started,still_txt.stopped,begin_scan_btn.keys,begin_scan_btn.rt,begin_scan_btn.started,begin_scan_btn.stopped,wait_scan_txt.started,wait_scan_txt.stopped,still_txt2.started,still_txt2.stopped,trial_crosshair_rest.started,trial_crosshair_rest.stopped,break_txt.started,break_txt.stopped,break_btn.keys,break_btn.rt,break_btn.started,break_btn.stopped,MC_self_title.started,MC_self_title.stopped,MC_self_body.started,MC_self_body.stopped,MC_self_nxt.started,MC_self_nxt.stopped,advance_1.keys,advance_1.rt,advance_1.started,advance_1.stopped,self_btn.keys,self_btn.rt,self_btn.started,self_btn.stopped,trial_crosshair.started,trial_crosshair.stopped,MM_self_title.started,MM_self_title.stopped,MM_self_body.started,MM_self_body.stopped,MM_self_nxt.started,MM_self_nxt.stopped,advance_2.keys,advance_2.rt,advance_2.started,advance_2.stopped,MC_other_title.started,MC_other_title.stopped,MC_other_body.started,MC_other_body.stopped,MC_other_nxt.started,MC_other_nxt.stopped,advance4.keys,advance4.rt,advance4.started,advance4.stopped,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started,other_j_btn1.stopped,MM_other_title.started,MM_other_title.stopped,MM_other_body.started,MM_other_body.stopped,MM_other_nxt.started,MM_other_nxt.stopped,advance3.keys,advance3.rt,advance3.started,advance3.stopped,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,other_n_btn.stopped,end.started,end.stopped,end_press.keys,end_press.rt,end_press.started,end_press.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM012,001,2021_Nov_04_1510,ATM_main_5-19-21,2021.1.3,59.99911812498956,
0,0,0,0,3,0,3,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1460.5927212079987,None,1460.5927212079987,None,['equal'],[1.4770108009688556],1460.5927212079987,None,1459.0874550309964,None,1459.0874550309964,None,,,1769.5991596882232,None,1,3.5402301172725856,1769.5991596882232,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1']","[49.21038436796516, 110.64335412858054, 152.50989064294845, 189.54490188881755, 222.21100826980546, 234.89196310797706, 270.4270403487608, 273.4940312849358, 277.8407406206243]",1462.3427192633972,None,1432.4055389831774,None,1432.4055389831774,None,1432.4055389831774,None,['1'],[6.599844040814787],1432.4055389831774,None,,,,,,,,,,,ATM012,001,2021_Nov_04_1510,ATM_main_5-19-21,2021.1.3,59.99911812498956,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM012,001,2021_Nov_04_1510,ATM_main_5-19-21,2021.1.3,59.99911812498956,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM012,001,2021_Nov_04_1510,ATM_main_5-19-21,2021.1.3,59.99911812498956,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1812.7831290890463,None,1812.7831290890463,None,['equal'],[1.483075425028801],1812.7831290890463,None,1811.283663844224,None,1811.283663844224,None,,,2121.7934491760097,None,1,1.871874047908932,2121.7934491760097,None,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[47.99928562482819, 76.57239324599504, 92.56394412182271, 124.39940137369558, 149.25408059963956, 175.01487288065255, 187.68404993787408, 209.69953399896622, 226.39901756169274, 247.6820794600062]",1814.2833493831567,None,1814.2833493831567,None,1773.1677791853435,None,1773.1677791853435,None,1773.1677791853435,None,1,26.033346530981362,1773.1677791853435,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM012,001,2021_Nov_04_1510,ATM_main_5-19-21,2021.1.3,59.99911812498956,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM012,001,2021_Nov_04_1510,ATM_main_5-19-21,2021.1.3,59.99911812498956,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2145.979344810359,None,2145.979344810359,None,['equal'],[1.483155446127057],2145.979344810359,None,2144.4788363710977,None,2144.4788363710977,None,,,2454.9734668242745,None,1,2.057422388345003,2454.9734668242745,None,2123.6967315170914,None,2123.6967315170914,None,2123.6967315170914,None,1,8.63756920862943,2123.6967315170914,None,"['1', '1', '1', '1', '1', '1', '1', '1']","[17.633472559973598, 98.67039690492675, 113.68912935769185, 135.1335368528962, 260.1359703759663, 277.02979595400393, 292.21121825510636, 306.9959749719128]",2147.4790145233274,None,2147.4790145233274,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM012,001,2021_Nov_04_1510,ATM_main_5-19-21,2021.1.3,59.99911812498956,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM012,001,2021_Nov_04_1510,ATM_main_5-19-21,2021.1.3,59.99911812498956,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,2492.024013224989,None,2492.024013224989,None,['equal'],[1.4688486838713288],2492.024013224989,None,2490.506085842382,None,2490.506085842382,None,,,2801.017501879018,None,1,2.3544274480082095,2801.017501879018,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2457.0577253103256,None,2457.0577253103256,None,2457.0577253103256,None,['1'],[3.17178218299523],2457.0577253103256,None,"['1', '1', '1', '1', '1', '1', '1']","[39.80088327312842, 82.85024559078738, 112.8149090227671, 155.61652829311788, 188.5997046912089, 221.43477648077533, 307.21489847498015]",2493.739213647321,None,,,,,,,ATM012,001,2021_Nov_04_1510,ATM_main_5-19-21,2021.1.3,59.99911812498956,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM012,001,2021_Nov_04_1510,ATM_main_5-19-21,2021.1.3,59.99911812498956,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2836.9363630763255,None,2836.9363630763255,None,['equal'],[1.4832202442921698],2836.9363630763255,None,2835.436212509405,None,2835.436212509405,None,,,3145.9486277201213,None,1,8.468886453192681,3145.9486277201213,None,,,,,,,,,,,,,,,,,,,,,,,,,,,2803.4044419564307,None,2803.4044419564307,None,2803.4044419564307,None,1,12.896477357950062,2803.4044419564307,None,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[17.735601578839123, 20.91756827989593, 35.13712262082845, 58.08656034106389, 78.40016713691875, 100.11976736783981, 122.38365726592019, 149.29922196874395, 181.63432350289077, 205.06508122803643, 221.93074336694553, 263.2474200008437, 282.7981397160329, 303.01432754984125]",2838.6847970820963,None,,,,,,,ATM012,001,2021_Nov_04_1510,ATM_main_5-19-21,2021.1.3,59.99911812498956,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM012,001,2021_Nov_04_1510,ATM_main_5-19-21,2021.1.3,59.99911812498956,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM012,001,2021_Nov_04_1510,ATM_main_5-19-21,2021.1.3,59.99911812498956,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3154.450064477045,None,3154.450064477045,None,3154.450064477045,None,1,4.731875793077052,3154.450064477045,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM012,001,2021_Nov_04_1510,ATM_main_5-19-21,2021.1.3,59.99911812498956,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3178.563336528372,None,3178.563336528372,None,['equal'],[1.4868210451677442],3178.563336528372,None,3177.0830736230128,None,3177.0830736230128,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM012,001,2021_Nov_04_1510,ATM_main_5-19-21,2021.1.3,59.99911812498956,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3180.062852605246,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3487.5660243374296,None,1,9.51185602368787,3487.5660243374296,None,ATM012,001,2021_Nov_04_1510,ATM_main_5-19-21,2021.1.3,59.99911812498956,
