big_guy.thisRepN,big_guy.thisTrialN,big_guy.thisN,big_guy.thisIndex,outer_loop1.thisRepN,outer_loop1.thisTrialN,outer_loop1.thisN,outer_loop1.thisIndex,MC_self_loop1.thisRepN,MC_self_loop1.thisTrialN,MC_self_loop1.thisN,MC_self_loop1.thisIndex,MM_self_loop1.thisRepN,MM_self_loop1.thisTrialN,MM_self_loop1.thisN,MM_self_loop1.thisIndex,MM_other_loop1.thisRepN,MM_other_loop1.thisTrialN,MM_other_loop1.thisN,MM_other_loop1.thisIndex,MC_other_loop1.thisRepN,MC_other_loop1.thisTrialN,MC_other_loop1.thisN,MC_other_loop1.thisIndex,outer_loop2.thisRepN,outer_loop2.thisTrialN,outer_loop2.thisN,outer_loop2.thisIndex,MM_self_loop2.thisRepN,MM_self_loop2.thisTrialN,MM_self_loop2.thisN,MM_self_loop2.thisIndex,MC_self_loop2.thisRepN,MC_self_loop2.thisTrialN,MC_self_loop2.thisN,MC_self_loop2.thisIndex,MC_other_loop2.thisRepN,MC_other_loop2.thisTrialN,MC_other_loop2.thisN,MC_other_loop2.thisIndex,MM_other_loop2.thisRepN,MM_other_loop2.thisTrialN,MM_other_loop2.thisN,MM_other_loop2.thisIndex,begin_text.started,begin_text.stopped,begin_exp.keys,begin_exp.rt,begin_exp.started,begin_exp.stopped,Rest_title.started,Rest_title.stopped,rest_body.started,rest_body.stopped,rest_nxt.started,rest_nxt.stopped,advance_0.keys,advance_0.rt,advance_0.started,advance_0.stopped,begin_scan_txt.started,begin_scan_txt.stopped,still_txt.started,still_txt.stopped,begin_scan_btn.keys,begin_scan_btn.rt,begin_scan_btn.started,begin_scan_btn.stopped,wait_scan_txt.started,wait_scan_txt.stopped,still_txt2.started,still_txt2.stopped,trial_crosshair_rest.started,trial_crosshair_rest.stopped,break_txt.started,break_txt.stopped,break_btn.keys,break_btn.rt,break_btn.started,break_btn.stopped,MM_self_title.started,MM_self_title.stopped,MM_self_body.started,MM_self_body.stopped,MM_self_nxt.started,MM_self_nxt.stopped,advance_2.keys,advance_2.rt,advance_2.started,advance_2.stopped,self_btn.keys,self_btn.rt,self_btn.started,self_btn.stopped,trial_crosshair.started,trial_crosshair.stopped,MC_other_title.started,MC_other_title.stopped,MC_other_body.started,MC_other_body.stopped,MC_other_nxt.started,MC_other_nxt.stopped,advance4.keys,advance4.rt,advance4.started,advance4.stopped,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started,other_j_btn1.stopped,MC_self_title.started,MC_self_title.stopped,MC_self_body.started,MC_self_body.stopped,MC_self_nxt.started,MC_self_nxt.stopped,advance_1.keys,advance_1.rt,advance_1.started,advance_1.stopped,MM_other_title.started,MM_other_title.stopped,MM_other_body.started,MM_other_body.stopped,MM_other_nxt.started,MM_other_nxt.stopped,advance3.keys,advance3.rt,advance3.started,advance3.stopped,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,other_n_btn.stopped,end.started,end.stopped,end_press.keys,end_press.rt,end_press.started,end_press.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM014,001,2021_Nov_08_1527,ATM_main_5-19-21,2021.1.3,59.985003383571005,
0,0,0,0,3,0,3,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1532.211339152418,None,1532.211339152418,None,['equal'],[1.489392670802772],1532.211339152418,None,1530.7133682193235,None,1530.7133682193235,None,,,1841.2239365084097,None,None,,1841.2239365084097,None,,,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1']","[110.5499494029209, 146.26635859441012, 298.37868810631335]",1533.961498528719,None,,,,,,,,,,,1505.0448479140177,None,1505.0448479140177,None,1505.0448479140177,None,['1'],[21.702117794193327],1505.0448479140177,None,,,,,,,,,,,ATM014,001,2021_Nov_08_1527,ATM_main_5-19-21,2021.1.3,59.985003383571005,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM014,001,2021_Nov_08_1527,ATM_main_5-19-21,2021.1.3,59.985003383571005,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM014,001,2021_Nov_08_1527,ATM_main_5-19-21,2021.1.3,59.985003383571005,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1899.0063471561298,None,1899.0063471561298,None,['equal'],[1.4902555914595723],1899.0063471561298,None,1897.5056544579566,None,1897.5056544579566,None,,,2208.0181999681517,None,1,17.05666535627097,2208.0181999681517,None,,,,,,,,,,,,,,,,,1871.222618009895,None,1871.222618009895,None,1871.222618009895,None,1,9.888060342520475,1871.222618009895,None,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[17.968997137621045, 39.30151922814548, 61.45151598658413, 81.2512420322746, 104.10043988656253, 125.20094828028232, 141.5010456526652, 161.91719231940806, 185.11594027560204, 204.73180698882788, 224.9158112294972, 248.54998691380024, 268.4651033850387, 290.4150264179334]",1900.7387692015618,None,,,,,,,ATM014,001,2021_Nov_08_1527,ATM_main_5-19-21,2021.1.3,59.985003383571005,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM014,001,2021_Nov_08_1527,ATM_main_5-19-21,2021.1.3,59.985003383571005,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2306.5555784106255,None,2306.5555784106255,None,['equal'],[1.4802279155701399],2306.5555784106255,None,2305.0505382111296,None,2305.0505382111296,None,,,2615.5671369442716,None,1,15.096884669736028,2615.5671369442716,None,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[20.485245051793754, 45.989625855349004, 71.33914342243224, 92.85515552200377, 116.8548381710425, 139.06703491602093, 158.53772366512567, 179.33750699274242, 203.55397784896195, 225.34874364174902, 240.55478118546307, 265.7478387374431, 287.2182033630088, 305.035411872901]",2308.0504752881825,None,2308.0504752881825,None,,,,,,,,,,,,,,,2225.1016898732632,None,2225.1016898732632,None,2225.1016898732632,None,1,13.518147275783122,2225.1016898732632,None,,,,,,,,,,,,,,,,,,,,,ATM014,001,2021_Nov_08_1527,ATM_main_5-19-21,2021.1.3,59.985003383571005,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM014,001,2021_Nov_08_1527,ATM_main_5-19-21,2021.1.3,59.985003383571005,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,2660.799933454022,None,2660.799933454022,None,['equal'],[1.4842960461974144],2660.799933454022,None,2659.2952464390546,None,2659.2952464390546,None,,,2969.8085671719164,None,1,23.206653429195285,2969.8085671719164,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2630.6795010920614,None,2630.6795010920614,None,2630.6795010920614,None,['1'],[12.156160566024482],2630.6795010920614,None,"['1', '1', '1', '1', '1']","[39.63008492253721, 77.945582090877, 168.71112325694412, 206.19481653440744, 257.3439452648163]",2662.533637650311,None,,,,,,,ATM014,001,2021_Nov_08_1527,ATM_main_5-19-21,2021.1.3,59.985003383571005,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM014,001,2021_Nov_08_1527,ATM_main_5-19-21,2021.1.3,59.985003383571005,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3025.2405289988965,None,3025.2405289988965,None,['equal'],[1.4860990829765797],3025.2405289988965,None,3023.7448868658394,None,3023.7448868658394,None,,,3334.253291216679,None,1,12.553127818740904,3334.253291216679,None,2993.0408485317603,None,2993.0408485317603,None,2993.0408485317603,None,1,18.524891990236938,2993.0408485317603,None,"['1', '1', '1', '1', '1', '1', '1', '1']","[57.95586373656988, 88.03452807944268, 129.75004066061229, 166.08824912831187, 194.73543074540794, 238.7484687808901, 263.2997919190675, 289.5819805189967]",3026.7408557944,None,3026.7408557944,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM014,001,2021_Nov_08_1527,ATM_main_5-19-21,2021.1.3,59.985003383571005,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM014,001,2021_Nov_08_1527,ATM_main_5-19-21,2021.1.3,59.985003383571005,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM014,001,2021_Nov_08_1527,ATM_main_5-19-21,2021.1.3,59.985003383571005,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3346.819767393172,None,3346.819767393172,None,3346.819767393172,None,1,11.920761812478304,3346.819767393172,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM014,001,2021_Nov_08_1527,ATM_main_5-19-21,2021.1.3,59.985003383571005,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3371.573821309954,None,3371.573821309954,None,['equal'],[1.4819582561030984],3371.573821309954,None,3370.0692417193204,None,3370.0692417193204,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM014,001,2021_Nov_08_1527,ATM_main_5-19-21,2021.1.3,59.985003383571005,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3373.069508317858,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3680.582260302268,None,space,9.418911480344832,3680.582260302268,None,ATM014,001,2021_Nov_08_1527,ATM_main_5-19-21,2021.1.3,59.985003383571005,
