big_guy.thisRepN,big_guy.thisTrialN,big_guy.thisN,big_guy.thisIndex,outer_loop1.thisRepN,outer_loop1.thisTrialN,outer_loop1.thisN,outer_loop1.thisIndex,outer_loop2.thisRepN,outer_loop2.thisTrialN,outer_loop2.thisN,outer_loop2.thisIndex,MM_self_loop2.thisRepN,MM_self_loop2.thisTrialN,MM_self_loop2.thisN,MM_self_loop2.thisIndex,MC_self_loop2.thisRepN,MC_self_loop2.thisTrialN,MC_self_loop2.thisN,MC_self_loop2.thisIndex,MC_other_loop2.thisRepN,MC_other_loop2.thisTrialN,MC_other_loop2.thisN,MC_other_loop2.thisIndex,MM_other_loop2.thisRepN,MM_other_loop2.thisTrialN,MM_other_loop2.thisN,MM_other_loop2.thisIndex,MC_self_loop1.thisRepN,MC_self_loop1.thisTrialN,MC_self_loop1.thisN,MC_self_loop1.thisIndex,MM_self_loop1.thisRepN,MM_self_loop1.thisTrialN,MM_self_loop1.thisN,MM_self_loop1.thisIndex,MM_other_loop1.thisRepN,MM_other_loop1.thisTrialN,MM_other_loop1.thisN,MM_other_loop1.thisIndex,MC_other_loop1.thisRepN,MC_other_loop1.thisTrialN,MC_other_loop1.thisN,MC_other_loop1.thisIndex,begin_text.started,begin_text.stopped,begin_exp.keys,begin_exp.rt,begin_exp.started,begin_exp.stopped,Rest_title.started,Rest_title.stopped,rest_body.started,rest_body.stopped,rest_nxt.started,rest_nxt.stopped,advance_0.keys,advance_0.rt,advance_0.started,advance_0.stopped,begin_scan_txt.started,begin_scan_txt.stopped,still_txt.started,still_txt.stopped,begin_scan_btn.keys,begin_scan_btn.rt,begin_scan_btn.started,begin_scan_btn.stopped,wait_scan_txt.started,wait_scan_txt.stopped,still_txt2.started,still_txt2.stopped,trial_crosshair_rest.started,trial_crosshair_rest.stopped,break_txt.started,break_txt.stopped,break_btn.keys,break_btn.started,break_btn.stopped,MC_other_title.started,MC_other_title.stopped,MC_other_body.started,MC_other_body.stopped,MC_other_nxt.started,MC_other_nxt.stopped,advance4.keys,advance4.rt,advance4.started,advance4.stopped,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,other_n_btn.stopped,MM_other_title.started,MM_other_title.stopped,MM_other_body.started,MM_other_body.stopped,MM_other_nxt.started,MM_other_nxt.stopped,advance3.keys,advance3.rt,advance3.started,advance3.stopped,MM_self_title.started,MM_self_title.stopped,MM_self_body.started,MM_self_body.stopped,MM_self_nxt.started,MM_self_nxt.stopped,advance_2.keys,advance_2.rt,advance_2.started,advance_2.stopped,self_btn.keys,self_btn.rt,self_btn.started,self_btn.stopped,trial_crosshair.started,trial_crosshair.stopped,MC_self_title.started,MC_self_title.stopped,MC_self_body.started,MC_self_body.stopped,MC_self_nxt.started,MC_self_nxt.stopped,advance_1.keys,advance_1.rt,advance_1.started,advance_1.stopped,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started,other_j_btn1.stopped,end.started,end.stopped,end_press.keys,end_press.rt,end_press.started,end_press.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM017,001,2021_Nov_19_1700,ATM_main_5-19-21,2021.1.3,60.07945611236311,
0,0,0,0,,,,,3,0,3,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1656.8149211825803,None,1656.8149211825803,None,['equal'],[1.4854609025642276],1656.8149211825803,None,1655.3142341328785,None,1655.3142341328785,None,,,1965.8270303402096,None,None,1965.8270303402096,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1']","[32.113153961487114, 61.6957508251071, 94.66287096962333, 127.37961134687066, 159.91061070468277, 187.9476088564843, 218.49394762609154, 248.87499567959458, 279.1812560847029]",1658.3194299628958,None,1658.3194299628958,None,1576.9326697001234,None,1576.9326697001234,None,1576.9326697001234,None,1,65.8505481723696,1576.9326697001234,None,,,,,,,,,,,ATM017,001,2021_Nov_19_1700,ATM_main_5-19-21,2021.1.3,60.07945611236311,
0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM017,001,2021_Nov_19_1700,ATM_main_5-19-21,2021.1.3,60.07945611236311,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM017,001,2021_Nov_19_1700,ATM_main_5-19-21,2021.1.3,60.07945611236311,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2048.4432054543868,None,2048.4432054543868,None,['equal'],[1.482920759357512],2048.4432054543868,None,2046.9435871653259,None,2046.9435871653259,None,,,2357.4549414459616,None,None,2357.4549414459616,None,,,,,,,,,,,,,,,1995.8271168824285,None,1995.8271168824285,None,1995.8271168824285,None,['1'],[39.6534540085122],1995.8271168824285,None,,,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1']","[37.001297637820244, 62.05149411968887, 111.79836628213525, 148.45004679821432, 175.91627780161798, 213.71556275896728, 237.66542846523225, 254.31516607198864, 289.91446103993803]",2050.1763475900516,None,,,,,,,ATM017,001,2021_Nov_19_1700,ATM_main_5-19-21,2021.1.3,60.07945611236311,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM017,001,2021_Nov_19_1700,ATM_main_5-19-21,2021.1.3,60.07945611236311,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2478.67508699093,None,2478.67508699093,None,['equal'],[1.4855249915271997],2478.67508699093,None,2477.1702734129503,None,2477.1702734129503,None,,,2787.6664481479675,None,None,2787.6664481479675,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[40.77224801015109, 72.1838050680235, 102.17185037583113, 128.4173637116328, 152.86599463876337, 180.0485333316028, 206.78721376974136, 236.70327223744243, 259.1323812212795, 287.6151660969481]",2480.170450030826,None,2480.170450030826,None,2387.4548462620005,None,2387.4548462620005,None,2387.4548462620005,None,1,69.00174069032073,2387.4548462620005,None,,,,,,,,,,,ATM017,001,2021_Nov_19_1700,ATM_main_5-19-21,2021.1.3,60.07945611236311,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM017,001,2021_Nov_19_1700,ATM_main_5-19-21,2021.1.3,60.07945611236311,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,2858.3866822980344,None,2858.3866822980344,None,['equal'],[1.4808399453759193],2858.3866822980344,None,2856.8864873023704,None,2856.8864873023704,None,,,3167.394534310326,None,None,3167.394534310326,None,2817.682823114097,None,2817.682823114097,None,2817.682823114097,None,1,26.066481373272836,2817.682823114097,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[24.902200208976865, 47.13538240548223, 71.76766800507903, 93.91751792095602, 122.96728786174208, 147.28283096291125, 171.39962499774992, 193.9164008134976, 219.78313565719873, 247.29882277920842, 300.02952293958515]",2860.1317292898893,None,,,,,,,ATM017,001,2021_Nov_19_1700,ATM_main_5-19-21,2021.1.3,60.07945611236311,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM017,001,2021_Nov_19_1700,ATM_main_5-19-21,2021.1.3,60.07945611236311,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,3249.3763359049335,None,3249.3763359049335,None,['equal'],[1.4906123047694564],3249.3763359049335,None,3247.87712545041,None,3247.87712545041,None,,,3558.3889204263687,None,None,3558.3889204263687,None,,,,,,,,,,,,,,,,,,,,,,,,,3197.3945791982114,None,3197.3945791982114,None,3197.3945791982114,None,1,38.98287111520767,3197.3945791982114,None,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[29.3730364209041, 67.53493344318122, 76.15106529556215, 106.20064014662057, 127.17163519840688, 139.00062065012753, 155.85398379992694, 167.86863093078136, 179.53283037338406, 192.91625760216266, 207.99957076646388, 228.84787516482174, 239.43214123044163, 252.6862188037485, 264.46819228772074, 279.91991550754756, 300.4486699728295]",3250.8762818779796,None,3250.8762818779796,None,,,,,,,,,,,,,,,,,,,,,ATM017,001,2021_Nov_19_1700,ATM_main_5-19-21,2021.1.3,60.07945611236311,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM017,001,2021_Nov_19_1700,ATM_main_5-19-21,2021.1.3,60.07945611236311,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM017,001,2021_Nov_19_1700,ATM_main_5-19-21,2021.1.3,60.07945611236311,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3588.3887011231855,None,3588.3887011231855,None,3588.3887011231855,None,1,11.33930135704577,3588.3887011231855,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM017,001,2021_Nov_19_1700,ATM_main_5-19-21,2021.1.3,60.07945611236311,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3614.488121648319,None,3614.488121648319,None,['equal'],[1.485698552802205],3614.488121648319,None,3612.9883394744247,None,3612.9883394744247,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM017,001,2021_Nov_19_1700,ATM_main_5-19-21,2021.1.3,60.07945611236311,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3615.9883157275617,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3923.5007944358513,None,space,150.29785246495157,3923.5007944358513,None,ATM017,001,2021_Nov_19_1700,ATM_main_5-19-21,2021.1.3,60.07945611236311,
