big_guy.thisRepN,big_guy.thisTrialN,big_guy.thisN,big_guy.thisIndex,outer_loop1.thisRepN,outer_loop1.thisTrialN,outer_loop1.thisN,outer_loop1.thisIndex,outer_loop2.thisRepN,outer_loop2.thisTrialN,outer_loop2.thisN,outer_loop2.thisIndex,MM_self_loop2.thisRepN,MM_self_loop2.thisTrialN,MM_self_loop2.thisN,MM_self_loop2.thisIndex,MC_self_loop2.thisRepN,MC_self_loop2.thisTrialN,MC_self_loop2.thisN,MC_self_loop2.thisIndex,MC_other_loop2.thisRepN,MC_other_loop2.thisTrialN,MC_other_loop2.thisN,MC_other_loop2.thisIndex,MM_other_loop2.thisRepN,MM_other_loop2.thisTrialN,MM_other_loop2.thisN,MM_other_loop2.thisIndex,MC_self_loop1.thisRepN,MC_self_loop1.thisTrialN,MC_self_loop1.thisN,MC_self_loop1.thisIndex,MM_self_loop1.thisRepN,MM_self_loop1.thisTrialN,MM_self_loop1.thisN,MM_self_loop1.thisIndex,MM_other_loop1.thisRepN,MM_other_loop1.thisTrialN,MM_other_loop1.thisN,MM_other_loop1.thisIndex,MC_other_loop1.thisRepN,MC_other_loop1.thisTrialN,MC_other_loop1.thisN,MC_other_loop1.thisIndex,begin_text.started,begin_text.stopped,begin_exp.keys,begin_exp.rt,begin_exp.started,begin_exp.stopped,Rest_title.started,Rest_title.stopped,rest_body.started,rest_body.stopped,rest_nxt.started,rest_nxt.stopped,advance_0.keys,advance_0.rt,advance_0.started,advance_0.stopped,begin_scan_txt.started,begin_scan_txt.stopped,still_txt.started,still_txt.stopped,begin_scan_btn.keys,begin_scan_btn.rt,begin_scan_btn.started,begin_scan_btn.stopped,wait_scan_txt.started,wait_scan_txt.stopped,still_txt2.started,still_txt2.stopped,trial_crosshair_rest.started,trial_crosshair_rest.stopped,break_txt.started,break_txt.stopped,break_btn.keys,break_btn.started,break_btn.stopped,MC_other_title.started,MC_other_title.stopped,MC_other_body.started,MC_other_body.stopped,MC_other_nxt.started,MC_other_nxt.stopped,advance4.keys,advance4.rt,advance4.started,advance4.stopped,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,other_n_btn.stopped,break_btn.rt,MC_self_title.started,MC_self_title.stopped,MC_self_body.started,MC_self_body.stopped,MC_self_nxt.started,MC_self_nxt.stopped,advance_1.keys,advance_1.rt,advance_1.started,advance_1.stopped,self_btn.keys,self_btn.rt,self_btn.started,self_btn.stopped,trial_crosshair.started,trial_crosshair.stopped,MM_self_title.started,MM_self_title.stopped,MM_self_body.started,MM_self_body.stopped,MM_self_nxt.started,MM_self_nxt.stopped,advance_2.keys,advance_2.rt,advance_2.started,advance_2.stopped,MM_other_title.started,MM_other_title.stopped,MM_other_body.started,MM_other_body.stopped,MM_other_nxt.started,MM_other_nxt.stopped,advance3.keys,advance3.rt,advance3.started,advance3.stopped,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started,other_j_btn1.stopped,end.started,end.stopped,end_press.keys,end_press.rt,end_press.started,end_press.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM010,001,2021_Oct_26_0936,ATM_main_5-19-21,2021.1.3,59.91827932677033,
0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1664.1283261468634,None,1664.1283261468634,None,['equal'],[1.4863634901121259],1664.1283261468634,None,1662.622616988141,None,1662.622616988141,None,,,1973.1353873470798,None,1,1973.1353873470798,None,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[40.42990755895153, 55.015814813785255, 83.14882410364226, 85.71358431968838, 100.43261678982526, 108.62802731059492, 113.59810212766752, 126.99843774363399, 138.060806682799, 146.31474647670984, 156.39853597199544, 190.3795657530427, 201.59644843963906, 221.57817067485303, 225.4291561776772, 229.8631235146895, 238.42739451304078, 255.34516696399078, 266.8293403838761, 281.10973972361535]",1665.8769104811363,None,0.32069578068330884,,,,,,,,,,,,,,,,,,,,,,,,,,,1636.741729422938,None,1636.741729422938,None,1636.741729422938,None,['1'],[5.889838228002191],1636.741729422938,None,,,,,,,,,,,ATM010,001,2021_Oct_26_0936,ATM_main_5-19-21,2021.1.3,59.91827932677033,
0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM010,001,2021_Oct_26_0936,ATM_main_5-19-21,2021.1.3,59.91827932677033,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM010,001,2021_Oct_26_0936,ATM_main_5-19-21,2021.1.3,59.91827932677033,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2066.6412074612454,None,2066.6412074612454,None,['equal'],[1.483260271139443],2066.6412074612454,None,2065.1362929460593,None,2065.1362929460593,None,,,2375.6308767641895,None,1,2375.6308767641895,None,,,,,,,,,,,,,,,25.201216715388,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[41.09059655992314, 54.93456455692649, 63.14997639786452, 74.63366016186774, 95.40638351580128, 115.87272865371779, 168.1993307597004, 181.15386738069355, 199.3219157368876, 214.61636044783518, 226.79718372691423, 236.85010960279033, 260.86444312892854, 271.0201031770557, 287.51569335768, 296.04818713804707]",2068.135004782118,None,2068.135004782118,None,1973.4867135640234,None,1973.4867135640234,None,1973.4867135640234,None,1,69.4324739058502,1973.4867135640234,None,,,,,,,,,,,,,,,,,,,,,ATM010,001,2021_Oct_26_0936,ATM_main_5-19-21,2021.1.3,59.91827932677033,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM010,001,2021_Oct_26_0936,ATM_main_5-19-21,2021.1.3,59.91827932677033,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,2437.3119856738485,None,2437.3119856738485,None,['equal'],[1.4873087918385863],2437.3119856738485,None,2435.8124600700103,None,2435.8124600700103,None,,,2746.326408300083,None,1,2746.326408300083,None,2400.85252376087,None,2400.85252376087,None,2400.85252376087,None,1,13.679242343176156,2400.85252376087,None,,,,,21.434572766069323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1']","[23.88540419191122, 71.60145550314337, 88.51844597002491, 106.36577188689262, 144.83320475695655, 166.52778683416545, 188.84814507281408, 268.0653599780053]",2439.063457820099,None,,,,,,,ATM010,001,2021_Oct_26_0936,ATM_main_5-19-21,2021.1.3,59.91827932677033,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM010,001,2021_Oct_26_0936,ATM_main_5-19-21,2021.1.3,59.91827932677033,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2798.6402660920285,None,2798.6402660920285,None,['equal'],[1.4915353530086577],2798.6402660920285,None,2797.1594783728942,None,2797.1594783728942,None,,,3107.6585090979934,None,1,3107.6585090979934,None,,,,,,,,,,,,,,,6.513049148954451,2767.7743699061684,None,2767.7743699061684,None,2767.7743699061684,None,1,11.056869860738516,2767.7743699061684,None,"['1', '1', '1', '1', '1', '1', '1', '1']","[30.3523236149922, 60.817530025262386, 98.76740888133645, 139.6185106402263, 165.28861070005223, 215.7340559270233, 229.29725086595863, 262.03344345418736]",2800.1407932718284,None,2800.1407932718284,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM010,001,2021_Oct_26_0936,ATM_main_5-19-21,2021.1.3,59.91827932677033,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM010,001,2021_Oct_26_0936,ATM_main_5-19-21,2021.1.3,59.91827932677033,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3137.9583399822004,None,3137.9583399822004,None,['equal'],[1.480453362222761],3137.9583399822004,None,3136.454537096899,None,3136.454537096899,None,,,3446.9657201110385,None,1,3446.9657201110385,None,,,,,,,,,,,,,,,8.668690758757293,,,,,,,,,,,,,,,,,,,,,,,,,,,3114.1858500968665,None,3114.1858500968665,None,3114.1858500968665,None,['1'],[5.867741209920496],3114.1858500968665,None,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[24.55024074204266, 45.41463485779241, 53.113461672794074, 65.91482169972733, 96.43049117084593, 110.46569654764608, 126.84826259873807, 140.5051311450079, 148.9646874689497, 175.43106116587296, 191.37939112400636, 198.74767512874678, 210.51263634301722, 223.4295558487065, 234.72858078265563, 257.6113108578138, 267.963475597091, 282.99580911686644]",3139.706195477862,None,,,,,,,ATM010,001,2021_Oct_26_0936,ATM_main_5-19-21,2021.1.3,59.91827932677033,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM010,001,2021_Oct_26_0936,ATM_main_5-19-21,2021.1.3,59.91827932677033,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM010,001,2021_Oct_26_0936,ATM_main_5-19-21,2021.1.3,59.91827932677033,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3455.65476095723,None,3455.65476095723,None,3455.65476095723,None,1,3.999853885732591,3455.65476095723,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM010,001,2021_Oct_26_0936,ATM_main_5-19-21,2021.1.3,59.91827932677033,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3478.1814816701226,None,3478.1814816701226,None,['equal'],[1.4878203100524843],3478.1814816701226,None,3476.6817033188418,None,3476.6817033188418,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM010,001,2021_Oct_26_0936,ATM_main_5-19-21,2021.1.3,59.91827932677033,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3479.681587447878,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3787.1929888571613,None,space,6.101528028026223,3787.1929888571613,None,ATM010,001,2021_Oct_26_0936,ATM_main_5-19-21,2021.1.3,59.91827932677033,
