big_guy.thisRepN,big_guy.thisTrialN,big_guy.thisN,big_guy.thisIndex,outer_loop1.thisRepN,outer_loop1.thisTrialN,outer_loop1.thisN,outer_loop1.thisIndex,outer_loop2.thisRepN,outer_loop2.thisTrialN,outer_loop2.thisN,outer_loop2.thisIndex,MM_self_loop2.thisRepN,MM_self_loop2.thisTrialN,MM_self_loop2.thisN,MM_self_loop2.thisIndex,MC_self_loop2.thisRepN,MC_self_loop2.thisTrialN,MC_self_loop2.thisN,MC_self_loop2.thisIndex,MC_other_loop2.thisRepN,MC_other_loop2.thisTrialN,MC_other_loop2.thisN,MC_other_loop2.thisIndex,MM_other_loop2.thisRepN,MM_other_loop2.thisTrialN,MM_other_loop2.thisN,MM_other_loop2.thisIndex,MC_self_loop1.thisRepN,MC_self_loop1.thisTrialN,MC_self_loop1.thisN,MC_self_loop1.thisIndex,MM_self_loop1.thisRepN,MM_self_loop1.thisTrialN,MM_self_loop1.thisN,MM_self_loop1.thisIndex,MM_other_loop1.thisRepN,MM_other_loop1.thisTrialN,MM_other_loop1.thisN,MM_other_loop1.thisIndex,MC_other_loop1.thisRepN,MC_other_loop1.thisTrialN,MC_other_loop1.thisN,MC_other_loop1.thisIndex,begin_text.started,begin_text.stopped,begin_exp.keys,begin_exp.rt,begin_exp.started,begin_exp.stopped,Rest_title.started,Rest_title.stopped,rest_body.started,rest_body.stopped,rest_nxt.started,rest_nxt.stopped,advance_0.keys,advance_0.rt,advance_0.started,advance_0.stopped,begin_scan_txt.started,begin_scan_txt.stopped,still_txt.started,still_txt.stopped,begin_scan_btn.keys,begin_scan_btn.rt,begin_scan_btn.started,begin_scan_btn.stopped,wait_scan_txt.started,wait_scan_txt.stopped,still_txt2.started,still_txt2.stopped,trial_crosshair_rest.started,trial_crosshair_rest.stopped,break_txt.started,break_txt.stopped,break_btn.keys,break_btn.rt,break_btn.started,break_btn.stopped,MM_other_title.started,MM_other_title.stopped,MM_other_body.started,MM_other_body.stopped,MM_other_nxt.started,MM_other_nxt.stopped,advance3.keys,advance3.rt,advance3.started,advance3.stopped,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,other_n_btn.stopped,MM_self_title.started,MM_self_title.stopped,MM_self_body.started,MM_self_body.stopped,MM_self_nxt.started,MM_self_nxt.stopped,advance_2.keys,advance_2.rt,advance_2.started,advance_2.stopped,self_btn.keys,self_btn.rt,self_btn.started,self_btn.stopped,trial_crosshair.started,trial_crosshair.stopped,MC_self_title.started,MC_self_title.stopped,MC_self_body.started,MC_self_body.stopped,MC_self_nxt.started,MC_self_nxt.stopped,advance_1.keys,advance_1.rt,advance_1.started,advance_1.stopped,MC_other_title.started,MC_other_title.stopped,MC_other_body.started,MC_other_body.stopped,MC_other_nxt.started,MC_other_nxt.stopped,advance4.keys,advance4.rt,advance4.started,advance4.stopped,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started,other_j_btn1.stopped,end.started,end.stopped,end_press.keys,end_press.rt,end_press.started,end_press.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.489235386718065,None,1,11.65747542027384,19.489235386718065,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM009,001,2021_Oct_25_1526,ATM_main_5-19-21,2021.1.3,60.12492770009884,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.17557354969904,None,31.17557354969904,None,31.17557354969904,None,1,8.247975596692413,31.17557354969904,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM009,001,2021_Oct_25_1526,ATM_main_5-19-21,2021.1.3,60.12492770009884,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.43801049562171,None,39.43801049562171,None,['equal'],[21.00622376287356],39.43801049562171,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM009,001,2021_Oct_25_1526,ATM_main_5-19-21,2021.1.3,60.12492770009884,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.95886088861153,None,64.95886088861153,None,['equal'],[1.4783492689020932],64.95886088861153,None,63.45429069176316,None,63.45429069176316,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM009,001,2021_Oct_25_1526,ATM_main_5-19-21,2021.1.3,60.12492770009884,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.45337737491354,None,373.96738098561764,None,1,9.072350899223238,373.96738098561764,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM009,001,2021_Oct_25_1526,ATM_main_5-19-21,2021.1.3,60.12492770009884,
0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412.2498344248161,None,412.2498344248161,None,['equal'],[1.4853410650976002],412.2498344248161,None,410.7501005115919,None,410.7501005115919,None,,,721.2611859878525,None,1,14.657818710897118,721.2611859878525,None,383.06652824766934,None,383.06652824766934,None,383.06652824766934,None,['1'],[9.733628395944834],383.06652824766934,None,['1'],[209.7820744011551],414.183301448822,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM009,001,2021_Oct_25_1526,ATM_main_5-19-21,2021.1.3,60.12492770009884,
0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM009,001,2021_Oct_25_1526,ATM_main_5-19-21,2021.1.3,60.12492770009884,
0,0,0,0,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780.9987294729799,None,780.9987294729799,None,['equal'],[1.4687741617672145],780.9987294729799,None,779.4988714386709,None,779.4988714386709,None,,,1089.9907123949379,None,1,6.420826527290046,1089.9907123949379,None,,,,,,,,,,,,,,,735.9447170207277,None,735.9447170207277,None,735.9447170207277,None,1,25.6900742566213,735.9447170207277,None,['1'],[295.6525038620457],782.4778797836043,None,782.4778797836043,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM009,001,2021_Oct_25_1526,ATM_main_5-19-21,2021.1.3,60.12492770009884,
0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM009,001,2021_Oct_25_1526,ATM_main_5-19-21,2021.1.3,60.12492770009884,
0,0,0,0,,,,,2,0,2,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1127.0067331376486,None,1127.0067331376486,None,['equal'],[1.490259509999305],1127.0067331376486,None,1125.5066590686329,None,1125.5066590686329,None,,,1436.0020283306949,None,1,3.886384218931198,1436.0020283306949,None,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1']","[16.25569271715358, 47.622668674215674, 82.82086556917056, 116.90010301023722, 180.3545124749653, 209.73619369789958, 235.32001871429384, 261.82022269815207, 292.3316142479889]",1128.5066116675735,None,1128.5066116675735,None,1096.4403594955802,None,1096.4403594955802,None,1096.4403594955802,None,1,12.239939334336668,1096.4403594955802,None,,,,,,,,,,,,,,,,,,,,,ATM009,001,2021_Oct_25_1526,ATM_main_5-19-21,2021.1.3,60.12492770009884,
