big_guy.thisRepN,big_guy.thisTrialN,big_guy.thisN,big_guy.thisIndex,outer_loop1.thisRepN,outer_loop1.thisTrialN,outer_loop1.thisN,outer_loop1.thisIndex,outer_loop2.thisRepN,outer_loop2.thisTrialN,outer_loop2.thisN,outer_loop2.thisIndex,MM_self_loop2.thisRepN,MM_self_loop2.thisTrialN,MM_self_loop2.thisN,MM_self_loop2.thisIndex,MC_self_loop2.thisRepN,MC_self_loop2.thisTrialN,MC_self_loop2.thisN,MC_self_loop2.thisIndex,MC_other_loop2.thisRepN,MC_other_loop2.thisTrialN,MC_other_loop2.thisN,MC_other_loop2.thisIndex,MM_other_loop2.thisRepN,MM_other_loop2.thisTrialN,MM_other_loop2.thisN,MM_other_loop2.thisIndex,MC_self_loop1.thisRepN,MC_self_loop1.thisTrialN,MC_self_loop1.thisN,MC_self_loop1.thisIndex,MM_self_loop1.thisRepN,MM_self_loop1.thisTrialN,MM_self_loop1.thisN,MM_self_loop1.thisIndex,MM_other_loop1.thisRepN,MM_other_loop1.thisTrialN,MM_other_loop1.thisN,MM_other_loop1.thisIndex,MC_other_loop1.thisRepN,MC_other_loop1.thisTrialN,MC_other_loop1.thisN,MC_other_loop1.thisIndex,begin_text.started,begin_text.stopped,begin_exp.keys,begin_exp.rt,begin_exp.started,begin_exp.stopped,Rest_title.started,Rest_title.stopped,rest_body.started,rest_body.stopped,rest_nxt.started,rest_nxt.stopped,advance_0.keys,advance_0.rt,advance_0.started,advance_0.stopped,begin_scan_txt.started,begin_scan_txt.stopped,still_txt.started,still_txt.stopped,begin_scan_btn.keys,begin_scan_btn.rt,begin_scan_btn.started,begin_scan_btn.stopped,wait_scan_txt.started,wait_scan_txt.stopped,still_txt2.started,still_txt2.stopped,trial_crosshair_rest.started,trial_crosshair_rest.stopped,break_txt.started,break_txt.stopped,break_btn.keys,break_btn.rt,break_btn.started,break_btn.stopped,MC_other_title.started,MC_other_title.stopped,MC_other_body.started,MC_other_body.stopped,MC_other_nxt.started,MC_other_nxt.stopped,advance4.keys,advance4.rt,advance4.started,advance4.stopped,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,other_n_btn.stopped,MM_other_title.started,MM_other_title.stopped,MM_other_body.started,MM_other_body.stopped,MM_other_nxt.started,MM_other_nxt.stopped,advance3.keys,advance3.rt,advance3.started,advance3.stopped,MC_self_title.started,MC_self_title.stopped,MC_self_body.started,MC_self_body.stopped,MC_self_nxt.started,MC_self_nxt.stopped,advance_1.keys,advance_1.rt,advance_1.started,advance_1.stopped,self_btn.keys,self_btn.rt,self_btn.started,self_btn.stopped,trial_crosshair.started,trial_crosshair.stopped,MM_self_title.started,MM_self_title.stopped,MM_self_body.started,MM_self_body.stopped,MM_self_nxt.started,MM_self_nxt.stopped,advance_2.keys,advance_2.rt,advance_2.started,advance_2.stopped,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started,other_j_btn1.stopped,end.started,end.stopped,end_press.keys,end_press.rt,end_press.started,end_press.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM020,001,2021_Dec_07_1722,ATM_main_5-19-21,2021.1.3,60.117872687779716,
0,0,0,0,,,,,3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1470.4901040801778,None,1470.4901040801778,None,['equal'],[1.4801981439813972],1470.4901040801778,None,1468.9852859051898,None,1468.9852859051898,None,,,1779.5010946001858,None,1,28.18217475526035,1779.5010946001858,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[72.72283143177629, 111.13428009022027, 131.8051904225722, 157.68453073501587, 171.93299438152462, 231.80405904818326, 246.19897829182446, 257.01635563373566, 274.36575846746564, 293.9323330698535]",1471.9840367939323,None,1471.9840367939323,None,1444.3877351852134,None,1444.3877351852134,None,1444.3877351852134,None,1,12.71552740316838,1444.3877351852134,None,,,,,,,,,,,ATM020,001,2021_Dec_07_1722,ATM_main_5-19-21,2021.1.3,60.117872687779716,
0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM020,001,2021_Dec_07_1722,ATM_main_5-19-21,2021.1.3,60.117872687779716,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM020,001,2021_Dec_07_1722,ATM_main_5-19-21,2021.1.3,60.117872687779716,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1828.8304182598367,None,1828.8304182598367,None,['equal'],[1.4849337311461568],1828.8304182598367,None,1827.3292012736201,None,1827.3292012736201,None,,,2137.8417121795937,None,1,28.640801635570824,2137.8417121795937,None,,,,,,,,,,,,,,,1807.7142051123083,None,1807.7142051123083,None,1807.7142051123083,None,['1'],[5.3494277857244015],1807.7142051123083,None,,,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[36.60082288924605, 56.015956634655595, 85.63399981614202, 98.9327455572784, 110.66637231130153, 136.00030146352947, 152.24929806310683, 180.50189622025937, 196.41548052988946, 210.24921779707074, 226.4151683775708, 255.04808148927987, 271.8135544825345, 277.0465164296329]",1830.580230860971,None,,,,,,,ATM020,001,2021_Dec_07_1722,ATM_main_5-19-21,2021.1.3,60.117872687779716,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM020,001,2021_Dec_07_1722,ATM_main_5-19-21,2021.1.3,60.117872687779716,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2186.562710770406,None,2186.562710770406,None,['equal'],[1.485259898006916],2186.562710770406,None,2185.063114317134,None,2185.063114317134,None,,,2495.5751232998446,None,1,19.430483231320977,2495.5751232998446,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[50.500990368425846, 77.40015201456845, 102.37086280994117, 118.93668270111084, 131.7374375546351, 140.9989173868671, 156.8494582688436, 170.06529308110476, 184.28241563495249, 197.7815293278545, 204.6483870409429, 221.13188613858074, 241.48087835032493, 253.465830960311, 274.2976351575926, 286.1019587982446]",2188.0589303728193,None,2188.0589303728193,None,2166.5089866844937,None,2166.5089866844937,None,2166.5089866844937,None,1,5.650924760848284,2166.5089866844937,None,,,,,,,,,,,ATM020,001,2021_Dec_07_1722,ATM_main_5-19-21,2021.1.3,60.117872687779716,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM020,001,2021_Dec_07_1722,ATM_main_5-19-21,2021.1.3,60.117872687779716,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2535.4529713103548,None,2535.4529713103548,None,['equal'],[1.490725432522595],2535.4529713103548,None,2533.9531790716574,None,2533.9531790716574,None,,,2844.4496565014124,None,1,15.18520853575319,2844.4496565014124,None,,,,,,,,,,,,,,,,,,,,,,,,,2515.0207796711475,None,2515.0207796711475,None,2515.0207796711475,None,1,3.133309928700328,2515.0207796711475,None,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[22.40259063616395, 40.756333358585835, 58.389255992136896, 76.25143988989294, 92.08814724069089, 121.971465094015, 137.0375429522246, 151.78374015633017, 165.73165039811283, 174.0713065508753, 190.20494015980512, 253.86550867184997, 273.13642426300794, 305.2020359849557]",2536.953229502775,None,2536.953229502775,None,,,,,,,,,,,,,,,,,,,,,ATM020,001,2021_Dec_07_1722,ATM_main_5-19-21,2021.1.3,60.117872687779716,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM020,001,2021_Dec_07_1722,ATM_main_5-19-21,2021.1.3,60.117872687779716,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,2880.4500355990604,None,2880.4500355990604,None,['equal'],[1.4825485916808248],2880.4500355990604,None,2878.9322243342176,None,2878.9322243342176,None,,,3189.461384768598,None,1,18.97317729331553,3189.461384768598,None,2859.649031384848,None,2859.649031384848,None,2859.649031384848,None,1,4.402006093412638,2859.649031384848,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[24.168003953061998, 47.25097745470703, 71.3346042977646, 93.81777629163116, 116.48355567827821, 140.71786517184228, 166.4160085991025, 188.332373669371, 210.73093535844237, 231.7154549797997, 255.0157965188846, 278.0808795467019, 305.43128552660346]",2882.1991091584787,None,,,,,,,ATM020,001,2021_Dec_07_1722,ATM_main_5-19-21,2021.1.3,60.117872687779716,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM020,001,2021_Dec_07_1722,ATM_main_5-19-21,2021.1.3,60.117872687779716,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM020,001,2021_Dec_07_1722,ATM_main_5-19-21,2021.1.3,60.117872687779716,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3208.4611406680197,None,3208.4611406680197,None,3208.4611406680197,None,1,3.6662094751372933,3208.4611406680197,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM020,001,2021_Dec_07_1722,ATM_main_5-19-21,2021.1.3,60.117872687779716,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3229.1273711863905,None,3229.1273711863905,None,['equal'],[1.4842944582924247],3229.1273711863905,None,3227.627669566311,None,3227.627669566311,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM020,001,2021_Dec_07_1722,ATM_main_5-19-21,2021.1.3,60.117872687779716,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3230.627701689489,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3538.139677366242,None,space,8.306886928156018,3538.139677366242,None,ATM020,001,2021_Dec_07_1722,ATM_main_5-19-21,2021.1.3,60.117872687779716,
