big_guy.thisRepN,big_guy.thisTrialN,big_guy.thisN,big_guy.thisIndex,outer_loop1.thisRepN,outer_loop1.thisTrialN,outer_loop1.thisN,outer_loop1.thisIndex,outer_loop2.thisRepN,outer_loop2.thisTrialN,outer_loop2.thisN,outer_loop2.thisIndex,MM_self_loop2.thisRepN,MM_self_loop2.thisTrialN,MM_self_loop2.thisN,MM_self_loop2.thisIndex,MC_self_loop2.thisRepN,MC_self_loop2.thisTrialN,MC_self_loop2.thisN,MC_self_loop2.thisIndex,MC_other_loop2.thisRepN,MC_other_loop2.thisTrialN,MC_other_loop2.thisN,MC_other_loop2.thisIndex,MM_other_loop2.thisRepN,MM_other_loop2.thisTrialN,MM_other_loop2.thisN,MM_other_loop2.thisIndex,MC_self_loop1.thisRepN,MC_self_loop1.thisTrialN,MC_self_loop1.thisN,MC_self_loop1.thisIndex,MM_self_loop1.thisRepN,MM_self_loop1.thisTrialN,MM_self_loop1.thisN,MM_self_loop1.thisIndex,MM_other_loop1.thisRepN,MM_other_loop1.thisTrialN,MM_other_loop1.thisN,MM_other_loop1.thisIndex,MC_other_loop1.thisRepN,MC_other_loop1.thisTrialN,MC_other_loop1.thisN,MC_other_loop1.thisIndex,begin_text.started,begin_text.stopped,begin_exp.keys,begin_exp.rt,begin_exp.started,begin_exp.stopped,Rest_title.started,Rest_title.stopped,rest_body.started,rest_body.stopped,rest_nxt.started,rest_nxt.stopped,advance_0.keys,advance_0.rt,advance_0.started,advance_0.stopped,begin_scan_txt.started,begin_scan_txt.stopped,still_txt.started,still_txt.stopped,begin_scan_btn.keys,begin_scan_btn.rt,begin_scan_btn.started,begin_scan_btn.stopped,wait_scan_txt.started,wait_scan_txt.stopped,still_txt2.started,still_txt2.stopped,trial_crosshair_rest.started,trial_crosshair_rest.stopped,break_txt.started,break_txt.stopped,break_btn.keys,break_btn.rt,break_btn.started,break_btn.stopped,MM_self_title.started,MM_self_title.stopped,MM_self_body.started,MM_self_body.stopped,MM_self_nxt.started,MM_self_nxt.stopped,advance_2.keys,advance_2.rt,advance_2.started,advance_2.stopped,self_btn.keys,self_btn.rt,self_btn.started,self_btn.stopped,trial_crosshair.started,trial_crosshair.stopped,MM_other_title.started,MM_other_title.stopped,MM_other_body.started,MM_other_body.stopped,MM_other_nxt.started,MM_other_nxt.stopped,advance3.keys,advance3.rt,advance3.started,advance3.stopped,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,other_n_btn.stopped,MC_other_title.started,MC_other_title.stopped,MC_other_body.started,MC_other_body.stopped,MC_other_nxt.started,MC_other_nxt.stopped,advance4.keys,advance4.rt,advance4.started,advance4.stopped,MC_self_title.started,MC_self_title.stopped,MC_self_body.started,MC_self_body.stopped,MC_self_nxt.started,MC_self_nxt.stopped,advance_1.keys,advance_1.rt,advance_1.started,advance_1.stopped,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started,other_j_btn1.stopped,end.started,end.stopped,end_press.keys,end_press.rt,end_press.started,end_press.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM004,001,2021_Oct_06_0939,ATM_main_5-19-21,2021.1.3,59.9148824703018,
0,0,0,0,,,,,3,0,3,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1464.7732311729342,None,1464.7732311729342,None,['equal'],[1.4845116678625345],1464.7732311729342,None,1463.2899767349008,None,1463.2899767349008,None,,,1773.7848937588278,None,1,3.397335736779496,1773.7848937588278,None,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[18.284917932003736, 37.75188159593381, 54.76863846904598, 71.10554388794117, 88.26684808405116, 104.53801056393422, 121.73743412201293, 137.73256899998523, 155.51657137600705, 172.63636331888847, 189.77115262998268, 206.531989447074, 222.51446705590934, 237.1360057508573, 254.89773487485945, 273.36868834192865, 292.08140301704407]",1466.268744964851,None,1466.268744964851,None,,,,,,,,,,,,,,,,,,,,,,,,,1437.5904736788943,None,1437.5904736788943,None,1437.5904736788943,None,1,8.480036968830973,1437.5904736788943,None,,,,,,,,,,,ATM004,001,2021_Oct_06_0939,ATM_main_5-19-21,2021.1.3,59.9148824703018,
0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM004,001,2021_Oct_06_0939,ATM_main_5-19-21,2021.1.3,59.9148824703018,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM004,001,2021_Oct_06_0939,ATM_main_5-19-21,2021.1.3,59.9148824703018,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1811.3133675628342,None,1811.3133675628342,None,['equal'],[1.4898785860277712],1811.3133675628342,None,1809.8182062590495,None,1809.8182062590495,None,,,2120.325340637937,None,1,9.151324070990086,2120.325340637937,None,,,,,,,,,,,,,,,,,1777.1977903950028,None,1777.1977903950028,None,1777.1977903950028,None,['1'],[7.916352334897965],1777.1977903950028,None,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1']","[81.31570764398202, 111.0321678579785, 129.29775435198098, 153.58066169102676, 234.47979650390334, 269.7968732700683, 299.1624972638674]",1813.0491933459416,None,,,,,,,ATM004,001,2021_Oct_06_0939,ATM_main_5-19-21,2021.1.3,59.9148824703018,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM004,001,2021_Oct_06_0939,ATM_main_5-19-21,2021.1.3,59.9148824703018,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2158.242412746884,None,2158.242412746884,None,['equal'],[1.4832797939889133],2158.242412746884,None,2156.725926412968,None,2156.725926412968,None,,,2467.2599093539175,None,1,7.245938822859898,2467.2599093539175,None,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[20.317943720147014, 36.63373814802617, 52.93631875398569, 71.46266931202263, 88.04702423908748, 105.6956517349463, 121.52819920796901, 141.96038472116925, 157.59564253408462, 174.38292950810865, 191.99859034013934, 208.06632654811256, 228.52804303215817, 241.04382962197997, 258.5784525021445, 275.3267580070533, 291.8936360180378, 307.0774179410655]",2159.7466850590426,None,2159.7466850590426,None,,,,,,,,,,,,,,,,,,,,,,,,,2129.4926778809167,None,2129.4926778809167,None,2129.4926778809167,None,1,11.537972019053996,2129.4926778809167,None,,,,,,,,,,,ATM004,001,2021_Oct_06_0939,ATM_main_5-19-21,2021.1.3,59.9148824703018,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM004,001,2021_Oct_06_0939,ATM_main_5-19-21,2021.1.3,59.9148824703018,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2505.7876999089494,None,2505.7876999089494,None,['equal'],[1.488830333109945],2505.7876999089494,None,2504.276234953897,None,2504.276234953897,None,,,2814.784379467834,None,1,5.0342552829533815,2814.784379467834,None,2474.521237961948,None,2474.521237961948,None,2474.521237961948,None,1,12.901840727077797,2474.521237961948,None,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[39.55590808414854, 69.98870427301154, 86.31660129898228, 103.36872282112017, 134.38441338809207, 148.79966330807656, 170.8836789240595, 188.14903079415672, 205.13159560319036, 222.53226363519207, 238.3650746040512, 258.01580671197735, 272.16493009217083, 284.5650980270002, 300.5809248650912]",2507.287769069895,None,2507.287769069895,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM004,001,2021_Oct_06_0939,ATM_main_5-19-21,2021.1.3,59.9148824703018,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM004,001,2021_Oct_06_0939,ATM_main_5-19-21,2021.1.3,59.9148824703018,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,2848.383718316909,None,2848.383718316909,None,['equal'],[1.4853725139982998],2848.383718316909,None,2846.888340797974,None,2846.888340797974,None,,,3157.395286540035,None,1,3.3019714991096407,3157.395286540035,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2819.834016854875,None,2819.834016854875,None,2819.834016854875,None,1,8.589455577079207,2819.834016854875,None,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1']","[110.80011564702727, 137.06702747405507, 154.28256786591373, 235.14916037302464, 269.53139675501734, 279.09872034494765, 299.7650944220368]",2850.1332346210256,None,,,,,,,ATM004,001,2021_Oct_06_0939,ATM_main_5-19-21,2021.1.3,59.9148824703018,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM004,001,2021_Oct_06_0939,ATM_main_5-19-21,2021.1.3,59.9148824703018,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM004,001,2021_Oct_06_0939,ATM_main_5-19-21,2021.1.3,59.9148824703018,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3160.7130638209637,None,3160.7130638209637,None,3160.7130638209637,None,1,10.468384342035279,3160.7130638209637,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM004,001,2021_Oct_06_0939,ATM_main_5-19-21,2021.1.3,59.9148824703018,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3188.7127829638775,None,3188.7127829638775,None,['equal'],[1.483269564807415],3188.7127829638775,None,3187.2162912799977,None,3187.2162912799977,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM004,001,2021_Oct_06_0939,ATM_main_5-19-21,2021.1.3,59.9148824703018,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3190.217531197006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3497.7242279339116,None,space,680.9599080830812,3497.7242279339116,None,ATM004,001,2021_Oct_06_0939,ATM_main_5-19-21,2021.1.3,59.9148824703018,
