big_guy.thisRepN,big_guy.thisTrialN,big_guy.thisN,big_guy.thisIndex,outer_loop1.thisRepN,outer_loop1.thisTrialN,outer_loop1.thisN,outer_loop1.thisIndex,outer_loop2.thisRepN,outer_loop2.thisTrialN,outer_loop2.thisN,outer_loop2.thisIndex,MM_self_loop2.thisRepN,MM_self_loop2.thisTrialN,MM_self_loop2.thisN,MM_self_loop2.thisIndex,MC_self_loop2.thisRepN,MC_self_loop2.thisTrialN,MC_self_loop2.thisN,MC_self_loop2.thisIndex,MC_other_loop2.thisRepN,MC_other_loop2.thisTrialN,MC_other_loop2.thisN,MC_other_loop2.thisIndex,MM_other_loop2.thisRepN,MM_other_loop2.thisTrialN,MM_other_loop2.thisN,MM_other_loop2.thisIndex,MC_self_loop1.thisRepN,MC_self_loop1.thisTrialN,MC_self_loop1.thisN,MC_self_loop1.thisIndex,MM_self_loop1.thisRepN,MM_self_loop1.thisTrialN,MM_self_loop1.thisN,MM_self_loop1.thisIndex,MM_other_loop1.thisRepN,MM_other_loop1.thisTrialN,MM_other_loop1.thisN,MM_other_loop1.thisIndex,MC_other_loop1.thisRepN,MC_other_loop1.thisTrialN,MC_other_loop1.thisN,MC_other_loop1.thisIndex,begin_text.started,begin_text.stopped,begin_exp.keys,begin_exp.rt,begin_exp.started,begin_exp.stopped,Rest_title.started,Rest_title.stopped,rest_body.started,rest_body.stopped,rest_nxt.started,rest_nxt.stopped,advance_0.keys,advance_0.rt,advance_0.started,advance_0.stopped,begin_scan_txt.started,begin_scan_txt.stopped,still_txt.started,still_txt.stopped,begin_scan_btn.keys,begin_scan_btn.rt,begin_scan_btn.started,begin_scan_btn.stopped,wait_scan_txt.started,wait_scan_txt.stopped,still_txt2.started,still_txt2.stopped,trial_crosshair_rest.started,trial_crosshair_rest.stopped,break_txt.started,break_txt.stopped,break_btn.keys,break_btn.rt,break_btn.started,break_btn.stopped,MC_other_title.started,MC_other_title.stopped,MC_other_body.started,MC_other_body.stopped,MC_other_nxt.started,MC_other_nxt.stopped,advance4.keys,advance4.rt,advance4.started,advance4.stopped,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,other_n_btn.stopped,MM_self_title.started,MM_self_title.stopped,MM_self_body.started,MM_self_body.stopped,MM_self_nxt.started,MM_self_nxt.stopped,advance_2.keys,advance_2.rt,advance_2.started,advance_2.stopped,self_btn.keys,self_btn.rt,self_btn.started,self_btn.stopped,trial_crosshair.started,trial_crosshair.stopped,MC_self_title.started,MC_self_title.stopped,MC_self_body.started,MC_self_body.stopped,MC_self_nxt.started,MC_self_nxt.stopped,advance_1.keys,advance_1.rt,advance_1.started,advance_1.stopped,MM_other_title.started,MM_other_title.stopped,MM_other_body.started,MM_other_body.stopped,MM_other_nxt.started,MM_other_nxt.stopped,advance3.keys,advance3.rt,advance3.started,advance3.stopped,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started,other_j_btn1.stopped,end.started,end.stopped,end_press.keys,end_press.rt,end_press.started,end_press.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM016,001,2021_Nov_18_1409,ATM_main_5-19-21,2021.1.3,59.68805448297058,
0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1581.229566751048,None,1581.229566751048,None,['equal'],[1.4896662142127752],1581.229566751048,None,1579.7461549537256,None,1579.7461549537256,None,,,1890.240771804005,None,1,12.18482764903456,1890.240771804005,None,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1']","[41.73664703313261, 67.05208541825414, 92.85043088719249, 122.01790717802942, 155.45071790833026, 189.38402357976884, 220.3169842241332, 263.99919536616653]",1582.9786977618933,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1479.4318579705432,None,1479.4318579705432,None,1479.4318579705432,None,['1'],[88.66846002452075],1479.4318579705432,None,,,,,,,,,,,ATM016,001,2021_Nov_18_1409,ATM_main_5-19-21,2021.1.3,59.68805448297058,
0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM016,001,2021_Nov_18_1409,ATM_main_5-19-21,2021.1.3,59.68805448297058,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM016,001,2021_Nov_18_1409,ATM_main_5-19-21,2021.1.3,59.68805448297058,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1931.724440669641,None,1931.724440669641,None,['equal'],[1.4911630917340517],1931.724440669641,None,1930.228731872514,None,1930.228731872514,None,,,2240.720466155559,None,1,13.234652491286397,2240.720466155559,None,,,,,,,,,,,,,,,1902.4415832515806,None,1902.4415832515806,None,1902.4415832515806,None,1,16.18603496812284,1902.4415832515806,None,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[18.12341463007033, 41.489552672952414, 53.6225602729246, 73.56655825581402, 91.19981874711812, 109.61598680634052, 135.80408052075654, 157.2828164640814, 181.03653058595955, 206.06971609033644, 218.00239042937756, 256.5029105003923, 274.35188540257514, 298.3356661647558]",1933.2248243223876,None,1933.2248243223876,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM016,001,2021_Nov_18_1409,ATM_main_5-19-21,2021.1.3,59.68805448297058,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM016,001,2021_Nov_18_1409,ATM_main_5-19-21,2021.1.3,59.68805448297058,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2284.807228804566,None,2284.807228804566,None,['equal'],[1.48070271871984],2284.807228804566,None,2283.3066721390933,None,2283.3066721390933,None,,,2593.8153514554724,None,1,15.2850650716573,2593.8153514554724,None,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[19.25283445417881, 37.51862324588001, 67.85450268629938, 80.31738343648612, 92.33512860909104, 108.0842600427568, 128.57061069086194, 161.68415096960962, 176.4837142881006, 205.18333837017417, 230.3990646749735]",2286.3021644344553,None,2286.3021644344553,None,2253.9702803865075,None,2253.9702803865075,None,2253.9702803865075,None,1,17.73276781104505,2253.9702803865075,None,,,,,,,,,,,,,,,,,,,,,ATM016,001,2021_Nov_18_1409,ATM_main_5-19-21,2021.1.3,59.68805448297058,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM016,001,2021_Nov_18_1409,ATM_main_5-19-21,2021.1.3,59.68805448297058,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,2632.0316719962284,None,2632.0316719962284,None,['equal'],[1.4853098206222057],2632.0316719962284,None,2630.5314521836117,None,2630.5314521836117,None,,,2941.0431728381664,None,1,16.30305409617722,2941.0431728381664,None,2609.114787862636,None,2609.114787862636,None,2609.114787862636,None,1,9.923135774210095,2609.114787862636,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1']","[23.81945221591741, 58.26695816684514, 84.94928658567369, 111.79834684263915, 155.89865977317095, 188.21463641896844, 235.9799261400476, 256.6799210878089, 278.0461660185829]",2633.7664139075205,None,,,,,,,ATM016,001,2021_Nov_18_1409,ATM_main_5-19-21,2021.1.3,59.68805448297058,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM016,001,2021_Nov_18_1409,ATM_main_5-19-21,2021.1.3,59.68805448297058,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2983.3979611033574,None,2983.3979611033574,None,['equal'],[1.4793421169742942],2983.3979611033574,None,2981.8931768704206,None,2981.8931768704206,None,,,3292.404878924601,None,1,16.423467682674527,3292.404878924601,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2957.3597458880395,None,2957.3597458880395,None,2957.3597458880395,None,['1'],[13.12223384808749],2957.3597458880395,None,"['1', '1', '1', '1', '1', '1', '1', '1']","[89.78251117281616, 111.23121544159949, 152.04932613298297, 180.48160058259964, 204.11460114084184, 235.24861931521446, 266.8971477774903, 286.43059221003205]",2985.143806719221,None,,,,,,,ATM016,001,2021_Nov_18_1409,ATM_main_5-19-21,2021.1.3,59.68805448297058,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM016,001,2021_Nov_18_1409,ATM_main_5-19-21,2021.1.3,59.68805448297058,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM016,001,2021_Nov_18_1409,ATM_main_5-19-21,2021.1.3,59.68805448297058,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3308.854834052734,None,3308.854834052734,None,3308.854834052734,None,1,6.552160636521876,3308.854834052734,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM016,001,2021_Nov_18_1409,ATM_main_5-19-21,2021.1.3,59.68805448297058,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3328.526215646416,None,3328.526215646416,None,['equal'],[1.4855640139430761],3328.526215646416,None,3327.0220869453624,None,3327.0220869453624,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM016,001,2021_Nov_18_1409,ATM_main_5-19-21,2021.1.3,59.68805448297058,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3330.0219408376142,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3637.534646748565,None,space,7.74908918980509,3637.534646748565,None,ATM016,001,2021_Nov_18_1409,ATM_main_5-19-21,2021.1.3,59.68805448297058,
