big_guy.thisRepN,big_guy.thisTrialN,big_guy.thisN,big_guy.thisIndex,outer_loop1.thisRepN,outer_loop1.thisTrialN,outer_loop1.thisN,outer_loop1.thisIndex,outer_loop2.thisRepN,outer_loop2.thisTrialN,outer_loop2.thisN,outer_loop2.thisIndex,MM_self_loop2.thisRepN,MM_self_loop2.thisTrialN,MM_self_loop2.thisN,MM_self_loop2.thisIndex,MC_self_loop2.thisRepN,MC_self_loop2.thisTrialN,MC_self_loop2.thisN,MC_self_loop2.thisIndex,MC_other_loop2.thisRepN,MC_other_loop2.thisTrialN,MC_other_loop2.thisN,MC_other_loop2.thisIndex,MM_other_loop2.thisRepN,MM_other_loop2.thisTrialN,MM_other_loop2.thisN,MM_other_loop2.thisIndex,MC_self_loop1.thisRepN,MC_self_loop1.thisTrialN,MC_self_loop1.thisN,MC_self_loop1.thisIndex,MM_self_loop1.thisRepN,MM_self_loop1.thisTrialN,MM_self_loop1.thisN,MM_self_loop1.thisIndex,MM_other_loop1.thisRepN,MM_other_loop1.thisTrialN,MM_other_loop1.thisN,MM_other_loop1.thisIndex,MC_other_loop1.thisRepN,MC_other_loop1.thisTrialN,MC_other_loop1.thisN,MC_other_loop1.thisIndex,begin_text.started,begin_text.stopped,begin_exp.keys,begin_exp.rt,begin_exp.started,begin_exp.stopped,Rest_title.started,Rest_title.stopped,rest_body.started,rest_body.stopped,rest_nxt.started,rest_nxt.stopped,advance_0.keys,advance_0.rt,advance_0.started,advance_0.stopped,begin_scan_txt.started,begin_scan_txt.stopped,still_txt.started,still_txt.stopped,begin_scan_btn.keys,begin_scan_btn.rt,begin_scan_btn.started,begin_scan_btn.stopped,wait_scan_txt.started,wait_scan_txt.stopped,still_txt2.started,still_txt2.stopped,trial_crosshair_rest.started,trial_crosshair_rest.stopped,break_txt.started,break_txt.stopped,break_btn.keys,break_btn.rt,break_btn.started,break_btn.stopped,MM_self_title.started,MM_self_title.stopped,MM_self_body.started,MM_self_body.stopped,MM_self_nxt.started,MM_self_nxt.stopped,advance_2.keys,advance_2.rt,advance_2.started,advance_2.stopped,self_btn.keys,self_btn.rt,self_btn.started,self_btn.stopped,trial_crosshair.started,trial_crosshair.stopped,MC_other_title.started,MC_other_title.stopped,MC_other_body.started,MC_other_body.stopped,MC_other_nxt.started,MC_other_nxt.stopped,advance4.keys,advance4.rt,advance4.started,advance4.stopped,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,other_n_btn.stopped,MC_self_title.started,MC_self_title.stopped,MC_self_body.started,MC_self_body.stopped,MC_self_nxt.started,MC_self_nxt.stopped,advance_1.keys,advance_1.rt,advance_1.started,advance_1.stopped,MM_other_title.started,MM_other_title.stopped,MM_other_body.started,MM_other_body.stopped,MM_other_nxt.started,MM_other_nxt.stopped,advance3.keys,advance3.rt,advance3.started,advance3.stopped,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started,other_j_btn1.stopped,end.started,end.stopped,end_press.keys,end_press.rt,end_press.started,end_press.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM006,001,2021_Oct_14_0931,ATM_main_5-19-21,2021.1.3,59.840445960202175,
0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1428.0959888431244,None,1428.0959888431244,None,['equal'],[1.486557113006711],1428.0959888431244,None,1426.5959249120206,None,1426.5959249120206,None,,,1737.1093166698702,None,1,2.651861913036555,1737.1093166698702,None,,,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[19.496164354961365, 34.162111829034984, 42.11308004707098, 55.179496105760336, 63.79596679285169, 74.67645427491516, 83.6952096587047, 85.87894750898704, 93.462103638798, 95.1122497599572, 100.61226778384298, 113.44563409592956, 119.89375859778374, 131.1278616618365, 146.04435371793807, 154.09422906767577, 157.02790373377502, 158.11252983193845, 162.89384301099926, 187.8940648920834, 189.84309600898996, 212.34409632207826, 221.0602148938924, 222.77728934865445, 235.66015547979623, 246.4929162147455, 253.7100400440395, 276.5430518188514, 293.2089932006784, 300.0092094070278]",1429.8353094710037,None,,,,,,,,,,,1403.7809505010955,None,1403.7809505010955,None,1403.7809505010955,None,['1'],[4.516451651696116],1403.7809505010955,None,,,,,,,,,,,ATM006,001,2021_Oct_14_0931,ATM_main_5-19-21,2021.1.3,59.840445960202175,
0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM006,001,2021_Oct_14_0931,ATM_main_5-19-21,2021.1.3,59.840445960202175,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM006,001,2021_Oct_14_0931,ATM_main_5-19-21,2021.1.3,59.840445960202175,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1794.0297751151957,None,1794.0297751151957,None,['equal'],[1.4808315327391028],1794.0297751151957,None,1792.530075437855,None,1792.530075437855,None,,,2103.0369934402406,None,1,11.25206592772156,2103.0369934402406,None,,,,,,,,,,,,,,,,,1739.7758113392629,None,1739.7758113392629,None,1739.7758113392629,None,1,32.88740541692823,1739.7758113392629,None,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[23.251045347657055, 41.09945918666199, 60.065695266705006, 79.66671831673011, 101.43312420789152, 120.51537606399506, 153.7823278089054, 178.99712231988087, 205.1803519539535, 222.56354933185503, 241.26219728495926, 264.14723759377375, 294.39616740867496]",1795.7596118929796,None,,,,,,,ATM006,001,2021_Oct_14_0931,ATM_main_5-19-21,2021.1.3,59.840445960202175,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM006,001,2021_Oct_14_0931,ATM_main_5-19-21,2021.1.3,59.840445960202175,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147.419815329835,None,2147.419815329835,None,['equal'],[1.4857667982578278],2147.419815329835,None,2145.920087486971,None,2145.920087486971,None,,,2456.4325438658707,None,1,7.2856719945557415,2456.4325438658707,None,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[20.083699772134423, 44.216799303889275, 70.29996442515403, 91.3001744649373, 121.91502034291625, 150.732912406791, 171.99986097309738, 196.58165057282895, 225.74843172496185, 248.5488086398691, 277.8535096999258]",2148.920572316274,None,2148.920572316274,None,,,,,,,,,,,,,,,2114.304275854025,None,2114.304275854025,None,2114.304275854025,None,1,13.772085086908191,2114.304275854025,None,,,,,,,,,,,,,,,,,,,,,ATM006,001,2021_Oct_14_0931,ATM_main_5-19-21,2021.1.3,59.840445960202175,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM006,001,2021_Oct_14_0931,ATM_main_5-19-21,2021.1.3,59.840445960202175,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2489.5818176418543,None,2489.5818176418543,None,['equal'],[1.4839554983191192],2489.5818176418543,None,2488.082013944164,None,2488.082013944164,None,,,2798.578592344187,None,1,10.335225234273821,2798.578592344187,None,2463.732039214112,None,2463.732039214112,None,2463.732039214112,None,1,7.291217186953872,2463.732039214112,None,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[14.766773764975369, 25.135716683696955, 30.289868509862572, 45.00167686212808, 59.606188585050404, 74.00156102795154, 84.8730500517413, 93.22224003076553, 96.72215805575252, 126.21823357278481, 141.07162751071155, 170.80386015074328, 179.6985773127526, 208.3703263150528, 216.84857739694417, 237.1650566738099, 244.78055057674646, 249.40156609471887, 279.5350904739462, 282.6313118878752, 287.800637811888, 290.4137523351237, 297.7803631098941, 304.4014268540777]",2491.082478037104,None,2491.082478037104,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM006,001,2021_Oct_14_0931,ATM_main_5-19-21,2021.1.3,59.840445960202175,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM006,001,2021_Oct_14_0931,ATM_main_5-19-21,2021.1.3,59.840445960202175,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2830.210753531195,None,2830.210753531195,None,['equal'],[1.4858427406288683],2830.210753531195,None,2828.711450071074,None,2828.711450071074,None,,,3139.2237982219085,None,1,6.720909996889532,3139.2237982219085,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2808.9273825278506,None,2808.9273825278506,None,2808.9273825278506,None,['1'],[2.4675028831698],2808.9273825278506,None,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[8.650491700973362, 15.101729359012097, 22.46793297212571, 28.18422901071608, 38.800678370986134, 48.65076579991728, 57.40018036495894, 64.90010685194284, 71.25007017981261, 75.18441660795361, 85.06675018882379, 91.78361658006907, 100.45023343199864, 101.34896217985079, 110.41583753516898, 111.95038043987006, 116.91654393589124, 124.66663466580212, 126.48194633796811, 127.71602514293045, 141.79980504093692, 142.66628324612975, 151.93340628780425, 153.25000057090074, 154.89834056189284, 156.38302484480664, 159.28196448180825, 161.0650915717706, 166.8655357528478, 175.21577684115618, 179.46611285675317, 188.19903350481763, 196.23295186506584, 203.88039524387568, 219.21540370583534, 224.5165518480353, 232.0162678528577, 237.26622101012617, 242.49893092690036, 251.96350456494838, 256.44874311983585, 265.96608141297475, 277.03155756695196, 285.3157201097347, 290.9654261851683, 300.2648269571364]",2831.9614289752208,None,,,,,,,ATM006,001,2021_Oct_14_0931,ATM_main_5-19-21,2021.1.3,59.840445960202175,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM006,001,2021_Oct_14_0931,ATM_main_5-19-21,2021.1.3,59.840445960202175,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM006,001,2021_Oct_14_0931,ATM_main_5-19-21,2021.1.3,59.840445960202175,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3145.9726460040547,None,3145.9726460040547,None,3145.9726460040547,None,1,3.2364939865656197,3145.9726460040547,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM006,001,2021_Oct_14_0931,ATM_main_5-19-21,2021.1.3,59.840445960202175,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3167.8224460771307,None,3167.8224460771307,None,['equal'],[1.4871390773914754],3167.8224460771307,None,3166.322327097878,None,3166.322327097878,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM006,001,2021_Oct_14_0931,ATM_main_5-19-21,2021.1.3,59.840445960202175,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3169.3224031799473,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3476.8360623870976,None,space,7.750463282689452,3476.8360623870976,None,ATM006,001,2021_Oct_14_0931,ATM_main_5-19-21,2021.1.3,59.840445960202175,
