big_guy.thisRepN,big_guy.thisTrialN,big_guy.thisN,big_guy.thisIndex,outer_loop1.thisRepN,outer_loop1.thisTrialN,outer_loop1.thisN,outer_loop1.thisIndex,outer_loop2.thisRepN,outer_loop2.thisTrialN,outer_loop2.thisN,outer_loop2.thisIndex,MM_self_loop2.thisRepN,MM_self_loop2.thisTrialN,MM_self_loop2.thisN,MM_self_loop2.thisIndex,MC_self_loop2.thisRepN,MC_self_loop2.thisTrialN,MC_self_loop2.thisN,MC_self_loop2.thisIndex,MC_other_loop2.thisRepN,MC_other_loop2.thisTrialN,MC_other_loop2.thisN,MC_other_loop2.thisIndex,MM_other_loop2.thisRepN,MM_other_loop2.thisTrialN,MM_other_loop2.thisN,MM_other_loop2.thisIndex,MC_self_loop1.thisRepN,MC_self_loop1.thisTrialN,MC_self_loop1.thisN,MC_self_loop1.thisIndex,MM_self_loop1.thisRepN,MM_self_loop1.thisTrialN,MM_self_loop1.thisN,MM_self_loop1.thisIndex,MM_other_loop1.thisRepN,MM_other_loop1.thisTrialN,MM_other_loop1.thisN,MM_other_loop1.thisIndex,MC_other_loop1.thisRepN,MC_other_loop1.thisTrialN,MC_other_loop1.thisN,MC_other_loop1.thisIndex,begin_text.started,begin_text.stopped,begin_exp.keys,begin_exp.rt,begin_exp.started,begin_exp.stopped,Rest_title.started,Rest_title.stopped,rest_body.started,rest_body.stopped,rest_nxt.started,rest_nxt.stopped,advance_0.keys,advance_0.rt,advance_0.started,advance_0.stopped,begin_scan_txt.started,begin_scan_txt.stopped,still_txt.started,still_txt.stopped,begin_scan_btn.keys,begin_scan_btn.rt,begin_scan_btn.started,begin_scan_btn.stopped,wait_scan_txt.started,wait_scan_txt.stopped,still_txt2.started,still_txt2.stopped,trial_crosshair_rest.started,trial_crosshair_rest.stopped,break_txt.started,break_txt.stopped,break_btn.keys,break_btn.started,break_btn.stopped,MM_self_title.started,MM_self_title.stopped,MM_self_body.started,MM_self_body.stopped,MM_self_nxt.started,MM_self_nxt.stopped,advance_2.keys,advance_2.rt,advance_2.started,advance_2.stopped,self_btn.keys,self_btn.rt,self_btn.started,self_btn.stopped,trial_crosshair.started,trial_crosshair.stopped,MC_other_title.started,MC_other_title.stopped,MC_other_body.started,MC_other_body.stopped,MC_other_nxt.started,MC_other_nxt.stopped,advance4.keys,advance4.rt,advance4.started,advance4.stopped,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,other_n_btn.stopped,break_btn.rt,MC_self_title.started,MC_self_title.stopped,MC_self_body.started,MC_self_body.stopped,MC_self_nxt.started,MC_self_nxt.stopped,advance_1.keys,advance_1.rt,advance_1.started,advance_1.stopped,MM_other_title.started,MM_other_title.stopped,MM_other_body.started,MM_other_body.stopped,MM_other_nxt.started,MM_other_nxt.stopped,advance3.keys,advance3.rt,advance3.started,advance3.stopped,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started,other_j_btn1.stopped,end.started,end.stopped,end_press.keys,end_press.rt,end_press.started,end_press.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM026,001,2022_Jul_05_1230,ATM_main_5-19-21,2021.1.3,59.95666491905501,
0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1559.443579849787,None,1559.443579849787,None,['equal'],[1.4825269896537066],1559.443579849787,None,1557.9474537568167,None,1557.9474537568167,None,,,1868.4549172427505,None,1,1868.4549172427505,None,,,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1']","[39.41348546277732, 82.11385059170425, 119.73138005193323, 156.07863050419837, 188.59566003456712, 221.96201565116644, 244.1107388343662]",1561.1804966330528,None,27.47274687886238,,,,,,,,,,,1508.7275362797081,None,1508.7275362797081,None,1508.7275362797081,None,['1'],[32.656293015927076],1508.7275362797081,None,,,,,,,,,,,ATM026,001,2022_Jul_05_1230,ATM_main_5-19-21,2021.1.3,59.95666491905501,
0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM026,001,2022_Jul_05_1230,ATM_main_5-19-21,2021.1.3,59.95666491905501,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM026,001,2022_Jul_05_1230,ATM_main_5-19-21,2021.1.3,59.95666491905501,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1917.3258549766615,None,1917.3258549766615,None,['equal'],[1.4787010196596384],1917.3258549766615,None,1915.821411374025,None,1915.821411374025,None,,,2226.3333136066794,None,1,2226.3333136066794,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.424007775261998,,,,,,,,,,,1895.95444748085,None,1895.95444748085,None,1895.95444748085,None,['1'],[8.368761389516294],1895.95444748085,None,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[20.384664479643106, 89.70016581751406, 110.94912293925881, 117.88307516649365, 152.56627695914358, 154.51593714021146, 234.34834702592343, 246.84694144595414, 269.88121855072677, 277.14698854647577, 287.56405694037676, 294.99580517876893]",1919.0549634359777,None,,,,,,,ATM026,001,2022_Jul_05_1230,ATM_main_5-19-21,2021.1.3,59.95666491905501,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM026,001,2022_Jul_05_1230,ATM_main_5-19-21,2021.1.3,59.95666491905501,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,2274.41617842298,None,2274.41617842298,None,['equal'],[1.4850268391892314],2274.41617842298,None,2272.916615420021,None,2272.916615420021,None,,,2583.427884472534,None,1,2583.427884472534,None,,,,,,,,,,,,,,,,,2244.7832773989066,None,2244.7832773989066,None,2244.7832773989066,None,1,16.80224184319377,2244.7832773989066,None,,,,,25.835758161731064,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[23.168003127910197, 46.66803877800703, 105.51634565554559, 123.05034297518432, 149.4835439575836, 172.81522153597325, 196.29967781435698, 219.16528715286404, 240.66557839605957, 261.91513793729246, 276.1313435770571, 301.4973324937746]",2276.166300214827,None,,,,,,,ATM026,001,2022_Jul_05_1230,ATM_main_5-19-21,2021.1.3,59.95666491905501,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM026,001,2022_Jul_05_1230,ATM_main_5-19-21,2021.1.3,59.95666491905501,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2637.2612989097834,None,2637.2612989097834,None,['equal'],[1.4894443713128567],2637.2612989097834,None,2635.760840477422,None,2635.760840477422,None,,,2946.2777741476893,None,None,2946.2777741476893,None,2609.278180700727,None,2609.278180700727,None,2609.278180700727,None,1,14.152431768365204,2609.278180700727,None,"['1', '1', '1', '1', '1', '1']","[113.10471618827432, 136.02122616767883, 165.33257140405476, 198.41457193903625, 282.9022226417437, 295.78054457809776]",2638.761254339479,None,2638.761254339479,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM026,001,2022_Jul_05_1230,ATM_main_5-19-21,2021.1.3,59.95666491905501,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM026,001,2022_Jul_05_1230,ATM_main_5-19-21,2021.1.3,59.95666491905501,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3003.089737453498,None,3003.089737453498,None,['equal'],[1.4892000909894705],3003.089737453498,None,3001.5886212531477,None,3001.5886212531477,None,,,3312.1069338759407,None,None,3312.1069338759407,None,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[18.85218179784715, 44.217846295796335, 69.26837666053325, 87.10054065007716, 109.4218258773908, 118.85449249111116, 135.81993119604886, 149.72138012945652, 166.78333598189056, 185.16426052618772, 198.67091150581837, 214.05021405685693, 240.50445898156613, 256.86313056293875, 277.4323153430596, 303.46535788848996]",3004.589117174968,None,3004.589117174968,None,,,,,,,,,,,,,,,,2976.272893964313,None,2976.272893964313,None,2976.272893964313,None,1,12.03522539511323,2976.272893964313,None,,,,,,,,,,,,,,,,,,,,,ATM026,001,2022_Jul_05_1230,ATM_main_5-19-21,2021.1.3,59.95666491905501,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM026,001,2022_Jul_05_1230,ATM_main_5-19-21,2021.1.3,59.95666491905501,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM026,001,2022_Jul_05_1230,ATM_main_5-19-21,2021.1.3,59.95666491905501,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3342.10171953775,None,3342.10171953775,None,3342.10171953775,None,1,9.817334605380893,3342.10171953775,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM026,001,2022_Jul_05_1230,ATM_main_5-19-21,2021.1.3,59.95666491905501,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3364.618107980117,None,3364.618107980117,None,['equal'],[1.4742817403748631],3364.618107980117,None,3363.1223964616656,None,3363.1223964616656,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM026,001,2022_Jul_05_1230,ATM_main_5-19-21,2021.1.3,59.95666491905501,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3366.1013155635446,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3673.6131685143337,None,space,469.07947715651244,3673.6131685143337,None,ATM026,001,2022_Jul_05_1230,ATM_main_5-19-21,2021.1.3,59.95666491905501,
