big_guy.thisRepN,big_guy.thisTrialN,big_guy.thisN,big_guy.thisIndex,outer_loop1.thisRepN,outer_loop1.thisTrialN,outer_loop1.thisN,outer_loop1.thisIndex,MC_self_loop1.thisRepN,MC_self_loop1.thisTrialN,MC_self_loop1.thisN,MC_self_loop1.thisIndex,MM_self_loop1.thisRepN,MM_self_loop1.thisTrialN,MM_self_loop1.thisN,MM_self_loop1.thisIndex,MM_other_loop1.thisRepN,MM_other_loop1.thisTrialN,MM_other_loop1.thisN,MM_other_loop1.thisIndex,MC_other_loop1.thisRepN,MC_other_loop1.thisTrialN,MC_other_loop1.thisN,MC_other_loop1.thisIndex,outer_loop2.thisRepN,outer_loop2.thisTrialN,outer_loop2.thisN,outer_loop2.thisIndex,MM_self_loop2.thisRepN,MM_self_loop2.thisTrialN,MM_self_loop2.thisN,MM_self_loop2.thisIndex,MC_self_loop2.thisRepN,MC_self_loop2.thisTrialN,MC_self_loop2.thisN,MC_self_loop2.thisIndex,MC_other_loop2.thisRepN,MC_other_loop2.thisTrialN,MC_other_loop2.thisN,MC_other_loop2.thisIndex,MM_other_loop2.thisRepN,MM_other_loop2.thisTrialN,MM_other_loop2.thisN,MM_other_loop2.thisIndex,begin_text.started,begin_text.stopped,begin_exp.keys,begin_exp.rt,begin_exp.started,begin_exp.stopped,Rest_title.started,Rest_title.stopped,rest_body.started,rest_body.stopped,rest_nxt.started,rest_nxt.stopped,advance_0.keys,advance_0.rt,advance_0.started,advance_0.stopped,begin_scan_txt.started,begin_scan_txt.stopped,still_txt.started,still_txt.stopped,begin_scan_btn.keys,begin_scan_btn.rt,begin_scan_btn.started,begin_scan_btn.stopped,wait_scan_txt.started,wait_scan_txt.stopped,still_txt2.started,still_txt2.stopped,trial_crosshair_rest.started,trial_crosshair_rest.stopped,break_txt.started,break_txt.stopped,break_btn.keys,break_btn.rt,break_btn.started,break_btn.stopped,MM_other_title.started,MM_other_title.stopped,MM_other_body.started,MM_other_body.stopped,MM_other_nxt.started,MM_other_nxt.stopped,advance3.keys,advance3.rt,advance3.started,advance3.stopped,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started,other_j_btn1.stopped,MC_self_title.started,MC_self_title.stopped,MC_self_body.started,MC_self_body.stopped,MC_self_nxt.started,MC_self_nxt.stopped,advance_1.keys,advance_1.rt,advance_1.started,advance_1.stopped,self_btn.keys,self_btn.rt,self_btn.started,self_btn.stopped,trial_crosshair.started,trial_crosshair.stopped,MM_self_title.started,MM_self_title.stopped,MM_self_body.started,MM_self_body.stopped,MM_self_nxt.started,MM_self_nxt.stopped,advance_2.keys,advance_2.rt,advance_2.started,advance_2.stopped,MC_other_title.started,MC_other_title.stopped,MC_other_body.started,MC_other_body.stopped,MC_other_nxt.started,MC_other_nxt.stopped,advance4.keys,advance4.rt,advance4.started,advance4.stopped,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,other_n_btn.stopped,end.started,end.stopped,end_press.keys,end_press.rt,end_press.started,end_press.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM018,001,2021_Nov_23_1001,ATM_main_5-19-21,2021.1.3,None,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1423.0771067952737,None,1423.0771067952737,None,['equal'],[1.4785341527312994],1423.0771067952737,None,1421.5731930295005,None,1421.5731930295005,None,,,1732.0855025770143,None,1,16.16746491752565,1732.0855025770143,None,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[23.817978526465595, 46.36802639067173, 69.71745334938169, 92.8670994983986, 115.80003107339144, 140.61720557231456, 165.7500723535195, 187.43309235665947, 209.6652175532654, 231.48195411544293, 254.44807988218963, 277.1645541358739, 299.3481062790379]",1424.8228309564292,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1397.29040302895,None,1397.29040302895,None,1397.29040302895,None,1,11.372131897136569,1397.29040302895,None,,,,,,,,,,,ATM018,001,2021_Nov_23_1001,ATM_main_5-19-21,2021.1.3,None,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM018,001,2021_Nov_23_1001,ATM_main_5-19-21,2021.1.3,None,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM018,001,2021_Nov_23_1001,ATM_main_5-19-21,2021.1.3,None,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1767.5518209571019,None,1767.5518209571019,None,['equal'],[1.4721181970089674],1767.5518209571019,None,1766.0353000340983,None,1766.0353000340983,None,,,2076.5469868695363,None,1,13.822692384943366,2076.5469868695363,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1748.2683212971315,None,1748.2683212971315,None,1748.2683212971315,None,1,4.283098043873906,1748.2683212971315,None,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[17.3493591286242, 38.265144258737564, 60.698181826621294, 80.88158387690783, 102.14822470210493, 124.5485314084217, 145.38115724921227, 169.04720534663647, 192.22990762908012, 212.49661406688392, 238.02999671176076, 268.3456366965547, 290.16114141605794]",1769.2705043926835,None,,,,,,,ATM018,001,2021_Nov_23_1001,ATM_main_5-19-21,2021.1.3,None,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM018,001,2021_Nov_23_1001,ATM_main_5-19-21,2021.1.3,None,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2104.1838587690145,None,2104.1838587690145,None,['equal'],[1.4817545600235462],2104.1838587690145,None,2102.679280261509,None,2102.679280261509,None,,,2413.197486977093,None,1,15.680495692417026,2413.197486977093,None,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1']","[53.05061928462237, 123.73810438252985, 182.08342819660902, 233.52976038958877]",2105.679996694438,None,2105.679996694438,None,2090.3966057933867,None,2090.3966057933867,None,2090.3966057933867,None,1,5.006649497896433,2090.3966057933867,None,,,,,,,,,,,,,,,,,,,,,ATM018,001,2021_Nov_23_1001,ATM_main_5-19-21,2021.1.3,None,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM018,001,2021_Nov_23_1001,ATM_main_5-19-21,2021.1.3,None,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2444.925115558319,None,2444.925115558319,None,['equal'],[1.4858792461454868],2444.925115558319,None,2443.4249300640076,None,2443.4249300640076,None,,,2753.9383897390217,None,1,15.454284618608654,2753.9383897390217,None,,,,,,,,,,,,,,,2428.891763138585,None,2428.891763138585,None,2428.891763138585,None,1,1.9002859750762582,2428.891763138585,None,"['1', '1', '1', '1', '1', '1', '1', '1']","[26.650997060351074, 59.551662255078554, 99.60029955115169, 136.57198471482843, 174.80000248085707, 208.2039111983031, 247.34897334687412, 280.5472991913557]",2446.4252861477435,None,2446.4252861477435,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM018,001,2021_Nov_23_1001,ATM_main_5-19-21,2021.1.3,None,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM018,001,2021_Nov_23_1001,ATM_main_5-19-21,2021.1.3,None,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,2788.9368952037767,None,2788.9368952037767,None,['equal'],[1.490415825508535],2788.9368952037767,None,2787.437006244436,None,2787.437006244436,None,,,3097.9500750955194,None,1,3.3349639987573028,3097.9500750955194,None,2769.4207091573626,None,2769.4207091573626,None,2769.4207091573626,None,['1'],[2.2342163613066077],2769.4207091573626,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1']","[40.05037613585591, 59.982611890882254, 83.31661683041602, 110.61751468479633, 189.33255292195827, 231.0306082740426, 278.48123351391405]",2790.6875523515046,None,,,,,,,ATM018,001,2021_Nov_23_1001,ATM_main_5-19-21,2021.1.3,None,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM018,001,2021_Nov_23_1001,ATM_main_5-19-21,2021.1.3,None,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM018,001,2021_Nov_23_1001,ATM_main_5-19-21,2021.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3101.2990700667724,None,3101.2990700667724,None,3101.2990700667724,None,1,3.353113355115056,3101.2990700667724,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM018,001,2021_Nov_23_1001,ATM_main_5-19-21,2021.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3124.0706198131666,None,3124.0706198131666,None,['equal'],[1.479473641142249],3124.0706198131666,None,3122.5662017138675,None,3122.5662017138675,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM018,001,2021_Nov_23_1001,ATM_main_5-19-21,2021.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3125.565999788232,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3433.062730986625,None,space,13.465784220956266,3433.062730986625,None,ATM018,001,2021_Nov_23_1001,ATM_main_5-19-21,2021.1.3,None,
