big_guy.thisRepN,big_guy.thisTrialN,big_guy.thisN,big_guy.thisIndex,outer_loop1.thisRepN,outer_loop1.thisTrialN,outer_loop1.thisN,outer_loop1.thisIndex,MC_self_loop1.thisRepN,MC_self_loop1.thisTrialN,MC_self_loop1.thisN,MC_self_loop1.thisIndex,MM_self_loop1.thisRepN,MM_self_loop1.thisTrialN,MM_self_loop1.thisN,MM_self_loop1.thisIndex,MM_other_loop1.thisRepN,MM_other_loop1.thisTrialN,MM_other_loop1.thisN,MM_other_loop1.thisIndex,MC_other_loop1.thisRepN,MC_other_loop1.thisTrialN,MC_other_loop1.thisN,MC_other_loop1.thisIndex,outer_loop2.thisRepN,outer_loop2.thisTrialN,outer_loop2.thisN,outer_loop2.thisIndex,MM_self_loop2.thisRepN,MM_self_loop2.thisTrialN,MM_self_loop2.thisN,MM_self_loop2.thisIndex,MC_self_loop2.thisRepN,MC_self_loop2.thisTrialN,MC_self_loop2.thisN,MC_self_loop2.thisIndex,MC_other_loop2.thisRepN,MC_other_loop2.thisTrialN,MC_other_loop2.thisN,MC_other_loop2.thisIndex,MM_other_loop2.thisRepN,MM_other_loop2.thisTrialN,MM_other_loop2.thisN,MM_other_loop2.thisIndex,begin_text.started,begin_text.stopped,begin_exp.keys,begin_exp.rt,begin_exp.started,begin_exp.stopped,Rest_title.started,Rest_title.stopped,rest_body.started,rest_body.stopped,rest_nxt.started,rest_nxt.stopped,advance_0.keys,advance_0.rt,advance_0.started,advance_0.stopped,begin_scan_txt.started,begin_scan_txt.stopped,still_txt.started,still_txt.stopped,begin_scan_btn.keys,begin_scan_btn.rt,begin_scan_btn.started,begin_scan_btn.stopped,wait_scan_txt.started,wait_scan_txt.stopped,still_txt2.started,still_txt2.stopped,trial_crosshair_rest.started,trial_crosshair_rest.stopped,break_txt.started,break_txt.stopped,break_btn.keys,break_btn.rt,break_btn.started,break_btn.stopped,MC_other_title.started,MC_other_title.stopped,MC_other_body.started,MC_other_body.stopped,MC_other_nxt.started,MC_other_nxt.stopped,advance4.keys,advance4.rt,advance4.started,advance4.stopped,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started,other_j_btn1.stopped,MM_self_title.started,MM_self_title.stopped,MM_self_body.started,MM_self_body.stopped,MM_self_nxt.started,MM_self_nxt.stopped,advance_2.keys,advance_2.rt,advance_2.started,advance_2.stopped,self_btn.keys,self_btn.rt,self_btn.started,self_btn.stopped,trial_crosshair.started,trial_crosshair.stopped,MC_self_title.started,MC_self_title.stopped,MC_self_body.started,MC_self_body.stopped,MC_self_nxt.started,MC_self_nxt.stopped,advance_1.keys,advance_1.rt,advance_1.started,advance_1.stopped,MM_other_title.started,MM_other_title.stopped,MM_other_body.started,MM_other_body.stopped,MM_other_nxt.started,MM_other_nxt.stopped,advance3.keys,advance3.rt,advance3.started,advance3.stopped,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,other_n_btn.stopped,end.started,end.stopped,end_press.keys,end_press.rt,end_press.started,end_press.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM013,001,2021_Nov_04_1733,ATM_main_5-19-21,2021.1.3,59.990913102312135,
0,0,0,0,3,0,3,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1519.1540639181621,None,1519.1540639181621,None,['equal'],[1.4797797352075577],1519.1540639181621,None,1517.6329556861892,None,1517.6329556861892,None,,,1828.16222847905,None,1,10.100179684348404,1828.16222847905,None,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[44.73619916476309, 71.20157734677196, 85.25279301172122, 111.15014994656667, 145.76675074966624, 152.2999365227297, 156.8001236836426, 203.31667877873406, 234.48271225672215, 269.8985922415741, 286.54866422573105, 296.51553504075855]",1520.8991024871357,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1471.9163057371043,None,1471.9163057371043,None,1471.9163057371043,None,['1'],[25.183592558838427],1471.9163057371043,None,,,,,,,,,,,ATM013,001,2021_Nov_04_1733,ATM_main_5-19-21,2021.1.3,59.990913102312135,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM013,001,2021_Nov_04_1733,ATM_main_5-19-21,2021.1.3,59.990913102312135,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM013,001,2021_Nov_04_1733,ATM_main_5-19-21,2021.1.3,59.990913102312135,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1867.5984320733696,None,1867.5984320733696,None,['equal'],[1.4811857342720032],1867.5984320733696,None,1866.0988793922588,None,1866.0988793922588,None,,,2176.606776453089,None,1,8.587623164989054,2176.606776453089,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1838.2784349531867,None,1838.2784349531867,None,1838.2784349531867,None,['1'],[13.719079886097461],1838.2784349531867,None,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[39.615311714820564, 55.115297061856836, 67.74748459691182, 81.8142949338071, 156.94630182161927, 174.7306104665622, 188.69682845985517, 221.2447611456737, 238.12955706566572, 262.29576558992267]",1869.3139432342723,None,,,,,,,ATM013,001,2021_Nov_04_1733,ATM_main_5-19-21,2021.1.3,59.990913102312135,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM013,001,2021_Nov_04_1733,ATM_main_5-19-21,2021.1.3,59.990913102312135,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2215.660986299161,None,2215.660986299161,None,['equal'],[1.4805705221369863],2215.660986299161,None,2214.1614075279795,None,2214.1614075279795,None,,,2524.6686052982695,None,1,13.239408494904637,2524.6686052982695,None,2185.2232202170417,None,2185.2232202170417,None,2185.2232202170417,None,1,11.269435870926827,2185.2232202170417,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[17.59686721721664, 39.48082539625466, 59.44681044714525, 78.46299475291744, 104.96220910409465, 125.86241614818573, 146.84500185213983, 169.64481726894155, 200.41080862795934, 221.67761358711869, 242.9439716199413, 269.0427898289636, 290.6431642938405]",2217.3943453370593,None,,,,,,,ATM013,001,2021_Nov_04_1733,ATM_main_5-19-21,2021.1.3,59.990913102312135,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM013,001,2021_Nov_04_1733,ATM_main_5-19-21,2021.1.3,59.990913102312135,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2567.072830718942,None,2567.072830718942,None,['equal'],[1.4829225102439523],2567.072830718942,None,2565.5732828313485,None,2565.5732828313485,None,,,2876.0847375211306,None,1,7.197797602042556,2876.0847375211306,None,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1']","[38.75538817374036, 98.83336700778455, 158.9545156629756, 208.31575500080362, 268.285922347568]",2568.568624016363,None,2568.568624016363,None,2537.9355901051313,None,2537.9355901051313,None,2537.9355901051313,None,1,9.568559877574444,2537.9355901051313,None,,,,,,,,,,,,,,,,,,,,,ATM013,001,2021_Nov_04_1733,ATM_main_5-19-21,2021.1.3,59.990913102312135,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM013,001,2021_Nov_04_1733,ATM_main_5-19-21,2021.1.3,59.990913102312135,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2974.112588463351,None,2974.112588463351,None,['equal'],[1.4899903470650315],2974.112588463351,None,2972.612851660233,None,2972.612851660233,None,,,3283.12466659816,None,1,2.907128837890923,3283.12466659816,None,,,,,,,,,,,,,,,2883.2971265651286,None,2883.2971265651286,None,2883.2971265651286,None,1,70.47285861475393,2883.2971265651286,None,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[59.05068262014538, 80.28875375911593, 105.75111829303205, 115.20504956878722, 162.9836473139003, 172.80431611882523, 199.1161854751408, 220.53730712272227, 238.00415364280343, 263.01487548602745, 291.1356826471165]",2975.6126705640927,None,2975.6126705640927,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM013,001,2021_Nov_04_1733,ATM_main_5-19-21,2021.1.3,59.990913102312135,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM013,001,2021_Nov_04_1733,ATM_main_5-19-21,2021.1.3,59.990913102312135,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM013,001,2021_Nov_04_1733,ATM_main_5-19-21,2021.1.3,59.990913102312135,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3286.0585724189878,None,3286.0585724189878,None,3286.0585724189878,None,1,10.884589510038495,3286.0585724189878,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM013,001,2021_Nov_04_1733,ATM_main_5-19-21,2021.1.3,59.990913102312135,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3336.1909995912574,None,3336.1909995912574,None,['equal'],[1.4857442816719413],3336.1909995912574,None,3334.6955945761874,None,3334.6955945761874,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM013,001,2021_Nov_04_1733,ATM_main_5-19-21,2021.1.3,59.990913102312135,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3337.6912609911524,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3645.1890911511146,None,space,103.0465817367658,3645.1890911511146,None,ATM013,001,2021_Nov_04_1733,ATM_main_5-19-21,2021.1.3,59.990913102312135,
