big_guy.thisRepN,big_guy.thisTrialN,big_guy.thisN,big_guy.thisIndex,outer_loop1.thisRepN,outer_loop1.thisTrialN,outer_loop1.thisN,outer_loop1.thisIndex,MC_self_loop1.thisRepN,MC_self_loop1.thisTrialN,MC_self_loop1.thisN,MC_self_loop1.thisIndex,MM_self_loop1.thisRepN,MM_self_loop1.thisTrialN,MM_self_loop1.thisN,MM_self_loop1.thisIndex,MM_other_loop1.thisRepN,MM_other_loop1.thisTrialN,MM_other_loop1.thisN,MM_other_loop1.thisIndex,MC_other_loop1.thisRepN,MC_other_loop1.thisTrialN,MC_other_loop1.thisN,MC_other_loop1.thisIndex,outer_loop2.thisRepN,outer_loop2.thisTrialN,outer_loop2.thisN,outer_loop2.thisIndex,MM_self_loop2.thisRepN,MM_self_loop2.thisTrialN,MM_self_loop2.thisN,MM_self_loop2.thisIndex,MC_self_loop2.thisRepN,MC_self_loop2.thisTrialN,MC_self_loop2.thisN,MC_self_loop2.thisIndex,MC_other_loop2.thisRepN,MC_other_loop2.thisTrialN,MC_other_loop2.thisN,MC_other_loop2.thisIndex,MM_other_loop2.thisRepN,MM_other_loop2.thisTrialN,MM_other_loop2.thisN,MM_other_loop2.thisIndex,begin_text.started,begin_text.stopped,begin_exp.keys,begin_exp.rt,begin_exp.started,begin_exp.stopped,Rest_title.started,Rest_title.stopped,rest_body.started,rest_body.stopped,rest_nxt.started,rest_nxt.stopped,advance_0.keys,advance_0.rt,advance_0.started,advance_0.stopped,begin_scan_txt.started,begin_scan_txt.stopped,still_txt.started,still_txt.stopped,begin_scan_btn.keys,begin_scan_btn.rt,begin_scan_btn.started,begin_scan_btn.stopped,wait_scan_txt.started,wait_scan_txt.stopped,still_txt2.started,still_txt2.stopped,trial_crosshair_rest.started,trial_crosshair_rest.stopped,break_txt.started,break_txt.stopped,break_btn.keys,break_btn.rt,break_btn.started,break_btn.stopped,MC_self_title.started,MC_self_title.stopped,MC_self_body.started,MC_self_body.stopped,MC_self_nxt.started,MC_self_nxt.stopped,advance_1.keys,advance_1.rt,advance_1.started,advance_1.stopped,self_btn.keys,self_btn.rt,self_btn.started,self_btn.stopped,trial_crosshair.started,trial_crosshair.stopped,MC_other_title.started,MC_other_title.stopped,MC_other_body.started,MC_other_body.stopped,MC_other_nxt.started,MC_other_nxt.stopped,advance4.keys,advance4.rt,advance4.started,advance4.stopped,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started,other_j_btn1.stopped,MM_other_title.started,MM_other_title.stopped,MM_other_body.started,MM_other_body.stopped,MM_other_nxt.started,MM_other_nxt.stopped,advance3.keys,advance3.rt,advance3.started,advance3.stopped,MM_self_title.started,MM_self_title.stopped,MM_self_body.started,MM_self_body.stopped,MM_self_nxt.started,MM_self_nxt.stopped,advance_2.keys,advance_2.rt,advance_2.started,advance_2.stopped,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,other_n_btn.stopped,end.started,end.stopped,end_press.keys,end_press.rt,end_press.started,end_press.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM027,001,2022_Jul_07_1510,ATM_main_5-19-21,2021.1.3,59.8089419090137,
0,0,0,0,3,0,3,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1514.9706587009132,None,1514.9706587009132,None,['equal'],[1.5073654558509588],1514.9706587009132,None,1513.4882464325055,None,1513.4882464325055,None,,,1824.0054803518578,None,1,13.452984291128814,1824.0054803518578,None,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[9.589804459363222, 28.102874040603638, 44.55162058304995, 58.701408938504755, 70.13772059511393, 99.91642559226602, 120.76623385492712, 137.23249971400946, 145.4500660598278, 160.5840800087899, 176.58357497677207, 185.87191244773567, 203.68230044282973, 216.47074833791703, 225.08038422558457, 235.21670254785568, 238.96455095894635, 246.9980728868395, 263.967239853926, 280.1479653734714, 293.5701078977436]",1516.488301393576,None,1516.488301393576,None,,,,,,,,,,,,,,,,,,,,,,,,,1483.7945373430848,None,1483.7945373430848,None,1483.7945373430848,None,1,17.684779309667647,1483.7945373430848,None,,,,,,,,,,,ATM027,001,2022_Jul_07_1510,ATM_main_5-19-21,2021.1.3,59.8089419090137,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM027,001,2022_Jul_07_1510,ATM_main_5-19-21,2021.1.3,59.8089419090137,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM027,001,2022_Jul_07_1510,ATM_main_5-19-21,2021.1.3,59.8089419090137,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1858.7169220568612,None,1858.7169220568612,None,['equal'],[1.4846038054674864],1858.7169220568612,None,1857.2180899595842,None,1857.2180899595842,None,,,2167.7297138441354,None,None,,2167.7297138441354,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1837.4827605029568,None,1837.4827605029568,None,1837.4827605029568,None,['1'],[5.807677744887769],1837.4827605029568,None,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[33.08502282295376, 43.23306389339268, 67.26546195335686, 74.60103510227054, 82.86671716533601, 107.44891423825175, 118.54852249287069, 156.66675263736397, 165.06663461588323, 188.9996137227863, 214.26404902618378, 221.14744976907969, 234.6638846695423, 240.49714762624353, 267.9470251407474, 287.1130589591339, 306.71182564646006]",1860.451116219163,None,,,,,,,ATM027,001,2022_Jul_07_1510,ATM_main_5-19-21,2021.1.3,59.8089419090137,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM027,001,2022_Jul_07_1510,ATM_main_5-19-21,2021.1.3,59.8089419090137,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2258.1603376017883,None,2258.1603376017883,None,['equal'],[1.485284412279725],2258.1603376017883,None,2256.6652155900374,None,2256.6652155900374,None,,,2567.173307152465,None,1,27.117308898828924,2567.173307152465,None,,,,,,,,,,,,,,,,,2197.7292894590646,None,2197.7292894590646,None,2197.7292894590646,None,1,45.33649958670139,2197.7292894590646,None,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[21.866386677138507, 44.63411001022905, 60.599969962611794, 82.08400906343013, 103.7865865919739, 125.31707536522299, 146.31707189511508, 169.91539888177067, 189.0823926879093, 214.54754875600338, 243.68172949645668, 269.11546144541353, 290.64826991874725]",2259.9119005315006,None,,,,,,,ATM027,001,2022_Jul_07_1510,ATM_main_5-19-21,2021.1.3,59.8089419090137,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM027,001,2022_Jul_07_1510,ATM_main_5-19-21,2021.1.3,59.8089419090137,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2618.2389333331957,None,2618.2389333331957,None,['equal'],[1.4853548519313335],2618.2389333331957,None,2616.7437768792734,None,2616.7437768792734,None,,,2927.2572596753016,None,1,6.150138283148408,2927.2572596753016,None,2594.307100906968,None,2594.307100906968,None,2594.307100906968,None,1,11.09983058553189,2594.307100906968,None,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[17.886295190081, 33.035001473501325, 52.91950933076441, 71.88395267352462, 91.60031872149557, 107.50066783186048, 121.96703781932592, 141.46795246656984, 160.70567957032472, 175.86746939923614, 189.68244421947747, 207.06760567426682, 212.58736046776175, 229.58263576216996, 249.89811057504267, 262.18698321748525, 280.1976320287213, 292.75339287985116]",2619.739051504992,None,2619.739051504992,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM027,001,2022_Jul_07_1510,ATM_main_5-19-21,2021.1.3,59.8089419090137,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM027,001,2022_Jul_07_1510,ATM_main_5-19-21,2021.1.3,59.8089419090137,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2958.118655418977,None,2958.118655418977,None,['equal'],[1.4671545149758458],2958.118655418977,None,2956.606657735072,None,2956.606657735072,None,,,3267.1123547255993,None,1,6.192145167849958,3267.1123547255993,None,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[12.550426446832716, 21.122561333701015, 27.649774921126664, 45.69927379395813, 77.56741426512599, 86.00051102787256, 93.3333156555891, 101.30023161135614, 114.14798816107213, 122.64850716851652, 136.18461208511144, 144.96448588371277, 166.38645829632878, 189.18310583755374, 197.88283303100616, 212.21461806166917, 220.23001720104367, 239.82998195383698, 256.4978649839759, 259.96305754687637, 273.2506376951933, 292.24646410066634]",2959.6020961347967,None,2959.6020961347967,None,,,,,,,,,,,,,,,,,,,,,,,,,2933.433896510862,None,2933.433896510862,None,2933.433896510862,None,1,11.783788443543017,2933.433896510862,None,,,,,,,,,,,ATM027,001,2022_Jul_07_1510,ATM_main_5-19-21,2021.1.3,59.8089419090137,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM027,001,2022_Jul_07_1510,ATM_main_5-19-21,2021.1.3,59.8089419090137,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM027,001,2022_Jul_07_1510,ATM_main_5-19-21,2021.1.3,59.8089419090137,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3273.329756935127,None,3273.329756935127,None,3273.329756935127,None,1,4.517849653959274,3273.329756935127,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM027,001,2022_Jul_07_1510,ATM_main_5-19-21,2021.1.3,59.8089419090137,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3291.4980893405154,None,3291.4980893405154,None,['equal'],[1.489084605127573],3291.4980893405154,None,3289.9962275018916,None,3289.9962275018916,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM027,001,2022_Jul_07_1510,ATM_main_5-19-21,2021.1.3,59.8089419090137,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3292.9959407495335,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600.508014555089,None,space,6.470204235985875,3600.508014555089,None,ATM027,001,2022_Jul_07_1510,ATM_main_5-19-21,2021.1.3,59.8089419090137,
