big_guy.thisRepN,big_guy.thisTrialN,big_guy.thisN,big_guy.thisIndex,outer_loop1.thisRepN,outer_loop1.thisTrialN,outer_loop1.thisN,outer_loop1.thisIndex,outer_loop2.thisRepN,outer_loop2.thisTrialN,outer_loop2.thisN,outer_loop2.thisIndex,MM_self_loop2.thisRepN,MM_self_loop2.thisTrialN,MM_self_loop2.thisN,MM_self_loop2.thisIndex,MC_self_loop2.thisRepN,MC_self_loop2.thisTrialN,MC_self_loop2.thisN,MC_self_loop2.thisIndex,MC_other_loop2.thisRepN,MC_other_loop2.thisTrialN,MC_other_loop2.thisN,MC_other_loop2.thisIndex,MM_other_loop2.thisRepN,MM_other_loop2.thisTrialN,MM_other_loop2.thisN,MM_other_loop2.thisIndex,MC_self_loop1.thisRepN,MC_self_loop1.thisTrialN,MC_self_loop1.thisN,MC_self_loop1.thisIndex,MM_self_loop1.thisRepN,MM_self_loop1.thisTrialN,MM_self_loop1.thisN,MM_self_loop1.thisIndex,MM_other_loop1.thisRepN,MM_other_loop1.thisTrialN,MM_other_loop1.thisN,MM_other_loop1.thisIndex,MC_other_loop1.thisRepN,MC_other_loop1.thisTrialN,MC_other_loop1.thisN,MC_other_loop1.thisIndex,begin_text.started,begin_text.stopped,begin_exp.keys,begin_exp.rt,begin_exp.started,begin_exp.stopped,Rest_title.started,Rest_title.stopped,rest_body.started,rest_body.stopped,rest_nxt.started,rest_nxt.stopped,advance_0.keys,advance_0.rt,advance_0.started,advance_0.stopped,begin_scan_txt.started,begin_scan_txt.stopped,still_txt.started,still_txt.stopped,begin_scan_btn.keys,begin_scan_btn.rt,begin_scan_btn.started,begin_scan_btn.stopped,wait_scan_txt.started,wait_scan_txt.stopped,still_txt2.started,still_txt2.stopped,trial_crosshair_rest.started,trial_crosshair_rest.stopped,break_txt.started,break_txt.stopped,break_btn.keys,break_btn.rt,break_btn.started,break_btn.stopped,MM_self_title.started,MM_self_title.stopped,MM_self_body.started,MM_self_body.stopped,MM_self_nxt.started,MM_self_nxt.stopped,advance_2.keys,advance_2.rt,advance_2.started,advance_2.stopped,self_btn.keys,self_btn.rt,self_btn.started,self_btn.stopped,trial_crosshair.started,trial_crosshair.stopped,MC_self_title.started,MC_self_title.stopped,MC_self_body.started,MC_self_body.stopped,MC_self_nxt.started,MC_self_nxt.stopped,advance_1.keys,advance_1.rt,advance_1.started,advance_1.stopped,MC_other_title.started,MC_other_title.stopped,MC_other_body.started,MC_other_body.stopped,MC_other_nxt.started,MC_other_nxt.stopped,advance4.keys,advance4.rt,advance4.started,advance4.stopped,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,other_n_btn.stopped,MM_other_title.started,MM_other_title.stopped,MM_other_body.started,MM_other_body.stopped,MM_other_nxt.started,MM_other_nxt.stopped,advance3.keys,advance3.rt,advance3.started,advance3.stopped,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started,other_j_btn1.stopped,end.started,end.stopped,end_press.keys,end_press.rt,end_press.started,end_press.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM007,001,2021_Oct_14_1923,ATM_main_5-19-21,2021.1.3,60.15729778274311,
0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1523.2789804330096,None,1523.2789804330096,None,['equal'],[1.4827432073652744],1523.2789804330096,None,1521.761791517958,None,1521.761791517958,None,,,1832.2898134738207,None,None,,1832.2898134738207,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1']","[40.249905785080045, 55.36859754938632, 68.00031569739804, 82.11776982201263, 155.60088321613148, 188.91706936620176, 221.03314605820924, 238.08295090310276]",1525.0277995560318,None,1483.9448494808748,None,1483.9448494808748,None,1483.9448494808748,None,['1'],[19.08402216574177],1483.9448494808748,None,,,,,,,,,,,ATM007,001,2021_Oct_14_1923,ATM_main_5-19-21,2021.1.3,60.15729778274311,
0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM007,001,2021_Oct_14_1923,ATM_main_5-19-21,2021.1.3,60.15729778274311,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM007,001,2021_Oct_14_1923,ATM_main_5-19-21,2021.1.3,60.15729778274311,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1904.2233230727725,None,1904.2233230727725,None,['equal'],[1.485575216356665],1904.2233230727725,None,1902.7234941567294,None,1902.7234941567294,None,,,2213.2397287869826,None,None,,2213.2397287869826,None,1862.2902599917725,None,1862.2902599917725,None,1862.2902599917725,None,1,19.89969457592815,1862.2902599917725,None,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[22.91848371224478, 52.828740830067545, 76.34460553107783, 83.08254384016618, 100.52647612104192, 113.91663525532931, 125.59461595444009, 136.6938277320005, 150.21094210306183, 180.5980102890171, 198.44767336919904, 218.24750451743603, 233.96570119727403, 244.5647853091359, 268.69766642618924, 282.0917458659969, 296.4759877352044]",1905.728397932835,None,1905.728397932835,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM007,001,2021_Oct_14_1923,ATM_main_5-19-21,2021.1.3,60.15729778274311,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM007,001,2021_Oct_14_1923,ATM_main_5-19-21,2021.1.3,60.15729778274311,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2291.1552083389834,None,2291.1552083389834,None,['equal'],[1.4849814982153475],2291.1552083389834,None,2289.6555953081697,None,2289.6555953081697,None,,,2600.1682442710735,None,None,,2600.1682442710735,None,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[28.889421035069972, 51.655416460707784, 72.45043940702453, 94.14987454889342, 115.14978676987812, 137.204200246837, 160.79844021983445, 183.08672788413242, 205.13740683114156, 227.50323513383046, 249.6509187067859, 273.08047906588763, 297.1691732541658]",2292.65151144797,None,2292.65151144797,None,2243.234399172943,None,2243.234399172943,None,2243.234399172943,None,1,26.134118595160544,2243.234399172943,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM007,001,2021_Oct_14_1923,ATM_main_5-19-21,2021.1.3,60.15729778274311,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM007,001,2021_Oct_14_1923,ATM_main_5-19-21,2021.1.3,60.15729778274311,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2670.262638797052,None,2670.262638797052,None,['equal'],[1.5001575322821736],2670.262638797052,None,2668.7793591939844,None,2668.7793591939844,None,,,2979.2910042409785,None,None,,2979.2910042409785,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2630.1632668050006,None,2630.1632668050006,None,2630.1632668050006,None,['1'],[16.938762458972633],2630.1632668050006,None,"['1', '1', '1', '1', '1']","[110.32941931625828, 152.4626380931586, 234.4445447330363, 269.9607189320959, 297.36062828311697]",2672.016895757988,None,,,,,,,ATM007,001,2021_Oct_14_1923,ATM_main_5-19-21,2021.1.3,60.15729778274311,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM007,001,2021_Oct_14_1923,ATM_main_5-19-21,2021.1.3,60.15729778274311,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,3037.724781427998,None,3037.724781427998,None,['equal'],[1.4883280470967293],3037.724781427998,None,3036.2280336930417,None,3036.2280336930417,None,,,3346.7364993430674,None,None,,3346.7364993430674,None,,,,,,,,,,,,,,,,,,,,,,,,,,,3009.3083814107813,None,3009.3083814107813,None,3009.3083814107813,None,1,9.890367691870779,3009.3083814107813,None,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[23.13544968003407, 45.50189282791689, 69.75097454478964, 92.15116039803252, 115.60061160009354, 138.48298829281703, 164.61707279691473, 187.11587654286996, 208.96467492403463, 230.1149658570066, 253.7643298781477, 281.1639300249517]",3039.47369776899,None,,,,,,,ATM007,001,2021_Oct_14_1923,ATM_main_5-19-21,2021.1.3,60.15729778274311,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM007,001,2021_Oct_14_1923,ATM_main_5-19-21,2021.1.3,60.15729778274311,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM007,001,2021_Oct_14_1923,ATM_main_5-19-21,2021.1.3,60.15729778274311,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3376.735885933973,None,3376.735885933973,None,3376.735885933973,None,1,11.05573189491406,3376.735885933973,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM007,001,2021_Oct_14_1923,ATM_main_5-19-21,2021.1.3,60.15729778274311,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3406.76956097316,None,3406.76956097316,None,['equal'],[1.4892323529347777],3406.76956097316,None,3405.2744050268084,None,3405.2744050268084,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM007,001,2021_Oct_14_1923,ATM_main_5-19-21,2021.1.3,60.15729778274311,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3408.269704183098,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3715.781332334969,None,space,7.151821136940271,3715.781332334969,None,ATM007,001,2021_Oct_14_1923,ATM_main_5-19-21,2021.1.3,60.15729778274311,
