big_guy.thisRepN,big_guy.thisTrialN,big_guy.thisN,big_guy.thisIndex,outer_loop1.thisRepN,outer_loop1.thisTrialN,outer_loop1.thisN,outer_loop1.thisIndex,MC_self_loop1.thisRepN,MC_self_loop1.thisTrialN,MC_self_loop1.thisN,MC_self_loop1.thisIndex,MM_self_loop1.thisRepN,MM_self_loop1.thisTrialN,MM_self_loop1.thisN,MM_self_loop1.thisIndex,MM_other_loop1.thisRepN,MM_other_loop1.thisTrialN,MM_other_loop1.thisN,MM_other_loop1.thisIndex,MC_other_loop1.thisRepN,MC_other_loop1.thisTrialN,MC_other_loop1.thisN,MC_other_loop1.thisIndex,outer_loop2.thisRepN,outer_loop2.thisTrialN,outer_loop2.thisN,outer_loop2.thisIndex,MM_self_loop2.thisRepN,MM_self_loop2.thisTrialN,MM_self_loop2.thisN,MM_self_loop2.thisIndex,MC_self_loop2.thisRepN,MC_self_loop2.thisTrialN,MC_self_loop2.thisN,MC_self_loop2.thisIndex,MC_other_loop2.thisRepN,MC_other_loop2.thisTrialN,MC_other_loop2.thisN,MC_other_loop2.thisIndex,MM_other_loop2.thisRepN,MM_other_loop2.thisTrialN,MM_other_loop2.thisN,MM_other_loop2.thisIndex,begin_text.started,begin_text.stopped,begin_exp.keys,begin_exp.rt,begin_exp.started,begin_exp.stopped,Rest_title.started,Rest_title.stopped,rest_body.started,rest_body.stopped,rest_nxt.started,rest_nxt.stopped,advance_0.keys,advance_0.rt,advance_0.started,advance_0.stopped,begin_scan_txt.started,begin_scan_txt.stopped,still_txt.started,still_txt.stopped,begin_scan_btn.keys,begin_scan_btn.rt,begin_scan_btn.started,begin_scan_btn.stopped,wait_scan_txt.started,wait_scan_txt.stopped,still_txt2.started,still_txt2.stopped,trial_crosshair_rest.started,trial_crosshair_rest.stopped,break_txt.started,break_txt.stopped,break_btn.keys,break_btn.rt,break_btn.started,break_btn.stopped,MM_self_title.started,MM_self_title.stopped,MM_self_body.started,MM_self_body.stopped,MM_self_nxt.started,MM_self_nxt.stopped,advance_2.keys,advance_2.rt,advance_2.started,advance_2.stopped,self_btn.keys,self_btn.rt,self_btn.started,self_btn.stopped,trial_crosshair.started,trial_crosshair.stopped,MC_other_title.started,MC_other_title.stopped,MC_other_body.started,MC_other_body.stopped,MC_other_nxt.started,MC_other_nxt.stopped,advance4.keys,advance4.rt,advance4.started,advance4.stopped,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started,other_j_btn1.stopped,MM_other_title.started,MM_other_title.stopped,MM_other_body.started,MM_other_body.stopped,MM_other_nxt.started,MM_other_nxt.stopped,advance3.keys,advance3.rt,advance3.started,advance3.stopped,MC_self_title.started,MC_self_title.stopped,MC_self_body.started,MC_self_body.stopped,MC_self_nxt.started,MC_self_nxt.stopped,advance_1.keys,advance_1.rt,advance_1.started,advance_1.stopped,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,other_n_btn.stopped,end.started,end.stopped,end_press.keys,end_press.rt,end_press.started,end_press.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM018,001,2021_Dec_01_0926,ATM_main_5-19-21,2021.1.3,59.73200139960029,
0,0,0,0,3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1439.2027014940977,None,1439.2027014940977,None,['equal'],[1.4851711299270391],1439.2027014940977,None,1437.7059294590726,None,1437.7059294590726,None,,,1748.218630341813,None,1,3.1197121841832995,1748.218630341813,None,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[4.5633200174197555, 35.03001275565475, 38.76377937570214, 71.81223190575838, 111.99509112536907, 136.35072655882686, 163.07897998392582, 176.44930651877075, 211.93226805794984, 236.78202351368964, 250.4437990039587, 266.97863377071917, 283.87676193378866, 300.7642212100327]",1440.7067838190123,None,1440.7067838190123,None,,,,,,,,,,,,,,,,,,,,,,,,,1410.1859814142808,None,1410.1859814142808,None,1410.1859814142808,None,1,6.288668139837682,1410.1859814142808,None,,,,,,,,,,,ATM018,001,2021_Dec_01_0926,ATM_main_5-19-21,2021.1.3,59.73200139960029,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM018,001,2021_Dec_01_0926,ATM_main_5-19-21,2021.1.3,59.73200139960029,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM018,001,2021_Dec_01_0926,ATM_main_5-19-21,2021.1.3,59.73200139960029,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1783.096957296133,None,1783.096957296133,None,['equal'],[1.4843713641166687],1783.096957296133,None,1781.5976126864552,None,1781.5976126864552,None,,,2092.109875840135,None,1,8.469036435708404,2092.109875840135,None,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[16.246693016961217, 31.768394998274744, 45.262993357144296, 59.84615551121533, 73.96314950287342, 104.63377383816987, 121.88298499863595, 187.39461260288954, 208.81122321914881, 228.38100900966674, 241.80999404750764, 255.06337302643806, 268.89822564926, 297.10945662576705]",1784.6022652136162,None,1784.6022652136162,None,,,,,,,,,,,,,,,,,,,,,,,,,1751.3640815438703,None,1751.3640815438703,None,1751.3640815438703,None,1,12.574098965153098,1751.3640815438703,None,,,,,,,,,,,ATM018,001,2021_Dec_01_0926,ATM_main_5-19-21,2021.1.3,59.73200139960029,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM018,001,2021_Dec_01_0926,ATM_main_5-19-21,2021.1.3,59.73200139960029,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2124.992297564633,None,2124.992297564633,None,['equal'],[1.4905383381992579],2124.992297564633,None,2123.4923390075564,None,2123.4923390075564,None,,,2434.009888713248,None,1,5.130535897798836,2434.009888713248,None,2100.592931399122,None,2100.592931399122,None,2100.592931399122,None,1,10.900629792362452,2100.592931399122,None,"['1', '1', '1', '1', '1', '1', '1', '1']","[32.755465283058584, 86.77226876653731, 113.61703356355429, 139.25388215016574, 171.8996687969193, 186.6541766114533, 225.2824928611517, 277.8148647714406]",2126.4927584184334,None,2126.4927584184334,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM018,001,2021_Dec_01_0926,ATM_main_5-19-21,2021.1.3,59.73200139960029,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM018,001,2021_Dec_01_0926,ATM_main_5-19-21,2021.1.3,59.73200139960029,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2465.704105529003,None,2465.704105529003,None,['equal'],[1.4863932868465781],2465.704105529003,None,2464.205119047314,None,2464.205119047314,None,,,2774.7164820376784,None,1,5.436094484291971,2774.7164820376784,None,,,,,,,,,,,,,,,,,2439.155874771066,None,2439.155874771066,None,2439.155874771066,None,1,10.022135751321912,2439.155874771066,None,,,,,,,,,,,,,,,,,,,,,,,,,['1'],[154.9499281635508],2467.437986929901,None,,,,,,,ATM018,001,2021_Dec_01_0926,ATM_main_5-19-21,2021.1.3,59.73200139960029,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM018,001,2021_Dec_01_0926,ATM_main_5-19-21,2021.1.3,59.73200139960029,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,2797.5506668919697,None,2797.5506668919697,None,['equal'],[1.5010341424494982],2797.5506668919697,None,2796.051007302478,None,2796.051007302478,None,,,3106.5793532021344,None,1,15.140561008825898,3106.5793532021344,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2780.1678859889507,None,2780.1678859889507,None,2780.1678859889507,None,['1'],[4.321719876490533],2780.1678859889507,None,,,,,,,,,,,"['1', '1', '1', '1', '1', '1']","[92.33146592602134, 115.91366086993366, 126.83077058196068, 159.22953054588288, 180.09640984237194, 238.19579030759633]",2799.303224322386,None,,,,,,,ATM018,001,2021_Dec_01_0926,ATM_main_5-19-21,2021.1.3,59.73200139960029,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM018,001,2021_Dec_01_0926,ATM_main_5-19-21,2021.1.3,59.73200139960029,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM018,001,2021_Dec_01_0926,ATM_main_5-19-21,2021.1.3,59.73200139960029,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3121.7451876234263,None,3121.7451876234263,None,3121.7451876234263,None,1,6.740230090916157,3121.7451876234263,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM018,001,2021_Dec_01_0926,ATM_main_5-19-21,2021.1.3,59.73200139960029,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3141.329416343011,None,3141.329416343011,None,['equal'],[1.4897269709035754],3141.329416343011,None,3139.845622608438,None,3139.845622608438,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM018,001,2021_Dec_01_0926,ATM_main_5-19-21,2021.1.3,59.73200139960029,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3142.8291069716215,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3450.345409711823,None,space,197.16696334443986,3450.345409711823,None,ATM018,001,2021_Dec_01_0926,ATM_main_5-19-21,2021.1.3,59.73200139960029,
