big_guy.thisRepN,big_guy.thisTrialN,big_guy.thisN,big_guy.thisIndex,outer_loop1.thisRepN,outer_loop1.thisTrialN,outer_loop1.thisN,outer_loop1.thisIndex,MC_self_loop1.thisRepN,MC_self_loop1.thisTrialN,MC_self_loop1.thisN,MC_self_loop1.thisIndex,MM_self_loop1.thisRepN,MM_self_loop1.thisTrialN,MM_self_loop1.thisN,MM_self_loop1.thisIndex,MM_other_loop1.thisRepN,MM_other_loop1.thisTrialN,MM_other_loop1.thisN,MM_other_loop1.thisIndex,MC_other_loop1.thisRepN,MC_other_loop1.thisTrialN,MC_other_loop1.thisN,MC_other_loop1.thisIndex,outer_loop2.thisRepN,outer_loop2.thisTrialN,outer_loop2.thisN,outer_loop2.thisIndex,MM_self_loop2.thisRepN,MM_self_loop2.thisTrialN,MM_self_loop2.thisN,MM_self_loop2.thisIndex,MC_self_loop2.thisRepN,MC_self_loop2.thisTrialN,MC_self_loop2.thisN,MC_self_loop2.thisIndex,MC_other_loop2.thisRepN,MC_other_loop2.thisTrialN,MC_other_loop2.thisN,MC_other_loop2.thisIndex,MM_other_loop2.thisRepN,MM_other_loop2.thisTrialN,MM_other_loop2.thisN,MM_other_loop2.thisIndex,begin_text.started,begin_text.stopped,begin_exp.keys,begin_exp.rt,begin_exp.started,begin_exp.stopped,Rest_title.started,Rest_title.stopped,rest_body.started,rest_body.stopped,rest_nxt.started,rest_nxt.stopped,advance_0.keys,advance_0.rt,advance_0.started,advance_0.stopped,begin_scan_txt.started,begin_scan_txt.stopped,still_txt.started,still_txt.stopped,begin_scan_btn.keys,begin_scan_btn.rt,begin_scan_btn.started,begin_scan_btn.stopped,wait_scan_txt.started,wait_scan_txt.stopped,still_txt2.started,still_txt2.stopped,trial_crosshair_rest.started,trial_crosshair_rest.stopped,break_txt.started,break_txt.stopped,break_btn.keys,break_btn.rt,break_btn.started,break_btn.stopped,MM_other_title.started,MM_other_title.stopped,MM_other_body.started,MM_other_body.stopped,MM_other_nxt.started,MM_other_nxt.stopped,advance3.keys,advance3.rt,advance3.started,advance3.stopped,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started,other_j_btn1.stopped,MC_self_title.started,MC_self_title.stopped,MC_self_body.started,MC_self_body.stopped,MC_self_nxt.started,MC_self_nxt.stopped,advance_1.keys,advance_1.rt,advance_1.started,advance_1.stopped,self_btn.keys,self_btn.rt,self_btn.started,self_btn.stopped,trial_crosshair.started,trial_crosshair.stopped,MC_other_title.started,MC_other_title.stopped,MC_other_body.started,MC_other_body.stopped,MC_other_nxt.started,MC_other_nxt.stopped,advance4.keys,advance4.rt,advance4.started,advance4.stopped,MM_self_title.started,MM_self_title.stopped,MM_self_body.started,MM_self_body.stopped,MM_self_nxt.started,MM_self_nxt.stopped,advance_2.keys,advance_2.rt,advance_2.started,advance_2.stopped,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,other_n_btn.stopped,end.started,end.stopped,end_press.keys,end_press.rt,end_press.started,end_press.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7777777777777777777777777,001,2021_Oct_13_1341,ATM_main_5-19-21,2021.1.3,59.87492739221052,
0,0,0,0,3,0,3,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1473.5366200418212,None,1473.5366200418212,None,['equal'],[1.492163807619363],1473.5366200418212,None,1472.0367840859108,None,1472.0367840859108,None,,,1782.5491269170307,None,1,24.438090066891164,1782.5491269170307,None,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1']","[75.60595242725685, 90.94006681395695, 103.58831356838346, 132.26561784325168, 162.76652904693037, 207.63273400999606, 229.90050367219374, 261.2490341081284, 292.8993320991285]",1475.0539294420741,None,1475.0539294420741,None,,,,,,,,,,,1449.2040478000417,None,1449.2040478000417,None,1449.2040478000417,None,1,6.6857986487448215,1449.2040478000417,None,,,,,,,,,,,7777777777777777777777777,001,2021_Oct_13_1341,ATM_main_5-19-21,2021.1.3,59.87492739221052,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7777777777777777777777777,001,2021_Oct_13_1341,ATM_main_5-19-21,2021.1.3,59.87492739221052,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7777777777777777777777777,001,2021_Oct_13_1341,ATM_main_5-19-21,2021.1.3,59.87492739221052,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1840.8030944499187,None,1840.8030944499187,None,['equal'],[1.479427871759981],1840.8030944499187,None,1839.303319311235,None,1839.303319311235,None,,,2149.811108489055,None,1,18.873463300988078,2149.811108489055,None,1807.0181996449828,None,1807.0181996449828,None,1807.0181996449828,None,['1'],[4.798675109166652],1807.0181996449828,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[27.9846918489784, 41.63375596283004, 61.28397279465571, 78.50004282593727, 87.58576239598915, 119.10111142881215, 147.86612523393705, 156.7326599578373, 181.99834467563778, 194.78161923680454, 220.58192700194195, 239.16839975398034, 255.78066418273374, 267.91813345998526, 299.84936124971136]",1842.5317001990043,None,,,,,,,7777777777777777777777777,001,2021_Oct_13_1341,ATM_main_5-19-21,2021.1.3,59.87492739221052,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7777777777777777777777777,001,2021_Oct_13_1341,ATM_main_5-19-21,2021.1.3,59.87492739221052,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2189.91067270888,None,2189.91067270888,None,['equal'],[1.48658005008474],2189.91067270888,None,2188.4153808858246,None,2188.4153808858246,None,,,2498.939426257275,None,1,17.08426403114572,2498.939426257275,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2168.710906905122,None,2168.710906905122,None,2168.710906905122,None,1,3.9879674119874835,2168.710906905122,None,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[18.53551122592762, 39.789062675088644, 62.25148715917021, 82.89938716311008, 104.51883302396163, 126.4848578069359, 146.99947525002062, 171.11754972301424, 190.58193279523402, 209.78434312995523, 231.14987570187077, 255.44783520884812, 280.23479035589844, 301.3639783267863]",2191.6604872262105,None,,,,,,,7777777777777777777777777,001,2021_Oct_13_1341,ATM_main_5-19-21,2021.1.3,59.87492739221052,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7777777777777777777777777,001,2021_Oct_13_1341,ATM_main_5-19-21,2021.1.3,59.87492739221052,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2539.2385958209634,None,2539.2385958209634,None,['equal'],[1.4708408368751407],2539.2385958209634,None,2537.722437201068,None,2537.722437201068,None,,,2848.23456683103,None,None,,2848.23456683103,None,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1']","[36.837228655815125, 77.76850327476859, 104.80060587404296, 148.81564861396328, 182.46723707579076, 219.60048655699939, 266.8333462760784, 293.5137018910609]",2540.722227348946,None,2540.722227348946,None,,,,,,,,,,,2516.0412636841647,None,2516.0412636841647,None,2516.0412636841647,None,1,5.284957305993885,2516.0412636841647,None,,,,,,,,,,,7777777777777777777777777,001,2021_Oct_13_1341,ATM_main_5-19-21,2021.1.3,59.87492739221052,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7777777777777777777777777,001,2021_Oct_13_1341,ATM_main_5-19-21,2021.1.3,59.87492739221052,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2907.467537118122,None,2907.467537118122,None,['equal'],[1.4675742131657898],2907.467537118122,None,2905.949876247905,None,2905.949876247905,None,,,3216.4635106539354,None,1,7.752391551155597,3216.4635106539354,None,,,,,,,,,,,,,,,2878.250869121868,None,2878.250869121868,None,2878.250869121868,None,1,6.653125403914601,2878.250869121868,None,"['1', '1', '1', '1', '1', '1', '1', '1', '1']","[30.618613737169653, 63.546516362112015, 94.26302435621619, 127.3632715982385, 158.84430320421234, 190.04354559304193, 222.56334994314238, 258.1439398229122, 304.21547131985426]",2908.955509371124,None,2908.955509371124,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7777777777777777777777777,001,2021_Oct_13_1341,ATM_main_5-19-21,2021.1.3,59.87492739221052,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7777777777777777777777777,001,2021_Oct_13_1341,ATM_main_5-19-21,2021.1.3,59.87492739221052,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7777777777777777777777777,001,2021_Oct_13_1341,ATM_main_5-19-21,2021.1.3,59.87492739221052,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3224.229760665912,None,3224.229760665912,None,3224.229760665912,None,1,4.673743288964033,3224.229760665912,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7777777777777777777777777,001,2021_Oct_13_1341,ATM_main_5-19-21,2021.1.3,59.87492739221052,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3243.996189250145,None,3243.996189250145,None,['equal'],[1.4679664890281856],3243.996189250145,None,3242.4796411148272,None,3242.4796411148272,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7777777777777777777777777,001,2021_Oct_13_1341,ATM_main_5-19-21,2021.1.3,59.87492739221052,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3245.479276353959,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3552.9921056758612,None,space,8.60698698880151,3552.9921056758612,None,7777777777777777777777777,001,2021_Oct_13_1341,ATM_main_5-19-21,2021.1.3,59.87492739221052,
