big_guy.thisRepN,big_guy.thisTrialN,big_guy.thisN,big_guy.thisIndex,outer_loop1.thisRepN,outer_loop1.thisTrialN,outer_loop1.thisN,outer_loop1.thisIndex,MC_self_loop1.thisRepN,MC_self_loop1.thisTrialN,MC_self_loop1.thisN,MC_self_loop1.thisIndex,MM_self_loop1.thisRepN,MM_self_loop1.thisTrialN,MM_self_loop1.thisN,MM_self_loop1.thisIndex,MM_other_loop1.thisRepN,MM_other_loop1.thisTrialN,MM_other_loop1.thisN,MM_other_loop1.thisIndex,MC_other_loop1.thisRepN,MC_other_loop1.thisTrialN,MC_other_loop1.thisN,MC_other_loop1.thisIndex,outer_loop2.thisRepN,outer_loop2.thisTrialN,outer_loop2.thisN,outer_loop2.thisIndex,MM_self_loop2.thisRepN,MM_self_loop2.thisTrialN,MM_self_loop2.thisN,MM_self_loop2.thisIndex,MC_self_loop2.thisRepN,MC_self_loop2.thisTrialN,MC_self_loop2.thisN,MC_self_loop2.thisIndex,MC_other_loop2.thisRepN,MC_other_loop2.thisTrialN,MC_other_loop2.thisN,MC_other_loop2.thisIndex,MM_other_loop2.thisRepN,MM_other_loop2.thisTrialN,MM_other_loop2.thisN,MM_other_loop2.thisIndex,begin_text.started,begin_text.stopped,begin_exp.keys,begin_exp.rt,begin_exp.started,begin_exp.stopped,Rest_title.started,Rest_title.stopped,rest_body.started,rest_body.stopped,rest_nxt.started,rest_nxt.stopped,advance_0.keys,advance_0.rt,advance_0.started,advance_0.stopped,begin_scan_txt.started,begin_scan_txt.stopped,still_txt.started,still_txt.stopped,begin_scan_btn.keys,begin_scan_btn.rt,begin_scan_btn.started,begin_scan_btn.stopped,wait_scan_txt.started,wait_scan_txt.stopped,still_txt2.started,still_txt2.stopped,trial_crosshair_rest.started,trial_crosshair_rest.stopped,break_txt.started,break_txt.stopped,break_btn.keys,break_btn.rt,break_btn.started,break_btn.stopped,MM_self_title.started,MM_self_title.stopped,MM_self_body.started,MM_self_body.stopped,MM_self_nxt.started,MM_self_nxt.stopped,advance_2.keys,advance_2.rt,advance_2.started,advance_2.stopped,self_btn.keys,self_btn.rt,self_btn.started,self_btn.stopped,trial_crosshair.started,trial_crosshair.stopped,MC_self_title.started,MC_self_title.stopped,MC_self_body.started,MC_self_body.stopped,MC_self_nxt.started,MC_self_nxt.stopped,advance_1.keys,advance_1.rt,advance_1.started,advance_1.stopped,MC_other_title.started,MC_other_title.stopped,MC_other_body.started,MC_other_body.stopped,MC_other_nxt.started,MC_other_nxt.stopped,advance4.keys,advance4.rt,advance4.started,advance4.stopped,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started,other_j_btn1.stopped,MM_other_title.started,MM_other_title.stopped,MM_other_body.started,MM_other_body.stopped,MM_other_nxt.started,MM_other_nxt.stopped,advance3.keys,advance3.rt,advance3.started,advance3.stopped,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,other_n_btn.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,001,2021_May_07_1443,ATM_main_4-9-21,2021.1.3,59.90450354412526,
0,0,0,0,3,0,3,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1432.8406191859394,None,1432.8406191859394,None,['equal'],[1.4844429595395923],1432.8406191859394,None,1431.3444000277668,None,1431.3444000277668,None,,,1741.853188622743,None,1,2.533365486189723,1741.853188622743,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[26.14836131595075, 44.63051790744066, 71.59715284779668, 92.68485292885453, 110.84711780957878, 143.24550173711032, 153.32925025839359, 203.3119901260361, 234.51154391560704, 251.07827637251467, 269.3606837214902, 276.44325075577945, 286.62741119693965, 296.6776187196374]",1434.5775745715946,None,1399.6083501866087,None,1399.6083501866087,None,1399.6083501866087,None,['1'],[9.484644548036158],1399.6083501866087,None,,,,,000,001,2021_May_07_1443,ATM_main_4-9-21,2021.1.3,59.90450354412526,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,001,2021_May_07_1443,ATM_main_4-9-21,2021.1.3,59.90450354412526,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,001,2021_May_07_1443,ATM_main_4-9-21,2021.1.3,59.90450354412526,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1775.8848753748462,None,1775.8848753748462,None,['equal'],[1.4906841171905398],1775.8848753748462,None,1774.3852115999907,None,1774.3852115999907,None,,,2084.89699806273,None,1,3.086762262508273,2084.89699806273,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1744.4019469926134,None,1744.4019469926134,None,1744.4019469926134,None,['1'],[8.351361939683557],1744.4019469926134,None,1,303.17625105101615,1777.6063296636567,None,000,001,2021_May_07_1443,ATM_main_4-9-21,2021.1.3,59.90450354412526,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,001,2021_May_07_1443,ATM_main_4-9-21,2021.1.3,59.90450354412526,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2115.71447967086,None,2115.71447967086,None,['equal'],[1.4899630825966597],2115.71447967086,None,2114.2141251014546,None,2114.2141251014546,None,,,2424.726709729992,None,1,3.206526312045753,2424.726709729992,None,,,,,,,,,,,,,,,,,,,,,,,,,,,2087.9976981924847,None,2087.9976981924847,None,2087.9976981924847,None,1,8.050670843571424,2087.9976981924847,None,,,,,,,,,,,,,,,1,282.9973808452487,2117.448574378155,None,000,001,2021_May_07_1443,ATM_main_4-9-21,2021.1.3,59.90450354412526,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,001,2021_May_07_1443,ATM_main_4-9-21,2021.1.3,59.90450354412526,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2453.1266108397394,None,2453.1266108397394,None,['equal'],[1.499770904891193],2453.1266108397394,None,2451.6433789972216,None,2451.6433789972216,None,,,2762.1552731152624,None,1,2.773499993607402,2762.1552731152624,None,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[21.663094809278846, 42.0625031972304, 63.66711987182498, 88.92975587397814, 118.2667775908485, 150.1166870612651, 187.0948125179857, 216.29920703731477, 255.31382182333618, 299.71037435904145]",2454.647400676273,None,2454.647400676273,None,2427.9601591536775,None,2427.9601591536775,None,2427.9601591536775,None,1,4.801289085298777,2427.9601591536775,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,001,2021_May_07_1443,ATM_main_4-9-21,2021.1.3,59.90450354412526,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,001,2021_May_07_1443,ATM_main_4-9-21,2021.1.3,59.90450354412526,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2798.9052075194195,None,2798.9052075194195,None,['equal'],[1.5002289060503244],2798.9052075194195,None,2797.4041938567534,None,2797.4041938567534,None,,,3107.9340898627415,None,1,12.105872808024287,3107.9340898627415,None,2764.9545748382807,None,2764.9545748382807,None,2764.9545748382807,None,1,11.191327477805316,2764.9545748382807,None,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[27.813045575283468, 59.329236794263124, 74.99318494088948, 103.14474410936236, 126.75021203886718, 154.29374714195728, 167.91039587464184, 190.39381872303784, 208.1481445543468, 225.5104913469404, 251.9435326056555, 276.3428309597075, 299.1087944880128]",2800.4269227087498,None,2800.4269227087498,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,001,2021_May_07_1443,ATM_main_4-9-21,2021.1.3,59.90450354412526,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,001,2021_May_07_1443,ATM_main_4-9-21,2021.1.3,59.90450354412526,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,001,2021_May_07_1443,ATM_main_4-9-21,2021.1.3,59.90450354412526,
