big_guy.thisRepN,big_guy.thisTrialN,big_guy.thisN,big_guy.thisIndex,outer_loop1.thisRepN,outer_loop1.thisTrialN,outer_loop1.thisN,outer_loop1.thisIndex,outer_loop2.thisRepN,outer_loop2.thisTrialN,outer_loop2.thisN,outer_loop2.thisIndex,MM_self_loop2.thisRepN,MM_self_loop2.thisTrialN,MM_self_loop2.thisN,MM_self_loop2.thisIndex,MC_self_loop2.thisRepN,MC_self_loop2.thisTrialN,MC_self_loop2.thisN,MC_self_loop2.thisIndex,MC_other_loop2.thisRepN,MC_other_loop2.thisTrialN,MC_other_loop2.thisN,MC_other_loop2.thisIndex,MM_other_loop2.thisRepN,MM_other_loop2.thisTrialN,MM_other_loop2.thisN,MM_other_loop2.thisIndex,MC_self_loop1.thisRepN,MC_self_loop1.thisTrialN,MC_self_loop1.thisN,MC_self_loop1.thisIndex,MM_self_loop1.thisRepN,MM_self_loop1.thisTrialN,MM_self_loop1.thisN,MM_self_loop1.thisIndex,MM_other_loop1.thisRepN,MM_other_loop1.thisTrialN,MM_other_loop1.thisN,MM_other_loop1.thisIndex,MC_other_loop1.thisRepN,MC_other_loop1.thisTrialN,MC_other_loop1.thisN,MC_other_loop1.thisIndex,begin_text.started,begin_text.stopped,begin_exp.keys,begin_exp.rt,begin_exp.started,begin_exp.stopped,Rest_title.started,Rest_title.stopped,rest_body.started,rest_body.stopped,rest_nxt.started,rest_nxt.stopped,advance_0.keys,advance_0.rt,advance_0.started,advance_0.stopped,begin_scan_txt.started,begin_scan_txt.stopped,still_txt.started,still_txt.stopped,begin_scan_btn.keys,begin_scan_btn.rt,begin_scan_btn.started,begin_scan_btn.stopped,wait_scan_txt.started,wait_scan_txt.stopped,still_txt2.started,still_txt2.stopped,trial_crosshair_rest.started,trial_crosshair_rest.stopped,break_txt.started,break_txt.stopped,break_btn.keys,break_btn.rt,break_btn.started,break_btn.stopped,MC_self_title.started,MC_self_title.stopped,MC_self_body.started,MC_self_body.stopped,MC_self_nxt.started,MC_self_nxt.stopped,advance_1.keys,advance_1.rt,advance_1.started,advance_1.stopped,self_btn.keys,self_btn.rt,self_btn.started,self_btn.stopped,trial_crosshair.started,trial_crosshair.stopped,MM_self_title.started,MM_self_title.stopped,MM_self_body.started,MM_self_body.stopped,MM_self_nxt.started,MM_self_nxt.stopped,advance_2.keys,advance_2.rt,advance_2.started,advance_2.stopped,MM_other_title.started,MM_other_title.stopped,MM_other_body.started,MM_other_body.stopped,MM_other_nxt.started,MM_other_nxt.stopped,advance3.keys,advance3.rt,advance3.started,advance3.stopped,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,other_n_btn.stopped,MC_other_title.started,MC_other_title.stopped,MC_other_body.started,MC_other_body.stopped,MC_other_nxt.started,MC_other_nxt.stopped,advance4.keys,advance4.rt,advance4.started,advance4.stopped,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started,other_j_btn1.stopped,end.started,end.stopped,end_press.keys,end_press.rt,end_press.started,end_press.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM003,001,2021_Jun_07_1129,ATM_main_5-19-21,2021.1.3,59.64618004043235,
0,0,0,0,,,,,3,0,3,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1477.330291070044,None,1477.330291070044,None,['equal'],[1.4840696200262755],1477.330291070044,None,1475.83456139802,None,1475.83456139802,None,,,1786.3422706619604,None,1,16.20045493496582,1786.3422706619604,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[12.868375902064145, 34.21847029705532, 57.01850037102122, 78.08428405504674, 100.5502383490093, 120.93415879504755, 142.20000310603064, 169.18384876300115, 189.33383278700057, 213.83303048100788, 229.9329684090335, 254.36589760601055, 277.9324187859893]",1479.0625083770137,None,1447.9640007320559,None,1447.9640007320559,None,1447.9640007320559,None,1,10.606309958966449,1447.9640007320559,None,,,,,,,,,,,ATM003,001,2021_Jun_07_1129,ATM_main_5-19-21,2021.1.3,59.64618004043235,
0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM003,001,2021_Jun_07_1129,ATM_main_5-19-21,2021.1.3,59.64618004043235,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM003,001,2021_Jun_07_1129,ATM_main_5-19-21,2021.1.3,59.64618004043235,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1839.3412324860692,None,1839.3412324860692,None,['equal'],[1.4890675380593166],1839.3412324860692,None,1837.8464910519542,None,1837.8464910519542,None,,,2148.3374643180287,None,1,11.323597503942437,2148.3374643180287,None,1802.5587219069712,None,1802.5587219069712,None,1802.5587219069712,None,1,16.090443152934313,1802.5587219069712,None,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[26.03921395598445, 55.23933592799585, 82.48996625398286, 109.9050011599902, 142.11704905400984, 173.9219220150262, 206.5204742050264, 238.30405937402975, 268.41533868503757, 295.3486184410285]",1840.840919748065,None,1840.840919748065,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM003,001,2021_Jun_07_1129,ATM_main_5-19-21,2021.1.3,59.64618004043235,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM003,001,2021_Jun_07_1129,ATM_main_5-19-21,2021.1.3,59.64618004043235,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2188.5363112980267,None,2188.5363112980267,None,['equal'],[1.484316918067634],2188.5363112980267,None,2187.040395488031,None,2187.040395488031,None,,,2497.54834613204,None,1,14.620184222003445,2497.54834613204,None,,,,,,,,,,,,,,,,,,,,,,,,,,,2159.686383391032,None,2159.686383391032,None,2159.686383391032,None,['1'],[8.38607835303992],2159.686383391032,None,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[86.63426328299101, 99.4346656659618, 110.73549516603816, 152.16559496999253, 156.31747460202314, 203.69909664301667, 234.3810311750276, 257.1152709949529, 269.58330078294966, 276.83175899100024, 294.13182116893586, 298.88074069598224]",2190.269583438989,None,,,,,,,ATM003,001,2021_Jun_07_1129,ATM_main_5-19-21,2021.1.3,59.64618004043235,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM003,001,2021_Jun_07_1129,ATM_main_5-19-21,2021.1.3,59.64618004043235,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2535.515793803963,None,2535.515793803963,None,['equal'],[1.4852906489977613],2535.515793803963,None,2534.0148607150186,None,2534.0148607150186,None,,,2844.528308516019,None,1,12.85160018503666,2844.528308516019,None,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[28.289827693952248, 47.468303015921265, 73.31756252294872, 104.2732429309981, 117.56751593900844, 162.55068217997905, 210.46599037991837, 227.62016835296527, 243.58756523299962, 277.45318081998266, 299.8701083629858]",2537.0146165720653,None,2537.0146165720653,None,2512.182142389007,None,2512.182142389007,None,2512.182142389007,None,1,4.618540424969979,2512.182142389007,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM003,001,2021_Jun_07_1129,ATM_main_5-19-21,2021.1.3,59.64618004043235,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM003,001,2021_Jun_07_1129,ATM_main_5-19-21,2021.1.3,59.64618004043235,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,2880.727126047015,None,2880.727126047015,None,['equal'],[1.4857432399876416],2880.727126047015,None,2879.2271596549544,None,2879.2271596549544,None,,,3189.740070190048,None,1,7.349507373990491,3189.740070190048,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2857.394714132999,None,2857.394714132999,None,2857.394714132999,None,1,5.937581852078438,2857.394714132999,None,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[23.184997824020684, 46.602244504960254, 71.33501024800353, 93.7173166529974, 116.43489157396834, 140.60100265301298, 165.5838834819151, 188.45017630793154, 210.49899466196075, 231.34458891500253, 255.5826098920079, 276.58243201393634, 305.49770456994884]",2882.4768525790423,None,,,,,,,ATM003,001,2021_Jun_07_1129,ATM_main_5-19-21,2021.1.3,59.64618004043235,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM003,001,2021_Jun_07_1129,ATM_main_5-19-21,2021.1.3,59.64618004043235,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM003,001,2021_Jun_07_1129,ATM_main_5-19-21,2021.1.3,59.64618004043235,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3197.106130092987,None,3197.106130092987,None,3197.106130092987,None,1,5.4879172830842435,3197.106130092987,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM003,001,2021_Jun_07_1129,ATM_main_5-19-21,2021.1.3,59.64618004043235,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3222.7227231230354,None,3222.7227231230354,None,['equal'],[1.4855665659997612],3222.7227231230354,None,3221.222736623022,None,3221.222736623022,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM003,001,2021_Jun_07_1129,ATM_main_5-19-21,2021.1.3,59.64618004043235,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3224.2223961940035,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3531.7182601030217,None,1,71.71690632600803,3531.7182601030217,None,ATM003,001,2021_Jun_07_1129,ATM_main_5-19-21,2021.1.3,59.64618004043235,
